Server_08	Server_0	Server_0A	Server_0C	Server_07	
3.776	4.000	3.455	3.058	3.427	
4.143	4.000	3.455	3.058	3.427	
4.082	4.000	3.455	3.058	3.427	
4.052	4.000	3.455	3.058	3.427	
4.036	4.000	3.455	3.058	3.427	
4.029	4.000	3.455	3.058	3.427	
4.025	4.000	3.455	3.058	3.427	
4.023	4.000	3.455	3.058	3.427	
4.022	4.000	3.455	3.058	3.427	
4.022	4.000	3.455	3.058	3.427	
3.777	4.000	3.455	3.058	3.427	
3.899	4.000	3.455	3.058	3.427	
3.960	4.000	3.455	3.058	3.427	
3.991	4.000	3.455	3.058	3.427	
4.006	4.000	3.455	3.058	3.427	
4.014	4.000	3.455	3.058	3.427	
4.017	4.000	3.455	3.058	3.427	
3.774	4.000	3.455	3.058	3.427	
3.898	4.000	3.455	3.058	3.427	
4.204	4.000	3.455	3.058	3.427	
4.113	4.000	3.455	3.058	3.427	
3.822	4.000	3.455	3.058	3.427	
3.922	4.000	3.455	3.058	3.427	
3.922	3.766	3.455	3.058	3.427	
3.727	3.766	3.455	3.058	3.427	
3.727	3.649	3.455	3.058	3.427	
3.384	3.649	3.455	3.058	3.427	
3.703	3.649	3.455	3.058	3.427	
3.617	3.649	3.455	3.058	3.427	
3.819	3.649	3.455	3.058	3.427	
3.675	3.649	3.455	3.058	3.427	
3.603	3.649	3.455	3.058	3.427	
3.812	3.649	3.455	3.058	3.427	
3.672	3.649	3.455	3.058	3.427	
3.602	3.649	3.455	3.058	3.427	
3.602	3.590	3.455	3.058	3.427	
3.567	3.590	3.455	3.058	3.427	
3.794	3.590	3.455	3.058	3.427	
3.663	3.590	3.455	3.058	3.427	
3.597	3.590	3.455	3.058	3.427	
3.809	3.590	3.455	3.058	3.427	
3.670	3.590	3.455	3.058	3.427	
3.846	3.590	3.455	3.058	3.427	
3.689	3.590	3.455	3.058	3.427	
3.610	3.590	3.455	3.058	3.427	
3.571	3.590	3.455	3.058	3.427	
3.796	3.590	3.455	3.058	3.427	
3.664	3.590	3.455	3.058	3.427	
3.598	3.590	3.455	3.058	3.427	
3.809	3.590	3.455	3.058	3.427	
3.671	3.590	3.455	3.058	3.427	
3.601	3.590	3.455	3.058	3.427	
3.811	3.590	3.455	3.058	3.427	
3.671	3.590	3.455	3.058	3.427	
3.601	3.590	3.455	3.058	3.427	
3.567	3.590	3.455	3.058	3.427	
3.567	3.561	3.455	3.058	3.427	
3.549	3.561	3.455	3.058	3.427	
3.549	3.546	3.455	3.058	3.427	
3.295	3.546	3.455	3.058	3.427	
3.295	3.539	3.455	3.058	3.427	
3.295	3.780	3.455	3.058	3.427	
3.295	3.411	3.455	3.058	3.427	
3.295	3.471	3.455	3.058	3.427	
3.295	3.746	3.455	3.058	3.427	
3.295	3.394	3.455	3.058	3.427	
3.295	3.394	3.249	3.058	3.427	
3.295	3.394	3.390	3.058	3.427	
3.295	3.394	3.706	3.058	3.427	
3.295	3.394	3.619	3.058	3.427	
3.295	3.394	3.330	3.058	3.427	
3.295	3.394	3.431	3.058	3.427	
3.295	3.394	3.726	3.058	3.427	
3.295	3.394	3.384	3.058	3.427	
3.295	3.394	3.384	3.058	3.234	
3.295	3.394	3.384	3.058	3.383	
3.295	3.394	3.384	3.058	3.702	
3.295	3.394	3.384	3.058	3.372	
3.295	3.218	3.384	3.058	3.372	
3.295	3.620	3.384	3.058	3.372	
3.295	3.576	3.384	3.058	3.372	
3.295	3.309	3.384	3.058	3.372	
3.295	3.420	3.384	3.058	3.372	
3.295	3.721	3.384	3.058	3.372	
