Server_08	Server_0	Server_0D	Server_01	Server_02	
3.776	4.000	3.216	3.835	3.197	
3.899	4.000	3.216	3.835	3.197	
3.960	4.000	3.216	3.835	3.197	
3.991	4.000	3.216	3.835	3.197	
4.006	4.000	3.216	3.835	3.197	
4.014	4.000	3.216	3.835	3.197	
4.017	4.000	3.216	3.835	3.197	
4.019	4.000	3.216	3.835	3.197	
4.020	4.000	3.216	3.835	3.197	
4.021	4.000	3.216	3.835	3.197	
4.021	4.000	3.216	3.835	3.197	
4.021	4.000	3.216	3.835	3.197	
4.021	4.000	3.216	3.835	3.197	
4.021	4.000	3.216	3.835	3.197	
4.021	4.000	3.216	3.835	3.197	
4.021	4.000	3.216	3.835	3.197	
3.776	4.000	3.216	3.835	3.197	
3.899	4.000	3.216	3.835	3.197	
4.205	4.000	3.216	3.835	3.197	
4.113	4.000	3.216	3.835	3.197	
3.822	4.000	3.216	3.835	3.197	
3.922	4.000	3.216	3.835	3.197	
3.922	3.766	3.216	3.835	3.197	
3.727	3.766	3.216	3.835	3.197	
3.727	3.766	3.216	3.683	3.197	
3.727	3.649	3.216	3.683	3.197	
3.629	3.649	3.216	3.683	3.197	
3.629	3.649	3.216	3.607	3.197	
3.629	3.590	3.216	3.607	3.197	
3.335	3.590	3.216	3.607	3.197	
3.335	3.590	3.216	3.570	3.197	
3.335	3.561	3.216	3.570	3.197	
3.335	3.561	3.216	3.551	3.197	
3.335	3.546	3.216	3.551	3.197	
3.335	3.784	3.216	3.551	3.197	
3.335	3.658	3.216	3.551	3.197	
3.335	3.595	3.216	3.551	3.197	
3.335	3.563	3.216	3.551	3.197	
3.335	3.547	3.216	3.551	3.197	
3.335	3.784	3.216	3.551	3.197	
3.335	3.658	3.216	3.551	3.197	
3.335	3.595	3.216	3.551	3.197	
3.335	3.563	3.216	3.551	3.197	
3.335	3.547	3.216	3.551	3.197	
3.335	3.547	3.216	3.541	3.197	
3.335	3.547	3.216	3.781	3.197	
3.335	3.547	3.216	3.656	3.197	
3.335	3.547	3.216	3.594	3.197	
3.335	3.547	3.216	3.318	3.197	
3.335	3.547	3.216	3.670	3.197	
3.335	3.547	3.216	3.601	3.197	
3.335	3.547	3.216	3.566	3.197	
3.335	3.547	3.216	3.549	3.197	
3.335	3.547	3.216	3.540	3.197	
3.335	3.547	3.216	3.781	3.197	
3.335	3.547	3.216	3.411	3.197	
3.335	3.539	3.216	3.411	3.197	
3.335	3.291	3.216	3.411	3.197	
3.335	3.291	3.216	3.227	3.197	
3.335	3.291	3.216	3.379	3.197	
3.335	3.291	3.216	3.700	3.197	
3.335	3.291	3.216	3.616	3.197	
3.335	3.291	3.216	3.574	3.197	
