Server_08	Server_0	Server_01	Server_0A	Server_00	
3.776	4.000	3.157	3.027	3.748	
4.388	4.000	3.157	3.027	3.748	
4.449	4.000	3.157	3.027	3.748	
3.256	4.000	3.157	3.027	3.748	
3.639	4.000	3.157	3.027	3.748	
3.830	4.000	3.157	3.027	3.748	
3.926	4.000	3.157	3.027	3.748	
3.973	4.000	3.157	3.027	3.748	
3.997	4.000	3.157	3.027	3.748	
4.009	4.000	3.157	3.027	3.748	
4.015	4.000	3.157	3.027	3.748	
4.018	4.000	3.157	3.027	3.748	
4.020	4.000	3.157	3.027	3.748	
4.020	4.000	3.157	3.027	3.748	
4.021	4.000	3.157	3.027	3.748	
4.021	4.000	3.157	3.027	3.748	
4.021	4.000	3.157	3.027	3.748	
4.021	4.000	3.157	3.027	3.748	
3.776	4.000	3.157	3.027	3.748	
3.776	3.766	3.157	3.027	3.748	
3.654	3.766	3.157	3.027	3.748	
3.654	3.649	3.157	3.027	3.748	
3.654	3.649	3.157	3.027	3.640	
3.654	3.649	3.157	3.027	3.830	
3.654	3.649	3.157	3.027	3.681	
3.654	3.649	3.157	3.027	3.851	
3.654	3.649	3.157	3.027	3.936	
3.654	3.649	3.157	3.027	3.979	
3.654	3.649	3.157	3.027	3.755	
3.654	3.649	3.157	3.027	3.888	
3.654	3.649	3.157	3.027	3.710	
3.654	3.649	3.157	3.027	3.621	
3.654	3.649	3.157	3.027	4.066	
3.654	3.649	3.157	3.027	3.799	
3.654	3.649	3.157	3.027	3.665	
3.654	3.649	3.157	3.027	3.598	
3.654	3.649	3.157	3.027	3.810	
3.654	3.649	3.157	3.027	3.671	
3.654	3.649	3.157	3.027	3.846	
3.654	3.649	3.157	3.027	3.934	
3.654	3.649	3.157	3.027	3.733	
3.654	3.649	3.157	3.027	3.632	
3.654	3.649	3.157	3.027	3.827	
3.654	3.649	3.157	3.027	3.679	
3.654	3.649	3.157	3.027	3.850	
3.654	3.649	3.157	3.027	3.691	
3.654	3.649	3.157	3.027	3.611	
3.654	3.649	3.157	3.027	3.816	
3.654	3.649	3.157	3.027	3.674	
3.654	3.649	3.157	3.027	3.603	
3.593	3.649	3.157	3.027	3.603	
3.593	3.590	3.157	3.027	3.603	
3.593	3.590	3.157	3.027	3.322	
3.562	3.590	3.157	3.027	3.322	
3.562	3.316	3.157	3.027	3.322	
3.562	3.669	3.157	3.027	3.322	
3.562	3.355	3.157	3.027	3.322	
3.547	3.355	3.157	3.027	3.322	
3.294	3.355	3.157	3.027	3.322	
3.658	3.355	3.157	3.027	3.322	
3.595	3.355	3.157	3.027	3.322	
3.318	3.355	3.157	3.027	3.322	
3.670	3.355	3.157	3.027	3.322	
3.601	3.355	3.157	3.027	3.322	
3.566	3.355	3.157	3.027	3.322	
3.304	3.355	3.157	3.027	3.322	
3.663	3.355	3.157	3.027	3.322	
3.597	3.355	3.157	3.027	3.322	
3.564	3.355	3.157	3.027	3.322	
3.548	3.355	3.157	3.027	3.322	
3.295	3.355	3.157	3.027	3.322	
3.658	3.355	3.157	3.027	3.322	
3.595	3.355	3.157	3.027	3.322	
3.318	3.355	3.157	3.027	3.322	
3.425	3.355	3.157	3.027	3.322	
3.723	3.355	3.157	3.027	3.322	
3.627	3.355	3.157	3.027	3.322	
3.335	3.355	3.157	3.027	3.322	
3.335	3.198	3.157	3.027	3.322	
3.335	3.610	3.157	3.027	3.322	
