Server_08	Server_0	Server_0C	Server_03	Server_0E	
3.776	4.000	3.232	3.851	3.299	
3.899	4.000	3.232	3.851	3.299	
3.960	4.000	3.232	3.851	3.299	
3.991	4.000	3.232	3.851	3.299	
4.006	4.000	3.232	3.851	3.299	
4.014	4.000	3.232	3.851	3.299	
4.017	4.000	3.232	3.851	3.299	
4.019	4.000	3.232	3.851	3.299	
3.775	4.000	3.232	3.851	3.299	
3.898	4.000	3.232	3.851	3.299	
3.960	4.000	3.232	3.851	3.299	
3.990	4.000	3.232	3.851	3.299	
4.006	4.000	3.232	3.851	3.299	
4.014	4.000	3.232	3.851	3.299	
4.017	4.000	3.232	3.851	3.299	
3.774	4.000	3.232	3.851	3.299	
3.898	4.000	3.232	3.851	3.299	
4.204	4.000	3.232	3.851	3.299	
4.113	4.000	3.232	3.851	3.299	
4.067	4.000	3.232	3.851	3.299	
3.799	4.000	3.232	3.851	3.299	
3.910	4.000	3.232	3.851	3.299	
3.966	4.000	3.232	3.851	3.299	
3.966	3.766	3.232	3.851	3.299	
3.504	3.766	3.232	3.851	3.299	
3.504	3.766	3.232	3.691	3.299	
3.504	3.766	3.232	3.856	3.299	
3.504	3.766	3.232	3.939	3.299	
3.504	3.766	3.232	3.735	3.299	
3.504	3.649	3.232	3.735	3.299	
3.504	3.649	3.232	3.633	3.299	
3.504	3.590	3.232	3.633	3.299	
3.504	3.590	3.232	3.582	3.299	
3.504	3.561	3.232	3.582	3.299	
3.504	3.561	3.232	3.557	3.299	
3.504	3.561	3.232	3.789	3.299	
3.504	3.561	3.232	3.660	3.299	
3.504	3.561	3.232	3.841	3.299	
3.504	3.561	3.232	3.686	3.299	
3.504	3.561	3.232	3.609	3.299	
3.504	3.561	3.232	3.815	3.299	
3.504	3.561	3.232	3.673	3.299	
3.504	3.561	3.232	3.602	3.299	
3.504	3.561	3.232	3.812	3.299	
3.504	3.561	3.232	3.672	3.299	
3.504	3.561	3.232	3.602	3.299	
3.504	3.561	3.232	3.811	3.299	
3.504	3.561	3.232	3.672	3.299	
3.504	3.561	3.232	3.602	3.299	
3.504	3.561	3.232	3.567	3.299	
3.504	3.561	3.232	3.549	3.299	
3.504	3.301	3.232	3.549	3.299	
3.504	3.301	3.232	3.540	3.299	
3.504	3.301	3.232	3.781	3.299	
3.504	3.301	3.232	3.411	3.299	
3.504	3.301	3.232	3.471	3.299	
3.504	3.301	3.232	3.746	3.299	
3.504	3.301	3.232	3.639	3.299	
3.504	3.301	3.232	3.340	3.299	
3.504	3.301	3.232	3.436	3.299	
3.504	3.301	3.232	3.729	3.299	
