Server_08	Server_0	Server_07	Server_04	Server_0C	
3.776	4.000	3.609	3.982	3.527	
4.388	4.000	3.609	3.982	3.527	
4.694	4.000	3.609	3.982	3.527	
4.847	4.000	3.609	3.982	3.527	
3.455	4.000	3.609	3.982	3.527	
3.738	4.000	3.609	3.982	3.527	
3.880	4.000	3.609	3.982	3.527	
3.950	4.000	3.609	3.982	3.527	
3.986	4.000	3.609	3.982	3.527	
4.003	4.000	3.609	3.982	3.527	
4.012	4.000	3.609	3.982	3.527	
4.017	4.000	3.609	3.982	3.527	
4.019	4.000	3.609	3.982	3.527	
4.020	4.000	3.609	3.982	3.527	
4.021	4.000	3.609	3.982	3.527	
4.021	4.000	3.609	3.982	3.527	
4.021	4.000	3.609	3.982	3.527	
4.021	4.000	3.609	3.982	3.527	
4.021	4.000	3.609	3.982	3.527	
3.776	4.000	3.609	3.982	3.527	
3.776	3.766	3.609	3.982	3.527	
3.776	3.766	3.609	3.757	3.527	
3.654	3.766	3.609	3.757	3.527	
3.654	3.649	3.609	3.757	3.527	
3.654	3.649	3.609	3.644	3.527	
3.593	3.649	3.609	3.644	3.527	
3.593	3.590	3.609	3.644	3.527	
3.593	3.590	3.609	3.588	3.527	
3.593	3.590	3.570	3.588	3.527	
3.593	3.590	3.796	3.588	3.527	
3.593	3.590	3.664	3.588	3.527	
3.593	3.590	3.842	3.588	3.527	
3.593	3.590	4.177	3.588	3.527	
3.593	3.590	3.854	3.588	3.527	
3.593	3.590	3.693	3.588	3.527	
3.593	3.590	3.612	3.588	3.527	
3.593	3.590	3.817	3.588	3.527	
3.593	3.590	3.919	3.588	3.527	
3.593	3.590	3.725	3.588	3.527	
3.593	3.590	3.873	3.588	3.527	
3.593	3.590	3.702	3.588	3.527	
3.593	3.590	3.617	3.588	3.527	
3.593	3.590	3.819	3.588	3.527	
3.593	3.590	3.675	3.588	3.527	
3.593	3.590	3.603	3.588	3.527	
3.593	3.590	3.812	3.588	3.527	
3.593	3.590	3.672	3.588	3.527	
3.593	3.590	3.602	3.588	3.527	
3.593	3.590	3.811	3.588	3.527	
3.593	3.590	3.672	3.588	3.527	
3.593	3.590	3.846	3.588	3.527	
3.593	3.590	3.444	3.588	3.527	
3.562	3.590	3.444	3.588	3.527	
3.792	3.590	3.444	3.588	3.527	
3.662	3.590	3.444	3.588	3.527	
3.352	3.590	3.444	3.588	3.527	
3.686	3.590	3.444	3.588	3.527	
3.609	3.590	3.444	3.588	3.527	
3.570	3.590	3.444	3.588	3.527	
3.570	3.316	3.444	3.588	3.527	
3.570	3.316	3.444	3.560	3.527	
3.570	3.316	3.444	3.790	3.527	
3.570	3.316	3.444	3.416	3.527	
3.570	3.316	3.444	3.719	3.527	
3.570	3.316	3.444	3.625	3.527	
3.570	3.316	3.444	3.333	3.527	
3.306	3.316	3.444	3.333	3.527	
3.664	3.316	3.444	3.333	3.527	
3.598	3.316	3.444	3.333	3.527	
3.565	3.316	3.444	3.333	3.527	
3.548	3.316	3.444	3.333	3.527	
3.295	3.316	3.444	3.333	3.527	
3.658	3.316	3.444	3.333	3.527	
3.595	3.316	3.444	3.333	3.527	
3.318	3.316	3.444	3.333	3.527	
3.425	3.316	3.444	3.333	3.527	
3.723	3.316	3.444	3.333	3.527	
3.627	3.316	3.444	3.333	3.527	
3.335	3.316	3.444	3.333	3.527	
3.335	3.316	3.444	3.333	3.284	
3.335	3.316	3.444	3.333	3.408	
3.335	3.316	3.444	3.333	3.470	
3.335	3.316	3.444	3.333	3.745	
3.335	3.316	3.444	3.333	3.639	
3.335	3.316	3.444	3.333	3.585	
3.335	3.316	3.444	3.333	3.313	
3.335	3.316	3.444	3.333	3.423	
3.335	3.316	3.444	3.333	3.722	
3.335	3.316	3.444	3.333	3.627	
3.335	3.316	3.444	3.333	3.334	
3.335	3.316	3.444	3.333	3.678	
3.335	3.316	3.444	3.333	3.605	
3.335	3.316	3.444	3.333	3.323	
3.335	3.316	3.243	3.333	3.323	
3.335	3.316	3.387	3.333	3.323	
3.335	3.316	3.704	3.333	3.323	
3.335	3.316	3.618	3.333	3.323	
3.335	3.316	3.330	3.333	3.323	
3.188	3.316	3.330	3.333	3.323	
3.360	3.316	3.330	3.333	3.323	
3.691	3.316	3.330	3.333	3.323	
3.366	3.316	3.330	3.333	3.323	
3.449	3.316	3.330	3.333	3.323	
3.735	3.316	3.330	3.333	3.323	
3.633	3.316	3.330	3.333	3.323	
3.338	3.316	3.330	3.333	3.323	
3.435	3.316	3.330	3.333	3.323	
3.483	3.316	3.330	3.333	3.323	
3.507	3.316	3.330	3.333	3.323	
3.275	3.316	3.330	3.333	3.323	
3.648	3.316	3.330	3.333	3.323	
3.590	3.316	3.330	3.333	3.323	
3.561	3.316	3.330	3.333	3.323	
3.301	3.316	3.330	3.333	3.323	
3.416	3.316	3.330	3.333	3.323	
3.719	3.316	3.330	3.333	3.323	
3.625	3.316	3.330	3.333	3.323	
3.823	3.316	3.330	3.333	3.323	
3.677	3.316	3.330	3.333	3.323	
3.604	3.316	3.330	3.333	3.323	
3.323	3.316	3.330	3.333	3.323	
3.427	3.316	3.330	3.333	3.323	
3.724	3.316	3.330	3.333	3.323	
3.628	3.316	3.330	3.333	3.323	
3.580	3.316	3.330	3.333	3.323	
3.556	3.316	3.330	3.333	3.323	
3.299	3.316	3.330	3.333	3.323	
3.299	3.316	3.330	3.188	3.323	
3.299	3.316	3.330	3.604	3.323	
3.299	3.316	3.330	3.323	3.323	
3.299	3.316	3.330	3.427	3.323	
