Server_09	Server_0	Server_0B	Server_02	Server_0F	
3.776	4.000	3.466	3.317	3.449	
4.388	4.000	3.466	3.317	3.449	
4.449	4.000	3.466	3.317	3.449	
3.256	4.000	3.466	3.317	3.449	
3.639	4.000	3.466	3.317	3.449	
3.830	4.000	3.466	3.317	3.449	
3.926	4.000	3.466	3.317	3.449	
3.973	4.000	3.466	3.317	3.449	
3.997	4.000	3.466	3.317	3.449	
4.009	4.000	3.466	3.317	3.449	
4.015	4.000	3.466	3.317	3.449	
4.018	4.000	3.466	3.317	3.449	
3.775	4.000	3.466	3.317	3.449	
3.898	4.000	3.466	3.317	3.449	
3.960	4.000	3.466	3.317	3.449	
3.990	4.000	3.466	3.317	3.449	
4.006	4.000	3.466	3.317	3.449	
3.769	4.000	3.466	3.317	3.449	
3.895	4.000	3.466	3.317	3.449	
3.958	4.000	3.466	3.317	3.449	
3.990	4.000	3.466	3.317	3.449	
3.990	3.766	3.466	3.317	3.449	
3.761	3.766	3.466	3.317	3.449	
3.891	3.766	3.466	3.317	3.449	
3.711	3.766	3.466	3.317	3.449	
3.711	3.649	3.466	3.317	3.449	
3.377	3.649	3.466	3.317	3.449	
3.377	3.590	3.466	3.317	3.449	
3.377	3.561	3.466	3.317	3.449	
3.377	3.301	3.466	3.317	3.449	
3.377	3.416	3.466	3.317	3.449	
3.377	3.474	3.466	3.317	3.449	
3.377	3.258	3.466	3.317	3.449	
3.377	3.640	3.466	3.317	3.449	
3.377	3.830	3.466	3.317	3.449	
3.377	3.436	3.466	3.317	3.449	
3.377	3.484	3.466	3.317	3.449	
3.377	3.753	3.466	3.317	3.449	
3.377	3.642	3.466	3.317	3.449	
3.377	3.587	3.466	3.317	3.449	
3.377	3.559	3.466	3.317	3.449	
3.377	3.545	3.466	3.317	3.449	
3.377	3.783	3.466	3.317	3.449	
3.377	3.657	3.466	3.317	3.449	
3.377	3.595	3.466	3.317	3.449	
3.377	3.563	3.466	3.317	3.449	
3.377	3.547	3.466	3.317	3.449	
3.377	3.539	3.466	3.317	3.449	
3.377	3.536	3.466	3.317	3.449	
3.377	3.289	3.466	3.317	3.449	
3.377	3.655	3.466	3.317	3.449	
3.377	3.593	3.466	3.317	3.449	
3.377	3.318	3.466	3.317	3.449	
3.377	3.318	3.254	3.317	3.449	
3.377	3.318	3.637	3.317	3.449	
3.377	3.318	3.585	3.317	3.449	
3.377	3.318	3.558	3.317	3.449	
3.377	3.318	3.300	3.317	3.449	
3.377	3.318	3.416	3.317	3.449	
3.377	3.318	3.718	3.317	3.449	
3.377	3.318	3.625	3.317	3.449	
3.377	3.318	3.333	3.317	3.449	
3.377	3.318	3.433	3.317	3.449	
3.377	3.318	3.727	3.317	3.449	
3.377	3.318	3.629	3.317	3.449	
3.377	3.318	3.825	3.317	3.449	
3.377	3.318	3.678	3.317	3.449	
3.377	3.318	3.605	3.317	3.449	
3.377	3.318	3.568	3.317	3.449	
3.377	3.318	3.305	3.317	3.449	
3.377	3.318	3.418	3.317	3.449	
3.377	3.318	3.720	3.317	3.449	
3.377	3.318	3.626	3.317	3.449	
3.377	3.318	3.334	3.317	3.449	
3.377	3.318	3.334	3.317	3.245	
3.377	3.318	3.334	3.317	3.633	
3.377	3.318	3.334	3.317	3.582	
3.377	3.318	3.334	3.317	3.312	
3.377	3.318	3.334	3.317	3.422	
3.377	3.318	3.334	3.317	3.722	
3.377	3.318	3.334	3.317	3.382	
3.377	3.318	3.334	3.317	3.457	
3.377	3.318	3.334	3.317	3.494	
3.377	3.318	3.334	3.317	3.513	
3.377	3.318	3.334	3.317	3.277	
3.377	3.318	3.334	3.317	3.649	
3.377	3.318	3.334	3.317	3.590	
3.377	3.318	3.334	3.317	3.316	
3.377	3.318	3.334	3.317	3.424	
3.377	3.318	3.334	3.317	3.723	
3.377	3.318	3.334	3.317	3.627	
3.377	3.318	3.334	3.317	3.579	
3.377	3.318	3.334	3.317	3.555	
3.377	3.318	3.334	3.317	3.299	
3.377	3.318	3.334	3.317	3.660	
3.377	3.318	3.334	3.317	3.351	
3.209	3.318	3.334	3.317	3.351	
3.370	3.318	3.334	3.317	3.351	
3.451	3.318	3.334	3.317	3.351	
3.736	3.318	3.334	3.317	3.351	
3.389	3.318	3.334	3.317	3.351	
3.215	3.318	3.334	3.317	3.351	
3.618	3.318	3.334	3.317	3.351	
3.575	3.318	3.334	3.317	3.351	
3.553	3.318	3.334	3.317	3.351	
3.298	3.318	3.334	3.317	3.351	
3.415	3.318	3.334	3.317	3.351	
3.718	3.318	3.334	3.317	3.351	
3.380	3.318	3.334	3.317	3.351	
3.211	3.318	3.334	3.317	3.351	
3.616	3.318	3.334	3.317	3.351	
3.574	3.318	3.334	3.317	3.351	
3.553	3.318	3.334	3.317	3.351	
3.297	3.318	3.334	3.317	3.351	
3.414	3.318	3.334	3.317	3.351	
3.718	3.318	3.334	3.317	3.351	
3.625	3.318	3.334	3.317	3.351	
3.333	3.318	3.334	3.317	3.351	
3.432	3.318	3.334	3.317	3.351	
3.727	3.318	3.334	3.317	3.351	
3.629	3.318	3.334	3.317	3.351	
3.580	3.318	3.334	3.317	3.351	
3.556	3.318	3.334	3.317	3.351	
3.299	3.318	3.334	3.317	3.351	
3.415	3.318	3.334	3.317	3.351	
3.473	3.318	3.334	3.317	3.351	
3.747	3.318	3.334	3.317	3.351	
3.395	3.318	3.334	3.317	3.351	
3.463	3.318	3.334	3.317	3.351	
3.497	3.318	3.334	3.317	3.351	
3.514	3.318	3.334	3.317	3.351	
3.523	3.318	3.334	3.317	3.351	
3.527	3.318	3.334	3.317	3.351	
3.529	3.318	3.334	3.317	3.351	
3.531	3.318	3.334	3.317	3.351	
3.531	3.318	3.334	3.317	3.351	
3.531	3.318	3.334	3.317	3.351	
3.531	3.318	3.334	3.317	3.351	
3.532	3.318	3.334	3.317	3.351	
3.287	3.318	3.334	3.317	3.351	
3.654	3.318	3.334	3.317	3.351	
3.593	3.318	3.334	3.317	3.351	
3.562	3.318	3.334	3.317	3.351	
3.302	3.318	3.334	3.317	3.351	
3.662	3.318	3.334	3.317	3.351	
3.352	3.318	3.334	3.317	3.351	
3.442	3.318	3.334	3.317	3.351	
3.487	3.318	3.334	3.317	3.351	
3.264	3.318	3.334	3.317	3.351	
3.398	3.318	3.334	3.317	3.351	
3.710	3.318	3.334	3.317	3.351	
3.865	3.318	3.334	3.317	3.351	
3.698	3.318	3.334	3.317	3.351	
3.615	3.318	3.334	3.317	3.351	
3.573	3.318	3.334	3.317	3.351	
3.308	3.318	3.334	3.317	3.351	
3.664	3.318	3.334	3.317	3.351	
3.598	3.318	3.334	3.317	3.351	
3.565	3.318	3.334	3.317	3.351	
3.548	3.318	3.334	3.317	3.351	
3.540	3.318	3.334	3.317	3.351	
3.536	3.318	3.334	3.317	3.351	
3.534	3.318	3.334	3.317	3.351	
3.533	3.318	3.334	3.317	3.351	
3.532	3.318	3.334	3.317	3.351	
3.532	3.318	3.334	3.317	3.351	
3.532	3.318	3.334	3.317	3.351	
3.532	3.318	3.334	3.317	3.351	
3.532	3.318	3.334	3.317	3.351	
3.287	3.318	3.334	3.317	3.351	
3.654	3.318	3.334	3.317	3.351	
3.593	3.318	3.334	3.317	3.351	
3.562	3.318	3.334	3.317	3.351	
3.547	3.318	3.334	3.317	3.351	
3.539	3.318	3.334	3.317	3.351	
3.535	3.318	3.334	3.317	3.351	
3.534	3.318	3.334	3.317	3.351	
3.533	3.318	3.334	3.317	3.351	
3.532	3.318	3.334	3.317	3.351	
3.777	3.318	3.334	3.317	3.351	
3.654	3.318	3.334	3.317	3.351	
3.593	3.318	3.334	3.317	3.351	
3.562	3.318	3.334	3.317	3.351	
3.547	3.318	3.334	3.317	3.351	
3.539	3.318	3.334	3.317	3.351	
3.535	3.318	3.334	3.317	3.351	
3.534	3.318	3.334	3.317	3.351	
3.533	3.318	3.334	3.317	3.351	
3.532	3.318	3.334	3.317	3.351	
3.532	3.318	3.334	3.317	3.351	
3.532	3.318	3.334	3.317	3.351	
3.532	3.318	3.334	3.317	3.351	
3.532	3.318	3.334	3.317	3.351	
3.532	3.318	3.334	3.317	3.351	
3.532	3.318	3.334	3.317	3.351	
3.532	3.318	3.334	3.317	3.351	
3.532	3.318	3.334	3.317	3.351	
3.532	3.318	3.334	3.317	3.351	
3.532	3.318	3.334	3.317	3.351	
3.287	3.318	3.334	3.317	3.351	
