Server_09	Server_0	Server_01	Server_0F	Server_0A	
3.776	4.000	3.528	3.797	3.943	
3.776	3.766	3.528	3.797	3.943	
3.776	3.766	3.528	3.797	3.493	
3.776	3.766	3.528	3.419	3.493	
3.654	3.766	3.528	3.419	3.493	
3.654	3.404	3.528	3.419	3.493	
3.348	3.404	3.528	3.419	3.493	
3.440	3.404	3.528	3.419	3.493	
3.440	3.404	3.285	3.419	3.493	
3.440	3.404	3.408	3.419	3.493	
3.440	3.404	3.470	3.419	3.493	
3.440	3.404	3.501	3.419	3.493	
3.440	3.404	3.271	3.419	3.493	
3.440	3.404	3.401	3.419	3.493	
3.440	3.404	3.467	3.419	3.493	
3.440	3.404	3.499	3.419	3.493	
3.440	3.404	3.270	3.419	3.493	
3.440	3.404	3.401	3.419	3.493	
3.440	3.404	3.466	3.419	3.493	
3.440	3.404	3.499	3.419	3.493	
3.440	3.404	3.515	3.419	3.493	
3.440	3.404	3.523	3.419	3.493	
3.440	3.404	3.283	3.419	3.493	
3.440	3.404	3.652	3.419	3.493	
3.440	3.404	3.592	3.419	3.493	
3.440	3.404	3.562	3.419	3.493	
3.440	3.404	3.302	3.419	3.493	
3.440	3.404	3.417	3.419	3.493	
3.440	3.404	3.719	3.419	3.493	
3.440	3.404	3.625	3.419	3.493	
3.440	3.404	3.334	3.419	3.493	
3.440	3.404	3.677	3.419	3.493	
3.440	3.404	3.604	3.419	3.493	
3.440	3.404	3.568	3.419	3.493	
3.440	3.404	3.550	3.419	3.493	
3.440	3.404	3.296	3.419	3.493	
3.440	3.404	3.414	3.419	3.493	
3.440	3.404	3.473	3.419	3.493	
3.440	3.404	3.502	3.419	3.493	
3.440	3.404	3.762	3.419	3.493	
3.440	3.404	3.402	3.419	3.493	
3.440	3.404	3.402	3.419	3.267	
3.440	3.404	3.402	3.419	3.644	
3.440	3.404	3.402	3.419	3.588	
3.440	3.404	3.402	3.419	3.315	
3.241	3.404	3.402	3.419	3.315	
3.386	3.404	3.402	3.419	3.315	
3.459	3.404	3.402	3.419	3.315	
3.740	3.404	3.402	3.419	3.315	
3.636	3.404	3.402	3.419	3.315	
3.339	3.404	3.402	3.419	3.315	
3.435	3.404	3.402	3.419	3.315	
3.728	3.404	3.402	3.419	3.315	
3.385	3.404	3.402	3.419	3.315	
3.385	3.404	3.402	3.231	3.315	
3.385	3.404	3.402	3.626	3.315	
3.385	3.404	3.402	3.334	3.315	
3.385	3.404	3.402	3.433	3.315	
3.385	3.404	3.402	3.727	3.315	
3.385	3.404	3.402	3.629	3.315	
3.385	3.404	3.402	3.336	3.315	
3.385	3.223	3.402	3.336	3.315	
3.385	3.622	3.402	3.336	3.315	
3.385	3.332	3.402	3.336	3.315	
3.385	3.432	3.402	3.336	3.315	
3.385	3.726	3.402	3.336	3.315	
3.385	3.629	3.402	3.336	3.315	
3.385	3.335	3.402	3.336	3.315	
3.385	3.434	3.402	3.336	3.315	
3.385	3.483	3.402	3.336	3.315	
3.385	3.507	3.402	3.336	3.315	
3.385	3.274	3.402	3.336	3.315	
3.385	3.403	3.402	3.336	3.315	
3.385	3.712	3.402	3.336	3.315	
3.385	3.622	3.402	3.336	3.315	
3.385	3.577	3.402	3.336	3.315	
3.385	3.554	3.402	3.336	3.315	
3.385	3.543	3.402	3.336	3.315	
3.385	3.292	3.402	3.336	3.315	
3.385	3.412	3.402	3.336	3.315	
3.385	3.717	3.402	3.336	3.315	
3.385	3.624	3.402	3.336	3.315	
3.385	3.333	3.402	3.336	3.315	
3.385	3.677	3.402	3.336	3.315	
3.385	3.604	3.402	3.336	3.315	
3.385	3.568	3.402	3.336	3.315	
3.385	3.550	3.402	3.336	3.315	
3.385	3.541	3.402	3.336	3.315	
3.385	3.536	3.402	3.336	3.315	
3.385	3.289	3.402	3.336	3.315	
3.385	3.410	3.402	3.336	3.315	
3.385	3.716	3.402	3.336	3.315	
3.385	3.379	3.402	3.336	3.315	
3.385	3.379	3.222	3.336	3.315	
3.385	3.379	3.377	3.336	3.315	
3.213	3.379	3.377	3.336	3.315	
3.617	3.379	3.377	3.336	3.315	
3.574	3.379	3.377	3.336	3.315	
3.553	3.379	3.377	3.336	3.315	
3.542	3.379	3.377	3.336	3.315	
3.292	3.379	3.377	3.336	3.315	
3.412	3.379	3.377	3.336	3.315	
3.717	3.379	3.377	3.336	3.315	
3.624	3.379	3.377	3.336	3.315	
3.578	3.379	3.377	3.336	3.315	
3.555	3.379	3.377	3.336	3.315	
3.543	3.379	3.377	3.336	3.315	
3.537	3.379	3.377	3.336	3.315	
3.534	3.379	3.377	3.336	3.315	
3.778	3.379	3.377	3.336	3.315	
3.655	3.379	3.377	3.336	3.315	
3.593	3.379	3.377	3.336	3.315	
3.562	3.379	3.377	3.336	3.315	
3.547	3.379	3.377	3.336	3.315	
3.294	3.379	3.377	3.336	3.315	
3.413	3.379	3.377	3.336	3.315	
3.472	3.379	3.377	3.336	3.315	
3.747	3.379	3.377	3.336	3.315	
3.639	3.379	3.377	3.336	3.315	
3.585	3.379	3.377	3.336	3.315	
3.558	3.379	3.377	3.336	3.315	
3.545	3.379	3.377	3.336	3.315	
3.538	3.379	3.377	3.336	3.315	
3.535	3.379	3.377	3.336	3.315	
3.533	3.379	3.377	3.336	3.315	
3.532	3.379	3.377	3.336	3.315	
3.532	3.379	3.377	3.336	3.315	
3.532	3.379	3.377	3.336	3.315	
3.532	3.379	3.377	3.336	3.315	
3.532	3.379	3.377	3.336	3.315	
3.532	3.379	3.377	3.336	3.315	
3.532	3.379	3.377	3.336	3.315	
3.532	3.379	3.377	3.336	3.315	
3.532	3.379	3.377	3.336	3.315	
3.532	3.379	3.377	3.336	3.315	
3.532	3.379	3.377	3.336	3.315	
3.532	3.379	3.377	3.336	3.315	
3.532	3.379	3.377	3.336	3.315	
3.532	3.379	3.377	3.336	3.315	
3.532	3.379	3.377	3.336	3.315	
3.776	3.379	3.377	3.336	3.315	
3.654	3.379	3.377	3.336	3.315	
3.593	3.379	3.377	3.336	3.315	
3.562	3.379	3.377	3.336	3.315	
3.302	3.379	3.377	3.336	3.315	
3.417	3.379	3.377	3.336	3.315	
3.474	3.379	3.377	3.336	3.315	
3.503	3.379	3.377	3.336	3.315	
3.517	3.379	3.377	3.336	3.315	
3.524	3.379	3.377	3.336	3.315	
3.528	3.379	3.377	3.336	3.315	
3.530	3.379	3.377	3.336	3.315	
3.286	3.379	3.377	3.336	3.315	
3.409	3.379	3.377	3.336	3.315	
3.715	3.379	3.377	3.336	3.315	
3.378	3.379	3.377	3.336	3.315	
3.700	3.379	3.377	3.336	3.315	
3.616	3.379	3.377	3.336	3.315	
3.574	3.379	3.377	3.336	3.315	
3.308	3.379	3.377	3.336	3.315	
3.420	3.379	3.377	3.336	3.315	
3.476	3.379	3.377	3.336	3.315	
3.504	3.379	3.377	3.336	3.315	
3.518	3.379	3.377	3.336	3.315	
3.280	3.379	3.377	3.336	3.315	
3.650	3.379	3.377	3.336	3.315	
3.591	3.379	3.377	3.336	3.315	
3.561	3.379	3.377	3.336	3.315	
3.546	3.379	3.377	3.336	3.315	
3.784	3.379	3.377	3.336	3.315	
3.658	3.379	3.377	3.336	3.315	
