Server_09	Server_0	Server_05	Server_0E	Server_0B	
3.776	4.000	3.040	3.279	3.430	
3.776	3.766	3.040	3.279	3.430	
3.776	4.138	3.040	3.279	3.430	
3.776	4.324	3.040	3.279	3.430	
3.776	4.173	3.040	3.279	3.430	
3.776	4.097	3.040	3.279	3.430	
3.776	4.059	3.040	3.279	3.430	
3.776	4.040	3.040	3.279	3.430	
3.776	3.786	3.040	3.279	3.430	
3.776	3.659	3.040	3.279	3.430	
3.654	3.659	3.040	3.279	3.430	
3.838	3.659	3.040	3.279	3.430	
3.685	3.659	3.040	3.279	3.430	
4.098	3.659	3.040	3.279	3.430	
4.059	3.659	3.040	3.279	3.430	
3.795	3.659	3.040	3.279	3.430	
3.908	3.659	3.040	3.279	3.430	
3.965	3.659	3.040	3.279	3.430	
3.748	3.659	3.040	3.279	3.430	
3.885	3.659	3.040	3.279	3.430	
3.708	3.659	3.040	3.279	3.430	
3.865	3.659	3.040	3.279	3.430	
3.698	3.659	3.040	3.279	3.430	
3.860	3.659	3.040	3.279	3.430	
4.185	3.659	3.040	3.279	3.430	
3.858	3.659	3.040	3.279	3.430	
3.695	3.659	3.040	3.279	3.430	
3.613	3.659	3.040	3.279	3.430	
3.817	3.659	3.040	3.279	3.430	
3.674	3.659	3.040	3.279	3.430	
3.848	3.659	3.040	3.279	3.430	
3.690	3.659	3.040	3.279	3.430	
3.611	3.659	3.040	3.279	3.430	
3.816	3.659	3.040	3.279	3.430	
3.674	3.659	3.040	3.279	3.430	
3.603	3.659	3.040	3.279	3.430	
3.812	3.659	3.040	3.279	3.430	
3.672	3.659	3.040	3.279	3.430	
3.602	3.659	3.040	3.279	3.430	
3.811	3.659	3.040	3.279	3.430	
3.672	3.659	3.040	3.279	3.430	
3.602	3.659	3.040	3.279	3.430	
3.811	3.659	3.040	3.279	3.430	
3.671	3.659	3.040	3.279	3.430	
3.357	3.659	3.040	3.279	3.430	
3.357	3.595	3.040	3.279	3.430	
3.357	3.318	3.040	3.279	3.430	
3.357	3.318	3.040	3.279	3.236	
3.357	3.318	3.040	3.279	3.384	
3.357	3.318	3.040	3.279	3.702	
3.357	3.318	3.040	3.279	3.862	
3.357	3.318	3.040	3.279	3.452	
3.357	3.318	3.040	3.279	3.492	
3.357	3.318	3.040	3.279	3.756	
3.357	3.318	3.040	3.279	3.644	
3.357	3.318	3.040	3.279	3.588	
3.357	3.318	3.040	3.279	3.315	
3.357	3.318	3.040	3.279	3.668	
3.357	3.318	3.040	3.279	3.600	
3.357	3.318	3.040	3.279	3.321	
3.199	3.318	3.040	3.279	3.321	
3.610	3.318	3.040	3.279	3.321	
3.326	3.318	3.040	3.279	3.321	
3.674	3.318	3.040	3.279	3.321	
3.603	3.318	3.040	3.279	3.321	
3.567	3.318	3.040	3.279	3.321	
3.304	3.318	3.040	3.279	3.321	
3.304	3.318	3.040	3.279	3.181	
3.304	3.318	3.040	3.279	3.356	
3.304	3.318	3.040	3.279	3.689	
3.304	3.318	3.040	3.279	3.610	
3.304	3.318	3.040	3.279	3.326	
3.304	3.318	3.040	3.279	3.674	
3.304	3.318	3.040	3.279	3.603	
3.304	3.318	3.040	3.279	3.567	
3.304	3.318	3.040	3.279	3.549	
3.304	3.318	3.040	3.279	3.540	
3.304	3.318	3.040	3.279	3.291	
3.304	3.318	3.040	3.279	3.411	
3.304	3.318	3.040	3.279	3.716	
3.304	3.318	3.040	3.279	3.379	
3.304	3.318	3.040	3.279	3.210	
3.304	3.318	3.040	3.279	3.616	
3.304	3.318	3.040	3.279	3.574	
3.304	3.318	3.040	3.279	3.553	
3.304	3.318	3.040	3.279	3.297	
3.304	3.318	3.040	3.279	3.414	
3.304	3.318	3.040	3.279	3.718	
3.304	3.318	3.040	3.279	3.625	
3.304	3.318	3.040	3.279	3.333	
3.304	3.318	3.040	3.279	3.432	
3.304	3.318	3.040	3.279	3.727	
3.304	3.318	3.040	3.279	3.629	
3.304	3.318	3.040	3.279	3.580	
3.304	3.318	3.040	3.279	3.311	
3.304	3.318	3.040	3.279	3.666	
3.304	3.318	3.040	3.279	3.599	
3.304	3.318	3.040	3.279	3.565	
3.304	3.318	3.040	3.279	3.548	
3.304	3.318	3.040	3.279	3.295	
3.304	3.318	3.040	3.279	3.413	
3.304	3.318	3.040	3.279	3.472	
3.304	3.318	3.040	3.279	3.502	
3.304	3.318	3.040	3.279	3.272	
3.304	3.318	3.040	3.279	3.402	
3.304	3.318	3.040	3.279	3.467	
3.304	3.318	3.040	3.279	3.744	
3.304	3.318	3.040	3.279	3.638	
3.304	3.318	3.040	3.279	3.585	
3.304	3.318	3.040	3.279	3.558	
