Server_09	Server_0	Server_0E	Server_0F	Server_0B	
3.776	4.000	3.307	3.995	3.138	
3.899	4.000	3.307	3.995	3.138	
3.960	4.000	3.307	3.995	3.138	
3.991	4.000	3.307	3.995	3.138	
4.006	4.000	3.307	3.995	3.138	
4.014	4.000	3.307	3.995	3.138	
4.017	4.000	3.307	3.995	3.138	
4.019	4.000	3.307	3.995	3.138	
4.020	4.000	3.307	3.995	3.138	
4.021	4.000	3.307	3.995	3.138	
3.776	4.000	3.307	3.995	3.138	
3.899	4.000	3.307	3.995	3.138	
3.960	4.000	3.307	3.995	3.138	
3.991	4.000	3.307	3.995	3.138	
4.006	4.000	3.307	3.995	3.138	
4.014	4.000	3.307	3.995	3.138	
4.017	4.000	3.307	3.995	3.138	
3.774	4.000	3.307	3.995	3.138	
3.898	4.000	3.307	3.995	3.138	
3.898	3.766	3.307	3.995	3.138	
3.898	3.766	3.307	3.763	3.138	
3.898	3.766	3.307	3.892	3.138	
3.898	3.766	3.307	3.957	3.138	
3.898	3.766	3.307	3.744	3.138	
3.898	3.766	3.307	3.883	3.138	
3.715	3.766	3.307	3.883	3.138	
3.868	3.766	3.307	3.883	3.138	
3.945	3.766	3.307	3.883	3.138	
3.738	3.766	3.307	3.883	3.138	
3.880	3.766	3.307	3.883	3.138	
3.880	3.766	3.307	3.707	3.138	
3.706	3.766	3.307	3.707	3.138	
3.863	3.766	3.307	3.707	3.138	
3.697	3.766	3.307	3.707	3.138	
3.859	3.766	3.307	3.707	3.138	
3.695	3.766	3.307	3.707	3.138	
3.858	3.766	3.307	3.707	3.138	
3.940	3.766	3.307	3.707	3.138	
3.736	3.766	3.307	3.707	3.138	
3.736	3.649	3.307	3.707	3.138	
3.736	3.835	3.307	3.707	3.138	
3.736	3.683	3.307	3.707	3.138	
3.634	3.683	3.307	3.707	3.138	
3.634	3.683	3.307	3.619	3.138	
3.634	3.683	3.307	3.820	3.138	
3.634	3.683	3.307	3.676	3.138	
3.634	3.607	3.307	3.676	3.138	
3.634	3.607	3.307	3.359	3.138	
3.634	3.607	3.307	3.690	3.138	
3.634	3.607	3.307	3.611	3.138	
3.583	3.607	3.307	3.611	3.138	
3.583	3.607	3.307	3.571	3.138	
3.583	3.607	3.307	3.796	3.138	
3.583	3.607	3.307	3.664	3.138	
3.583	3.607	3.307	3.598	3.138	
3.583	3.570	3.307	3.598	3.138	
3.583	3.795	3.307	3.598	3.138	
3.583	3.419	3.307	3.598	3.138	
3.583	3.419	3.307	3.320	3.138	
3.557	3.419	3.307	3.320	3.138	
3.789	3.419	3.307	3.320	3.138	
3.660	3.419	3.307	3.320	3.138	
3.351	3.419	3.307	3.320	3.138	
3.441	3.419	3.307	3.320	3.138	
3.486	3.419	3.307	3.320	3.138	
3.264	3.419	3.307	3.320	3.138	
3.643	3.419	3.307	3.320	3.138	
3.587	3.419	3.307	3.320	3.138	
3.559	3.419	3.307	3.320	3.138	
3.545	3.419	3.307	3.320	3.138	
3.294	3.419	3.307	3.320	3.138	
3.657	3.419	3.307	3.320	3.138	
3.350	3.419	3.307	3.320	3.138	
3.685	3.419	3.307	3.320	3.138	
3.364	3.419	3.307	3.320	3.138	
3.364	3.230	3.307	3.320	3.138	
3.364	3.381	3.307	3.320	3.138	
3.364	3.456	3.307	3.320	3.138	
3.364	3.739	3.307	3.320	3.138	
3.364	3.635	3.307	3.320	3.138	
3.364	3.338	3.307	3.320	3.138	
3.364	3.435	3.307	3.320	3.138	
3.364	3.728	3.307	3.320	3.138	
3.364	3.630	3.307	3.320	3.138	
3.364	3.336	3.307	3.320	3.138	
3.364	3.679	3.307	3.320	3.138	
3.364	3.605	3.307	3.320	3.138	
3.364	3.568	3.307	3.320	3.138	
3.364	3.305	3.307	3.320	3.138	
3.364	3.418	3.307	3.320	3.138	
3.364	3.720	3.307	3.320	3.138	
3.364	3.381	3.307	3.320	3.138	
3.364	3.211	3.307	3.320	3.138	
3.364	3.616	3.307	3.320	3.138	
3.364	3.574	3.307	3.320	3.138	
3.364	3.553	3.307	3.320	3.138	
3.364	3.297	3.307	3.320	3.138	
