Server_09	Server_0	Server_06	Server_02	Server_0B	
3.776	4.000	3.496	3.375	3.308	
4.388	4.000	3.496	3.375	3.308	
4.694	4.000	3.496	3.375	3.308	
3.379	4.000	3.496	3.375	3.308	
3.700	4.000	3.496	3.375	3.308	
3.861	4.000	3.496	3.375	3.308	
3.941	4.000	3.496	3.375	3.308	
3.981	4.000	3.496	3.375	3.308	
4.001	4.000	3.496	3.375	3.308	
4.011	4.000	3.496	3.375	3.308	
4.016	4.000	3.496	3.375	3.308	
4.019	4.000	3.496	3.375	3.308	
3.775	4.000	3.496	3.375	3.308	
3.898	4.000	3.496	3.375	3.308	
3.960	4.000	3.496	3.375	3.308	
3.990	4.000	3.496	3.375	3.308	
4.006	4.000	3.496	3.375	3.308	
3.769	4.000	3.496	3.375	3.308	
3.895	4.000	3.496	3.375	3.308	
3.958	4.000	3.496	3.375	3.308	
3.990	4.000	3.496	3.375	3.308	
3.990	3.766	3.496	3.375	3.308	
3.990	3.893	3.496	3.375	3.308	
3.761	3.893	3.496	3.375	3.308	
3.761	3.713	3.496	3.375	3.308	
3.401	3.713	3.496	3.375	3.308	
3.401	3.622	3.496	3.375	3.308	
3.401	3.577	3.496	3.375	3.308	
3.401	3.309	3.496	3.375	3.308	
3.401	3.420	3.496	3.375	3.308	
3.401	3.476	3.496	3.375	3.308	
3.401	3.476	3.269	3.375	3.308	
3.401	3.476	3.400	3.375	3.308	
3.401	3.476	3.466	3.375	3.308	
3.401	3.476	3.499	3.375	3.308	
3.401	3.476	4.005	3.375	3.308	
3.401	3.476	3.768	3.375	3.308	
3.401	3.476	3.650	3.375	3.308	
3.401	3.476	3.836	3.375	3.308	
3.401	3.476	3.684	3.375	3.308	
3.401	3.476	3.852	3.375	3.308	
3.401	3.476	3.692	3.375	3.308	
3.401	3.476	3.857	3.375	3.308	
3.401	3.476	3.694	3.375	3.308	
3.401	3.476	3.858	3.375	3.308	
3.401	3.476	3.695	3.375	3.308	
3.401	3.476	3.858	3.375	3.308	
3.401	3.476	3.695	3.375	3.308	
3.401	3.476	3.613	3.375	3.308	
3.401	3.476	3.817	3.375	3.308	
3.401	3.476	3.674	3.375	3.308	
3.401	3.476	3.603	3.375	3.308	
3.401	3.476	3.567	3.375	3.308	
3.401	3.476	3.794	3.375	3.308	
3.401	3.476	3.663	3.375	3.308	
3.401	3.476	3.352	3.375	3.308	
3.401	3.476	3.687	3.375	3.308	
3.401	3.476	3.609	3.375	3.308	
3.401	3.476	3.570	3.375	3.308	
3.401	3.476	3.551	3.375	3.308	
3.401	3.476	3.541	3.375	3.308	
3.401	3.476	3.781	3.375	3.308	
3.401	3.476	3.656	3.375	3.308	
3.401	3.476	3.594	3.375	3.308	
3.401	3.476	3.563	3.375	3.308	
3.401	3.476	3.302	3.375	3.308	
3.401	3.476	3.662	3.375	3.308	
3.401	3.476	3.597	3.375	3.308	
3.401	3.476	3.564	3.375	3.308	
3.401	3.476	3.303	3.375	3.308	
3.401	3.476	3.417	3.375	3.308	
3.401	3.476	3.719	3.375	3.308	
3.401	3.476	3.381	3.375	3.308	
3.401	3.476	3.456	3.375	3.308	
3.401	3.476	3.494	3.375	3.308	
3.401	3.476	3.513	3.375	3.308	
3.401	3.476	3.277	3.375	3.308	
3.401	3.476	3.404	3.375	3.308	
3.401	3.476	3.713	3.375	3.308	
3.401	3.476	3.622	3.375	3.308	
3.401	3.476	3.332	3.375	3.308	
3.401	3.476	3.432	3.375	3.308	
3.401	3.476	3.726	3.375	3.308	
3.401	3.476	3.384	3.375	3.308	
3.401	3.259	3.384	3.375	3.308	
3.401	3.640	3.384	3.375	3.308	
3.401	3.341	3.384	3.375	3.308	
3.401	3.436	3.384	3.375	3.308	
3.401	3.729	3.384	3.375	3.308	
3.401	3.630	3.384	3.375	3.308	
3.401	3.336	3.384	3.375	3.308	
3.401	3.434	3.384	3.375	3.308	
3.401	3.727	3.384	3.375	3.308	
3.401	3.385	3.384	3.375	3.308	
3.221	3.385	3.384	3.375	3.308	
3.621	3.385	3.384	3.375	3.308	
3.576	3.385	3.384	3.375	3.308	
3.309	3.385	3.384	3.375	3.308	
3.420	3.385	3.384	3.375	3.308	
3.721	3.385	3.384	3.375	3.308	
3.381	3.385	3.384	3.375	3.308	
3.381	3.213	3.384	3.375	3.308	
