Server_09	Server_0	Server_0E	Server_08	Server_04	
3.776	4.000	3.197	3.885	3.524	
3.776	3.766	3.197	3.885	3.524	
3.776	3.766	3.197	3.708	3.524	
3.654	3.766	3.197	3.708	3.524	
3.654	3.649	3.197	3.708	3.524	
3.654	3.649	3.197	3.620	3.524	
3.593	3.649	3.197	3.620	3.524	
3.593	3.590	3.197	3.620	3.524	
3.593	3.590	3.197	3.576	3.524	
3.562	3.590	3.197	3.576	3.524	
3.562	3.561	3.197	3.576	3.524	
3.562	3.561	3.197	3.554	3.524	
3.547	3.561	3.197	3.554	3.524	
3.547	3.546	3.197	3.554	3.524	
3.547	3.546	3.197	3.543	3.524	
3.539	3.546	3.197	3.543	3.524	
3.539	3.539	3.197	3.543	3.524	
3.539	3.539	3.197	3.292	3.524	
3.535	3.539	3.197	3.292	3.524	
3.535	3.535	3.197	3.292	3.524	
3.534	3.535	3.197	3.292	3.524	
3.534	3.533	3.197	3.292	3.524	
3.288	3.533	3.197	3.292	3.524	
3.288	3.288	3.197	3.292	3.524	
3.288	3.654	3.197	3.292	3.524	
3.288	3.593	3.197	3.292	3.524	
3.288	3.317	3.197	3.292	3.524	
3.288	3.669	3.197	3.292	3.524	
3.288	3.600	3.197	3.292	3.524	
3.288	3.321	3.197	3.292	3.524	
3.288	3.671	3.197	3.292	3.524	
3.288	3.601	3.197	3.292	3.524	
3.288	3.322	3.197	3.292	3.524	
3.288	3.322	3.197	3.292	3.283	
3.288	3.322	3.197	3.292	3.407	
3.288	3.322	3.197	3.292	3.469	
3.288	3.322	3.197	3.292	3.745	
3.288	3.322	3.197	3.292	3.638	
3.288	3.322	3.197	3.292	3.830	
3.288	3.322	3.197	3.292	3.681	
3.288	3.322	3.197	3.292	3.606	
3.288	3.322	3.197	3.292	3.324	
3.288	3.322	3.197	3.292	3.428	
3.288	3.322	3.197	3.292	3.724	
3.288	3.322	3.197	3.292	3.628	
3.288	3.322	3.197	3.292	3.335	
3.288	3.322	3.197	3.292	3.188	
3.288	3.322	3.197	3.292	3.605	
3.288	3.322	3.197	3.292	3.568	
3.288	3.322	3.197	3.292	3.795	
3.288	3.322	3.197	3.292	3.663	
3.288	3.322	3.197	3.292	3.352	
3.288	3.322	3.197	3.292	3.197	
3.288	3.322	3.197	3.292	3.609	
3.288	3.322	3.197	3.292	3.570	
3.288	3.322	3.197	3.292	3.551	
3.288	3.322	3.197	3.292	3.541	
3.288	3.322	3.197	3.292	3.292	
3.288	3.322	3.197	3.292	3.656	
3.288	3.322	3.197	3.292	3.594	
3.288	3.322	3.197	3.292	3.563	
3.288	3.322	3.197	3.292	3.547	
3.288	3.322	3.197	3.292	3.294	
3.288	3.322	3.197	3.292	3.658	
3.288	3.322	3.197	3.292	3.350	
3.288	3.322	3.197	3.292	3.196	
3.288	3.322	3.197	3.292	3.608	
3.288	3.322	3.197	3.292	3.570	
3.288	3.322	3.197	3.292	3.551	
3.288	3.322	3.197	3.292	3.296	
3.288	3.322	3.197	3.292	3.414	
3.288	3.322	3.197	3.292	3.718	
3.288	3.322	3.197	3.292	3.625	
3.288	3.322	3.197	3.292	3.333	
3.288	3.322	3.197	3.292	3.677	
3.288	3.322	3.197	3.292	3.604	
3.288	3.322	3.197	3.292	3.568	
