Server_09	Server_0	Server_0E	Server_00	Server_02	
3.776	4.000	3.308	3.094	3.816	
3.776	3.766	3.308	3.094	3.816	
3.776	3.766	3.308	3.094	3.674	
3.654	3.766	3.308	3.094	3.674	
3.654	3.649	3.308	3.094	3.674	
3.654	3.649	3.308	3.094	3.603	
3.593	3.649	3.308	3.094	3.603	
3.593	3.590	3.308	3.094	3.603	
3.593	3.590	3.308	3.094	3.567	
3.562	3.590	3.308	3.094	3.567	
3.562	3.561	3.308	3.094	3.567	
3.562	3.561	3.308	3.094	3.549	
3.547	3.561	3.308	3.094	3.549	
3.547	3.546	3.308	3.094	3.549	
3.547	3.546	3.308	3.094	3.540	
3.539	3.546	3.308	3.094	3.540	
3.539	3.539	3.308	3.094	3.540	
3.539	3.539	3.308	3.094	3.291	
3.535	3.539	3.308	3.094	3.291	
3.535	3.535	3.308	3.094	3.291	
3.534	3.535	3.308	3.094	3.291	
3.534	3.533	3.308	3.094	3.291	
3.288	3.533	3.308	3.094	3.291	
3.288	3.288	3.308	3.094	3.291	
3.288	3.654	3.308	3.094	3.291	
3.288	3.838	3.308	3.094	3.291	
3.288	3.440	3.308	3.094	3.291	
3.288	3.486	3.308	3.094	3.291	
3.288	3.509	3.308	3.094	3.291	
3.288	3.275	3.308	3.094	3.291	
3.288	3.648	3.308	3.094	3.291	
3.288	3.590	3.308	3.094	3.291	
3.288	3.316	3.308	3.094	3.291	
3.288	3.179	3.308	3.094	3.291	
3.288	3.600	3.308	3.094	3.291	
3.288	3.811	3.308	3.094	3.291	
3.288	3.426	3.308	3.094	3.291	
3.288	3.479	3.308	3.094	3.291	
3.288	3.505	3.308	3.094	3.291	
3.288	3.274	3.308	3.094	3.291	
3.288	3.403	3.308	3.094	3.291	
3.288	3.712	3.308	3.094	3.291	
3.288	3.622	3.308	3.094	3.291	
3.288	3.332	3.308	3.094	3.291	
3.288	3.432	3.308	3.094	3.291	
3.288	3.726	3.308	3.094	3.291	
3.288	3.629	3.308	3.094	3.291	
3.288	3.335	3.308	3.094	3.291	
3.288	3.433	3.308	3.094	3.291	
3.288	3.727	3.308	3.094	3.291	
3.288	3.629	3.308	3.094	3.291	
3.288	3.336	3.308	3.094	3.291	
3.288	3.434	3.308	3.094	3.291	
3.288	3.727	3.308	3.094	3.291	
3.288	3.629	3.308	3.094	3.291	
3.288	3.336	3.308	3.094	3.291	
3.288	3.189	3.308	3.094	3.291	
3.288	3.605	3.308	3.094	3.291	
3.288	3.568	3.308	3.094	3.291	
3.288	3.550	3.308	3.094	3.291	
3.288	3.296	3.308	3.094	3.291	
3.288	3.659	3.308	3.094	3.291	
3.288	3.595	3.308	3.094	3.291	
3.288	3.318	3.308	3.094	3.291	
3.288	3.425	3.308	3.094	3.291	
3.288	3.723	3.308	3.094	3.291	
3.288	3.627	3.308	3.094	3.291	
3.288	3.335	3.308	3.094	3.291	
3.288	3.188	3.308	3.094	3.291	
3.288	3.605	3.308	3.094	3.291	
3.288	3.568	3.308	3.094	3.291	
3.288	3.305	3.308	3.094	3.291	
3.288	3.418	3.308	3.094	3.291	
3.288	3.720	3.308	3.094	3.291	
3.288	3.626	3.308	3.094	3.291	
3.288	3.579	3.308	3.094	3.291	
3.288	3.310	3.308	3.094	3.291	
3.288	3.666	3.308	3.094	3.291	
3.288	3.599	3.308	3.094	3.291	
3.288	3.320	3.308	3.094	3.291	
3.288	3.181	3.308	3.094	3.291	
3.288	3.601	3.308	3.094	3.291	
3.288	3.566	3.308	3.094	3.291	
3.288	3.549	3.308	3.094	3.291	
3.288	3.295	3.308	3.094	3.291	
3.288	3.658	3.308	3.094	3.291	
3.288	3.595	3.308	3.094	3.291	
3.288	3.563	3.308	3.094	3.291	
3.288	3.303	3.308	3.094	3.291	
3.288	3.662	3.308	3.094	3.291	
3.288	3.597	3.308	3.094	3.291	
3.288	3.319	3.308	3.094	3.291	
3.288	3.181	3.308	3.094	3.291	
3.288	3.601	3.308	3.094	3.291	
3.288	3.566	3.308	3.094	3.291	
3.288	3.549	3.308	3.094	3.291	
3.288	3.295	3.308	3.094	3.291	
3.288	3.658	3.308	3.094	3.291	
3.288	3.595	3.308	3.094	3.291	
3.288	3.563	3.308	3.094	3.291	
3.288	3.547	3.308	3.094	3.291	
3.288	3.540	3.308	3.094	3.291	
3.288	3.536	3.308	3.094	3.291	
3.288	3.289	3.308	3.094	3.291	
3.288	3.655	3.308	3.094	3.291	
3.288	3.593	3.308	3.094	3.291	
3.288	3.562	3.308	3.094	3.291	
3.288	3.547	3.308	3.094	3.291	
3.288	3.539	3.308	3.094	3.291	
3.288	3.535	3.308	3.094	3.291	
3.288	3.534	3.308	3.094	3.291	
3.288	3.533	3.308	3.094	3.291	
3.288	3.532	3.308	3.094	3.291	
3.288	3.287	3.308	3.094	3.291	
3.288	3.654	3.308	3.094	3.291	
3.288	3.593	3.308	3.094	3.291	
3.288	3.317	3.308	3.094	3.291	
3.288	3.180	3.308	3.094	3.291	
3.288	3.600	3.308	3.094	3.291	
3.288	3.566	3.308	3.094	3.291	
3.288	3.304	3.308	3.094	3.291	
3.288	3.418	3.308	3.094	3.291	
3.288	3.719	3.308	3.094	3.291	
3.288	3.381	3.308	3.094	3.291	
3.288	3.211	3.308	3.094	3.291	
3.288	3.371	3.308	3.094	3.291	
3.288	3.451	3.308	3.094	3.291	
3.288	3.492	3.308	3.094	3.291	
3.288	3.267	3.308	3.094	3.291	
3.288	3.399	3.308	3.094	3.291	
3.288	3.465	3.308	3.094	3.291	
3.288	3.498	3.308	3.094	3.291	
3.288	3.515	3.308	3.094	3.291	
3.288	3.523	3.308	3.094	3.291	
3.288	3.527	3.308	3.094	3.291	
3.288	3.285	3.308	3.094	3.291	
3.288	3.408	3.308	3.094	3.291	
3.288	3.470	3.308	3.094	3.291	
3.288	3.501	3.308	3.094	3.291	
3.288	3.516	3.308	3.094	3.291	
3.288	3.279	3.308	3.094	3.291	
3.288	3.405	3.308	3.094	3.291	
3.288	3.468	3.308	3.094	3.291	
3.288	3.500	3.308	3.094	3.291	
3.288	3.271	3.308	3.094	3.291	
3.288	3.401	3.308	3.094	3.291	
3.288	3.466	3.308	3.094	3.291	
3.288	3.254	3.308	3.094	3.291	
3.288	3.393	3.308	3.094	3.291	
3.288	3.462	3.308	3.094	3.291	
