Server_09	Server_0	Server_05	Server_07	Server_02	
3.776	4.000	3.924	3.121	3.406	
4.388	4.000	3.924	3.121	3.406	
4.449	4.000	3.924	3.121	3.406	
3.256	4.000	3.924	3.121	3.406	
3.639	4.000	3.924	3.121	3.406	
3.830	4.000	3.924	3.121	3.406	
3.926	4.000	3.924	3.121	3.406	
3.973	4.000	3.924	3.121	3.406	
3.997	4.000	3.924	3.121	3.406	
4.009	4.000	3.924	3.121	3.406	
4.015	4.000	3.924	3.121	3.406	
3.773	4.000	3.924	3.121	3.406	
3.897	4.000	3.924	3.121	3.406	
3.959	4.000	3.924	3.121	3.406	
3.990	4.000	3.924	3.121	3.406	
4.006	4.000	3.924	3.121	3.406	
3.769	4.000	3.924	3.121	3.406	
3.895	4.000	3.924	3.121	3.406	
3.958	4.000	3.924	3.121	3.406	
3.958	3.766	3.924	3.121	3.406	
3.745	3.766	3.924	3.121	3.406	
3.745	3.766	3.728	3.121	3.406	
3.745	3.766	3.875	3.121	3.406	
3.745	3.766	3.948	3.121	3.406	
3.745	3.766	3.740	3.121	3.406	
3.745	3.766	3.880	3.121	3.406	
3.745	3.766	3.706	3.121	3.406	
3.745	3.766	3.864	3.121	3.406	
3.745	3.766	3.942	3.121	3.406	
3.745	3.766	3.737	3.121	3.406	
3.745	3.649	3.737	3.121	3.406	
3.393	3.649	3.737	3.121	3.406	
3.393	3.649	3.634	3.121	3.406	
3.393	3.590	3.634	3.121	3.406	
3.393	3.590	3.583	3.121	3.406	
3.393	3.590	3.802	3.121	3.406	
3.393	3.590	3.667	3.121	3.406	
3.393	3.590	3.844	3.121	3.406	
3.393	3.590	3.688	3.121	3.406	
3.393	3.590	3.610	3.121	3.406	
3.393	3.590	3.815	3.121	3.406	
3.393	3.590	3.674	3.121	3.406	
3.393	3.590	3.847	3.121	3.406	
3.393	3.590	3.689	3.121	3.406	
3.393	3.590	3.611	3.121	3.406	
3.393	3.590	3.571	3.121	3.406	
3.393	3.590	3.796	3.121	3.406	
3.393	3.590	3.664	3.121	3.406	
3.393	3.590	3.843	3.121	3.406	
3.393	3.590	3.687	3.121	3.406	
3.393	3.590	3.609	3.121	3.406	
3.393	3.590	3.570	3.121	3.406	
3.393	3.561	3.570	3.121	3.406	
3.393	3.561	3.306	3.121	3.406	
3.393	3.301	3.306	3.121	3.406	
3.393	3.661	3.306	3.121	3.406	
3.393	3.352	3.306	3.121	3.406	
3.393	3.442	3.306	3.121	3.406	
3.393	3.731	3.306	3.121	3.406	
3.393	3.387	3.306	3.121	3.406	
3.393	3.459	3.306	3.121	3.406	
3.393	3.495	3.306	3.121	3.406	
3.393	3.269	3.306	3.121	3.406	
3.393	3.400	3.306	3.121	3.406	
3.393	3.711	3.306	3.121	3.406	
3.393	3.621	3.306	3.121	3.406	
3.393	3.331	3.306	3.121	3.406	
3.393	3.432	3.306	3.121	3.406	
3.393	3.726	3.306	3.121	3.406	
3.393	3.629	3.306	3.121	3.406	
3.393	3.335	3.306	3.121	3.406	
3.393	3.433	3.306	3.121	3.406	
3.393	3.727	3.306	3.121	3.406	
3.393	3.629	3.306	3.121	3.406	
3.393	3.336	3.306	3.121	3.406	
3.393	3.434	3.306	3.121	3.406	
3.393	3.727	3.306	3.121	3.406	
3.393	3.385	3.306	3.121	3.406	
3.393	3.385	3.306	3.121	3.224	
3.393	3.385	3.306	3.121	3.623	
3.393	3.385	3.306	3.121	3.332	
3.393	3.385	3.306	3.121	3.432	
3.393	3.385	3.306	3.121	3.727	
3.393	3.385	3.306	3.121	3.629	
3.393	3.385	3.306	3.121	3.580	
3.393	3.385	3.306	3.121	3.556	
3.393	3.385	3.306	3.121	3.544	
3.393	3.385	3.306	3.121	3.293	
3.218	3.385	3.306	3.121	3.293	
3.375	3.385	3.306	3.121	3.293	
3.698	3.385	3.306	3.121	3.293	
3.615	3.385	3.306	3.121	3.293	
3.328	3.385	3.306	3.121	3.293	
3.430	3.385	3.306	3.121	3.293	
3.726	3.385	3.306	3.121	3.293	
3.629	3.385	3.306	3.121	3.293	
3.335	3.385	3.306	3.121	3.293	
3.335	3.213	3.306	3.121	3.293	
3.335	3.372	3.306	3.121	3.293	
3.335	3.452	3.306	3.121	3.293	
3.335	3.737	3.306	3.121	3.293	
3.335	3.389	3.306	3.121	3.293	
3.335	3.215	3.306	3.121	3.293	
3.335	3.618	3.306	3.121	3.293	
3.335	3.575	3.306	3.121	3.293	
3.335	3.553	3.306	3.121	3.293	
3.335	3.298	3.306	3.121	3.293	
3.335	3.415	3.306	3.121	3.293	
3.335	3.718	3.306	3.121	3.293	
3.335	3.625	3.306	3.121	3.293	
3.335	3.333	3.306	3.121	3.293	
3.335	3.677	3.306	3.121	3.293	
3.335	3.604	3.306	3.121	3.293	
3.335	3.568	3.306	3.121	3.293	
3.335	3.305	3.306	3.121	3.293	
3.335	3.418	3.306	3.121	3.293	
3.335	3.720	3.306	3.121	3.293	
3.335	3.626	3.306	3.121	3.293	
3.335	3.334	3.306	3.121	3.293	
3.335	3.677	3.306	3.121	3.293	
3.335	3.605	3.306	3.121	3.293	
3.335	3.323	3.306	3.121	3.293	
3.188	3.323	3.306	3.121	3.293	
3.360	3.323	3.306	3.121	3.293	
3.691	3.323	3.306	3.121	3.293	
3.611	3.323	3.306	3.121	3.293	
3.326	3.323	3.306	3.121	3.293	
3.429	3.323	3.306	3.121	3.293	
3.725	3.323	3.306	3.121	3.293	
3.628	3.323	3.306	3.121	3.293	
3.580	3.323	3.306	3.121	3.293	
3.556	3.323	3.306	3.121	3.293	
3.544	3.323	3.306	3.121	3.293	
3.538	3.323	3.306	3.121	3.293	
3.535	3.323	3.306	3.121	3.293	
3.533	3.323	3.306	3.121	3.293	
3.532	3.323	3.306	3.121	3.293	
3.532	3.323	3.306	3.121	3.293	
3.532	3.323	3.306	3.121	3.293	
3.287	3.323	3.306	3.121	3.293	
3.654	3.323	3.306	3.121	3.293	
3.593	3.323	3.306	3.121	3.293	
3.562	3.323	3.306	3.121	3.293	
3.302	3.323	3.306	3.121	3.293	
3.417	3.323	3.306	3.121	3.293	
3.229	3.323	3.306	3.121	3.293	
3.625	3.323	3.306	3.121	3.293	
3.578	3.323	3.306	3.121	3.293	
