Server_09	Server_0	Server_01	Server_07	Server_02	
3.776	4.000	3.598	3.953	3.359	
3.899	4.000	3.598	3.953	3.359	
3.960	4.000	3.598	3.953	3.359	
3.991	4.000	3.598	3.953	3.359	
4.006	4.000	3.598	3.953	3.359	
4.014	4.000	3.598	3.953	3.359	
4.017	4.000	3.598	3.953	3.359	
4.019	4.000	3.598	3.953	3.359	
4.020	4.000	3.598	3.953	3.359	
4.021	4.000	3.598	3.953	3.359	
4.021	4.000	3.598	3.953	3.359	
4.021	4.000	3.598	3.953	3.359	
4.021	4.000	3.598	3.953	3.359	
4.021	4.000	3.598	3.953	3.359	
3.776	4.000	3.598	3.953	3.359	
3.899	4.000	3.598	3.953	3.359	
3.960	4.000	3.598	3.953	3.359	
3.991	4.000	3.598	3.953	3.359	
3.991	3.766	3.598	3.953	3.359	
3.991	3.893	3.598	3.953	3.359	
3.761	3.893	3.598	3.953	3.359	
3.761	3.893	3.598	3.742	3.359	
3.761	3.893	3.598	3.882	3.359	
3.761	3.713	3.598	3.882	3.359	
3.761	3.867	3.598	3.882	3.359	
3.761	3.867	3.598	3.462	3.359	
3.761	3.699	3.598	3.462	3.359	
3.646	3.699	3.598	3.462	3.359	
3.834	3.699	3.598	3.462	3.359	
3.683	3.699	3.598	3.462	3.359	
3.683	3.615	3.598	3.462	3.359	
3.607	3.615	3.598	3.462	3.359	
3.607	3.574	3.598	3.462	3.359	
3.569	3.574	3.598	3.462	3.359	
3.569	3.574	3.565	3.462	3.359	
3.569	3.574	3.793	3.462	3.359	
3.569	3.574	3.662	3.462	3.359	
3.569	3.574	3.597	3.462	3.359	
3.569	3.574	3.564	3.462	3.359	
3.569	3.574	3.793	3.462	3.359	
3.569	3.574	3.907	3.462	3.359	
3.569	3.574	3.719	3.462	3.359	
3.569	3.574	3.870	3.462	3.359	
3.569	3.574	3.701	3.462	3.359	
3.569	3.574	3.616	3.462	3.359	
3.569	3.574	3.574	3.462	3.359	
3.569	3.574	3.798	3.462	3.359	
3.569	3.574	3.665	3.462	3.359	
3.569	3.574	3.353	3.462	3.359	
3.569	3.574	3.687	3.462	3.359	
3.569	3.574	3.609	3.462	3.359	
3.569	3.574	3.570	3.462	3.359	
3.569	3.553	3.570	3.462	3.359	
3.569	3.553	3.551	3.462	3.359	
3.550	3.553	3.551	3.462	3.359	
3.786	3.553	3.551	3.462	3.359	
3.414	3.553	3.551	3.462	3.359	
3.414	3.542	3.551	3.462	3.359	
3.414	3.542	3.296	3.462	3.359	
3.414	3.537	3.296	3.462	3.359	
3.414	3.779	3.296	3.462	3.359	
3.414	3.410	3.296	3.462	3.359	
3.414	3.471	3.296	3.462	3.359	
3.414	3.746	3.296	3.462	3.359	
3.414	3.394	3.296	3.462	3.359	
3.414	3.394	3.296	3.252	3.359	
3.414	3.394	3.296	3.392	3.359	
3.414	3.394	3.296	3.706	3.359	
3.414	3.394	3.296	3.619	3.359	
3.414	3.394	3.296	3.330	3.359	
3.228	3.394	3.296	3.330	3.359	
3.624	3.394	3.296	3.330	3.359	
3.578	3.394	3.296	3.330	3.359	
3.555	3.394	3.296	3.330	3.359	
3.298	3.394	3.296	3.330	3.359	
3.415	3.394	3.296	3.330	3.359	
3.718	3.394	3.296	3.330	3.359	
3.625	3.394	3.296	3.330	3.359	
3.333	3.394	3.296	3.330	3.359	
3.432	3.394	3.296	3.330	3.359	
3.482	3.394	3.296	3.330	3.359	
3.507	3.394	3.296	3.330	3.359	
3.519	3.394	3.296	3.330	3.359	
3.525	3.394	3.296	3.330	3.359	
3.773	3.394	3.296	3.330	3.359	
3.652	3.394	3.296	3.330	3.359	
3.347	3.394	3.296	3.330	3.359	
3.347	3.218	3.296	3.330	3.359	
3.347	3.375	3.296	3.330	3.359	
3.347	3.453	3.296	3.330	3.359	
3.347	3.737	3.296	3.330	3.359	
3.347	3.389	3.296	3.330	3.359	
3.347	3.216	3.296	3.330	3.359	
3.347	3.618	3.296	3.330	3.359	
3.347	3.575	3.296	3.330	3.359	
3.347	3.308	3.296	3.330	3.359	
3.347	3.420	3.296	3.330	3.359	
3.347	3.476	3.296	3.330	3.359	
3.347	3.748	3.296	3.330	3.359	
3.347	3.395	3.296	3.330	3.359	
3.347	3.463	3.296	3.330	3.359	
3.347	3.742	3.296	3.330	3.359	
3.347	3.637	3.296	3.330	3.359	
3.347	3.584	3.296	3.330	3.359	
3.347	3.313	3.296	3.330	3.359	
3.347	3.422	3.296	3.330	3.359	
3.347	3.722	3.296	3.330	3.359	
3.347	3.627	3.296	3.330	3.359	
3.347	3.334	3.296	3.330	3.359	
3.347	3.433	3.296	3.330	3.359	
3.347	3.482	3.296	3.330	3.359	
3.347	3.507	3.296	3.330	3.359	
3.347	3.274	3.296	3.330	3.359	
3.347	3.403	3.296	3.330	3.359	
3.347	3.712	3.296	3.330	3.359	
3.347	3.622	3.296	3.330	3.359	
3.347	3.332	3.296	3.330	3.359	
3.347	3.432	3.296	3.330	3.359	
3.347	3.726	3.296	3.330	3.359	
3.347	3.629	3.296	3.330	3.359	
3.347	3.335	3.296	3.330	3.359	
3.347	3.678	3.296	3.330	3.359	
3.347	3.605	3.296	3.330	3.359	
3.347	3.568	3.296	3.330	3.359	
3.347	3.305	3.296	3.330	3.359	
3.347	3.305	3.296	3.330	3.200	
3.347	3.305	3.296	3.330	3.366	
3.347	3.305	3.296	3.330	3.694	
3.347	3.305	3.296	3.330	3.613	
3.347	3.305	3.296	3.330	3.572	
3.347	3.305	3.296	3.330	3.552	
3.347	3.305	3.296	3.330	3.542	
3.347	3.305	3.296	3.330	3.537	
3.347	3.305	3.296	3.330	3.534	
3.347	3.305	3.296	3.330	3.533	
3.347	3.305	3.296	3.330	3.532	
3.347	3.305	3.296	3.330	3.532	
3.347	3.305	3.296	3.330	3.532	
3.347	3.305	3.296	3.330	3.287	
3.347	3.305	3.296	3.330	3.654	
3.347	3.305	3.296	3.330	3.593	
3.347	3.305	3.296	3.330	3.562	
3.347	3.305	3.296	3.330	3.547	
3.347	3.305	3.296	3.330	3.539	
3.347	3.305	3.296	3.330	3.535	
3.347	3.305	3.296	3.330	3.534	
3.347	3.305	3.296	3.330	3.288	
3.347	3.305	3.296	3.330	3.654	
3.347	3.305	3.296	3.330	3.593	
3.347	3.305	3.296	3.330	3.562	
3.347	3.305	3.296	3.330	3.302	
3.347	3.305	3.296	3.330	3.662	
3.347	3.305	3.296	3.330	3.597	
3.347	3.305	3.296	3.330	3.564	
3.347	3.305	3.296	3.330	3.793	
3.347	3.305	3.296	3.330	3.662	
3.347	3.305	3.296	3.330	3.597	
3.347	3.305	3.296	3.330	3.564	
3.347	3.305	3.296	3.330	3.548	
3.347	3.305	3.296	3.330	3.540	
3.347	3.305	3.296	3.330	3.536	
3.347	3.305	3.296	3.330	3.534	
3.347	3.305	3.296	3.330	3.533	
3.347	3.305	3.296	3.330	3.532	
3.347	3.305	3.296	3.330	3.532	
3.347	3.305	3.296	3.330	3.532	
3.347	3.305	3.296	3.330	3.532	
3.347	3.305	3.296	3.330	3.532	
3.347	3.305	3.296	3.330	3.532	
3.347	3.305	3.296	3.330	3.532	
3.347	3.305	3.296	3.330	3.532	
3.347	3.305	3.296	3.330	3.532	
3.347	3.305	3.296	3.330	3.532	
3.347	3.305	3.296	3.330	3.776	
3.347	3.305	3.296	3.330	3.654	
3.347	3.305	3.296	3.330	3.593	
3.347	3.305	3.296	3.330	3.562	
3.347	3.305	3.296	3.330	3.547	
3.347	3.305	3.296	3.330	3.539	
