Server_09	Server_0	Server_04	Server_00	Server_08	
3.776	4.000	3.561	3.617	3.834	
4.388	4.000	3.561	3.617	3.834	
4.694	4.000	3.561	3.617	3.834	
4.602	4.000	3.561	3.617	3.834	
3.333	4.000	3.561	3.617	3.834	
3.677	4.000	3.561	3.617	3.834	
3.849	4.000	3.561	3.617	3.834	
3.935	4.000	3.561	3.617	3.834	
3.978	4.000	3.561	3.617	3.834	
4.000	4.000	3.561	3.617	3.834	
4.010	4.000	3.561	3.617	3.834	
4.016	4.000	3.561	3.617	3.834	
3.774	4.000	3.561	3.617	3.834	
3.897	4.000	3.561	3.617	3.834	
3.959	4.000	3.561	3.617	3.834	
3.990	4.000	3.561	3.617	3.834	
4.006	4.000	3.561	3.617	3.834	
3.769	4.000	3.561	3.617	3.834	
3.895	4.000	3.561	3.617	3.834	
3.958	4.000	3.561	3.617	3.834	
3.990	4.000	3.561	3.617	3.834	
3.990	3.766	3.561	3.617	3.834	
3.990	3.893	3.561	3.617	3.834	
3.761	3.893	3.561	3.617	3.834	
3.761	3.713	3.561	3.617	3.834	
3.761	3.713	3.561	3.617	3.438	
3.761	3.713	3.561	3.617	3.730	
3.646	3.713	3.561	3.617	3.730	
3.834	3.713	3.561	3.617	3.730	
3.683	3.713	3.561	3.617	3.730	
3.683	3.713	3.561	3.617	3.631	
3.683	3.713	3.561	3.617	3.826	
3.683	3.713	3.561	3.617	3.679	
3.683	3.622	3.561	3.617	3.679	
3.607	3.622	3.561	3.617	3.679	
3.607	3.622	3.561	3.617	3.605	
3.607	3.622	3.561	3.617	3.813	
3.607	3.622	3.561	3.617	3.672	
3.607	3.622	3.561	3.617	3.847	
3.607	3.622	3.561	3.617	3.689	
3.607	3.622	3.561	3.617	3.855	
3.607	3.622	3.561	3.617	3.693	
3.607	3.622	3.561	3.617	3.857	
3.607	3.622	3.561	3.617	3.694	
3.607	3.622	3.561	3.617	3.613	
3.607	3.622	3.561	3.617	3.817	
3.607	3.622	3.561	3.617	3.674	
3.607	3.622	3.561	3.617	3.603	
3.607	3.577	3.561	3.617	3.603	
3.607	3.577	3.561	3.329	3.603	
3.607	3.577	3.561	3.675	3.603	
3.607	3.577	3.561	3.603	3.603	
3.569	3.577	3.561	3.603	3.603	
3.795	3.577	3.561	3.603	3.603	
3.419	3.577	3.561	3.603	3.603	
3.419	3.577	3.561	3.568	3.603	
3.419	3.577	3.561	3.568	3.567	
3.419	3.577	3.561	3.568	3.794	
3.419	3.577	3.561	3.568	3.663	
3.419	3.577	3.561	3.568	3.597	
3.419	3.577	3.561	3.568	3.564	
3.419	3.309	3.561	3.568	3.564	
3.419	3.665	3.561	3.568	3.564	
3.419	3.354	3.561	3.568	3.564	
3.419	3.354	3.561	3.550	3.564	
3.419	3.354	3.561	3.550	3.303	
3.419	3.354	3.546	3.550	3.303	
3.419	3.354	3.784	3.550	3.303	
3.419	3.354	3.658	3.550	3.303	
3.419	3.354	3.595	3.550	3.303	
3.419	3.354	3.563	3.550	3.303	
3.419	3.354	3.792	3.550	3.303	
3.419	3.354	3.417	3.550	3.303	
3.419	3.354	3.417	3.541	3.303	
3.419	3.354	3.417	3.291	3.303	
3.419	3.354	3.417	3.656	3.303	
3.419	3.354	3.417	3.594	3.303	
3.419	3.354	3.417	3.318	3.303	
3.419	3.354	3.417	3.425	3.303	
3.419	3.354	3.417	3.723	3.303	
3.419	3.354	3.417	3.382	3.303	
3.230	3.354	3.417	3.382	3.303	
3.381	3.354	3.417	3.382	3.303	
3.701	3.354	3.417	3.382	3.303	
3.371	3.354	3.417	3.382	3.303	
3.371	3.354	3.229	3.382	3.303	
3.371	3.354	3.625	3.382	3.303	
3.371	3.354	3.334	3.382	3.303	
3.371	3.354	3.433	3.382	3.303	
3.371	3.354	3.727	3.382	3.303	
3.371	3.354	3.629	3.382	3.303	
3.371	3.354	3.580	3.382	3.303	
3.371	3.354	3.311	3.382	3.303	
3.371	3.354	3.311	3.212	3.303	
3.371	3.354	3.311	3.617	3.303	
3.371	3.354	3.311	3.574	3.303	
3.371	3.354	3.311	3.308	3.303	
3.371	3.354	3.311	3.665	3.303	
3.371	3.354	3.311	3.598	3.303	
3.371	3.354	3.311	3.320	3.303	
3.207	3.354	3.311	3.320	3.303	
3.369	3.354	3.311	3.320	3.303	
3.450	3.354	3.311	3.320	3.303	
3.736	3.354	3.311	3.320	3.303	
3.634	3.354	3.311	3.320	3.303	
3.583	3.354	3.311	3.320	3.303	
3.312	3.354	3.311	3.320	3.303	
3.667	3.354	3.311	3.320	3.303	
3.599	3.354	3.311	3.320	3.303	
3.320	3.354	3.311	3.320	3.303	
3.320	3.198	3.311	3.320	3.303	
3.320	3.365	3.311	3.320	3.303	
3.320	3.693	3.311	3.320	3.303	
3.320	3.612	3.311	3.320	3.303	
3.320	3.572	3.311	3.320	3.303	
3.320	3.307	3.311	3.320	3.303	
3.320	3.664	3.311	3.320	3.303	
3.320	3.598	3.311	3.320	3.303	
3.320	3.565	3.311	3.320	3.303	
3.320	3.303	3.311	3.320	3.303	
3.320	3.662	3.311	3.320	3.303	
3.320	3.597	3.311	3.320	3.303	
3.320	3.319	3.311	3.320	3.303	
3.181	3.319	3.311	3.320	3.303	
3.356	3.319	3.311	3.320	3.303	
3.689	3.319	3.311	3.320	3.303	
3.610	3.319	3.311	3.320	3.303	
3.326	3.319	3.311	3.320	3.303	
3.429	3.319	3.311	3.320	3.303	
