Server_09	Server_0	Server_0A	Server_0D	Server_0F	
3.776	4.000	3.621	3.556	3.256	
4.143	4.000	3.621	3.556	3.256	
4.082	4.000	3.621	3.556	3.256	
3.073	4.000	3.621	3.556	3.256	
3.547	4.000	3.621	3.556	3.256	
3.784	4.000	3.621	3.556	3.256	
3.784	3.766	3.621	3.556	3.256	
3.413	3.766	3.621	3.556	3.256	
3.413	3.649	3.621	3.556	3.256	
3.413	3.590	3.621	3.556	3.256	
3.413	3.590	3.331	3.556	3.256	
3.413	3.590	3.676	3.556	3.256	
3.413	3.590	3.604	3.556	3.256	
3.413	3.590	3.568	3.556	3.256	
3.413	3.561	3.568	3.556	3.256	
3.413	3.561	3.550	3.556	3.256	
3.413	3.546	3.550	3.556	3.256	
3.413	3.546	3.550	3.544	3.256	
3.413	3.546	3.541	3.544	3.256	
3.413	3.539	3.541	3.544	3.256	
3.413	3.539	3.541	3.538	3.256	
3.413	3.539	3.536	3.538	3.256	
3.413	3.535	3.536	3.538	3.256	
3.413	3.535	3.536	3.535	3.256	
3.413	3.535	3.536	3.778	3.256	
3.413	3.535	3.536	3.655	3.256	
3.413	3.535	3.536	3.593	3.256	
3.413	3.535	3.536	3.807	3.256	
3.413	3.535	3.536	3.669	3.256	
3.413	3.535	3.536	3.600	3.256	
3.413	3.535	3.536	3.811	3.256	
3.413	3.535	3.536	3.671	3.256	
3.413	3.535	3.536	3.601	3.256	
3.413	3.535	3.536	3.566	3.256	
3.413	3.535	3.536	3.549	3.256	
3.413	3.535	3.536	3.540	3.256	
3.413	3.535	3.536	3.781	3.256	
3.413	3.535	3.536	3.411	3.256	
3.413	3.535	3.289	3.411	3.256	
3.413	3.535	3.655	3.411	3.256	
3.413	3.535	3.838	3.411	3.256	
3.413	3.535	3.440	3.411	3.256	
3.413	3.533	3.440	3.411	3.256	
3.413	3.288	3.440	3.411	3.256	
3.413	3.288	3.241	3.411	3.256	
3.413	3.288	3.631	3.411	3.256	
3.413	3.288	3.336	3.411	3.256	
3.413	3.288	3.679	3.411	3.256	
3.413	3.288	3.605	3.411	3.256	
3.413	3.288	3.323	3.411	3.256	
3.413	3.288	3.672	3.411	3.256	
3.413	3.288	3.602	3.411	3.256	
3.413	3.288	3.322	3.411	3.256	
3.413	3.288	3.427	3.411	3.256	
3.413	3.288	3.479	3.411	3.256	
3.413	3.288	3.260	3.411	3.256	
3.413	3.288	3.396	3.411	3.256	
3.413	3.288	3.709	3.411	3.256	
3.413	3.288	3.620	3.411	3.256	
3.413	3.288	3.576	3.411	3.256	
3.413	3.288	3.309	3.411	3.256	
3.413	3.288	3.665	3.411	3.256	
3.413	3.288	3.598	3.411	3.256	
3.413	3.288	3.320	3.411	3.256	
3.227	3.288	3.320	3.411	3.256	
3.379	3.288	3.320	3.411	3.256	
3.456	3.288	3.320	3.411	3.256	
3.738	3.288	3.320	3.411	3.256	
3.635	3.288	3.320	3.411	3.256	
3.338	3.288	3.320	3.411	3.256	
3.435	3.288	3.320	3.411	3.256	
3.728	3.288	3.320	3.411	3.256	
3.385	3.288	3.320	3.411	3.256	
3.385	3.288	3.320	3.227	3.256	
3.385	3.288	3.320	3.624	3.256	
3.385	3.288	3.320	3.333	3.256	
3.385	3.288	3.320	3.677	3.256	
3.385	3.288	3.320	3.604	3.256	
3.385	3.288	3.320	3.323	3.256	
3.213	3.288	3.320	3.323	3.256	
3.617	3.288	3.320	3.323	3.256	
3.330	3.288	3.320	3.323	3.256	
3.186	3.288	3.320	3.323	3.256	
3.603	3.288	3.320	3.323	3.256	
3.568	3.288	3.320	3.323	3.256	
3.550	3.288	3.320	3.323	3.256	
3.296	3.288	3.320	3.323	3.256	
3.414	3.288	3.320	3.323	3.256	
3.717	3.288	3.320	3.323	3.256	
3.380	3.288	3.320	3.323	3.256	
3.211	3.288	3.320	3.323	3.256	
3.616	3.288	3.320	3.323	3.256	
3.574	3.288	3.320	3.323	3.256	
3.553	3.288	3.320	3.323	3.256	
3.297	3.288	3.320	3.323	3.256	
3.659	3.288	3.320	3.323	3.256	
3.595	3.288	3.320	3.323	3.256	
3.563	3.288	3.320	3.323	3.256	
3.303	3.288	3.320	3.323	3.256	
3.417	3.288	3.320	3.323	3.256	
3.719	3.288	3.320	3.323	3.256	
3.625	3.288	3.320	3.323	3.256	
3.578	3.288	3.320	3.323	3.256	
3.310	3.288	3.320	3.323	3.256	
3.310	3.288	3.320	3.182	3.256	
3.310	3.288	3.320	3.602	3.256	
3.310	3.288	3.320	3.322	3.256	
3.310	3.288	3.320	3.671	3.256	
3.310	3.288	3.320	3.357	3.256	
3.310	3.288	3.320	3.199	3.256	
3.310	3.288	3.320	3.610	3.256	
3.310	3.288	3.320	3.571	3.256	
3.310	3.288	3.320	3.551	3.256	
3.310	3.288	3.320	3.541	3.256	
3.310	3.288	3.320	3.537	3.256	
3.310	3.288	3.320	3.534	3.256	
3.310	3.288	3.320	3.288	3.256	
3.310	3.288	3.320	3.410	3.256	
3.310	3.288	3.320	3.715	3.256	
3.310	3.288	3.320	3.624	3.256	
3.310	3.288	3.320	3.578	3.256	
3.310	3.288	3.320	3.555	3.256	
3.310	3.288	3.320	3.298	3.256	
3.310	3.288	3.320	3.660	3.256	
3.310	3.288	3.320	3.596	3.256	
3.310	3.288	3.320	3.564	3.256	
3.310	3.288	3.320	3.548	3.256	
3.310	3.288	3.320	3.540	3.256	
3.310	3.288	3.320	3.536	3.256	
3.310	3.288	3.320	3.289	3.256	
3.310	3.288	3.320	3.410	3.256	
3.310	3.288	3.320	3.716	3.256	
3.310	3.288	3.320	3.624	3.256	
3.310	3.288	3.320	3.578	3.256	
3.310	3.288	3.320	3.555	3.256	
3.310	3.288	3.320	3.543	3.256	
3.310	3.288	3.320	3.537	3.256	
3.310	3.288	3.320	3.290	3.256	
3.310	3.288	3.320	3.655	3.256	
3.310	3.288	3.320	3.593	3.256	
3.310	3.288	3.320	3.563	3.256	
3.310	3.288	3.320	3.547	3.256	
3.310	3.288	3.320	3.539	3.256	
3.310	3.288	3.320	3.535	3.256	
3.310	3.288	3.320	3.534	3.256	
3.310	3.288	3.320	3.533	3.256	
3.310	3.288	3.320	3.532	3.256	
3.310	3.288	3.320	3.532	3.256	
3.310	3.288	3.320	3.532	3.256	
3.310	3.288	3.320	3.287	3.256	
3.310	3.288	3.320	3.654	3.256	
3.310	3.288	3.320	3.593	3.256	
3.310	3.288	3.320	3.562	3.256	
3.310	3.288	3.320	3.547	3.256	
3.310	3.288	3.320	3.539	3.256	
3.310	3.288	3.320	3.535	3.256	
3.310	3.288	3.320	3.534	3.256	
3.310	3.288	3.320	3.533	3.256	
3.310	3.288	3.320	3.532	3.256	
3.310	3.288	3.320	3.532	3.256	
3.310	3.288	3.320	3.532	3.256	
3.310	3.288	3.320	3.532	3.256	
3.310	3.288	3.320	3.532	3.256	
3.310	3.288	3.320	3.532	3.256	
3.310	3.288	3.320	3.532	3.256	
3.310	3.288	3.320	3.532	3.256	
3.310	3.288	3.320	3.532	3.256	
3.310	3.288	3.320	3.532	3.256	
3.310	3.288	3.320	3.532	3.256	
3.310	3.288	3.320	3.532	3.256	
3.310	3.288	3.320	3.532	3.256	
3.310	3.288	3.320	3.532	3.256	
3.310	3.288	3.320	3.532	3.256	
3.310	3.288	3.320	3.532	3.256	
3.310	3.288	3.320	3.532	3.256	
3.310	3.288	3.320	3.532	3.256	
3.310	3.288	3.320	3.532	3.256	
3.310	3.288	3.320	3.532	3.256	
3.310	3.288	3.320	3.532	3.256	
3.310	3.288	3.320	3.287	3.256	
3.310	3.288	3.320	3.654	3.256	
3.310	3.288	3.320	3.593	3.256	
3.310	3.288	3.320	3.562	3.256	
3.310	3.288	3.320	3.302	3.256	
3.310	3.288	3.320	3.417	3.256	
3.310	3.288	3.320	3.719	3.256	
3.310	3.288	3.320	3.625	3.256	
3.310	3.288	3.320	3.578	3.256	
3.310	3.288	3.320	3.555	3.256	
3.310	3.288	3.320	3.543	3.256	
