Server_09	Server_0	Server_04	Server_05	Server_0C	
3.776	4.000	3.097	3.475	3.335	
3.899	4.000	3.097	3.475	3.335	
3.960	4.000	3.097	3.475	3.335	
3.991	4.000	3.097	3.475	3.335	
4.006	4.000	3.097	3.475	3.335	
4.014	4.000	3.097	3.475	3.335	
4.017	4.000	3.097	3.475	3.335	
4.019	4.000	3.097	3.475	3.335	
4.020	4.000	3.097	3.475	3.335	
3.776	4.000	3.097	3.475	3.335	
3.899	4.000	3.097	3.475	3.335	
3.960	4.000	3.097	3.475	3.335	
3.991	4.000	3.097	3.475	3.335	
4.006	4.000	3.097	3.475	3.335	
3.769	4.000	3.097	3.475	3.335	
3.895	4.000	3.097	3.475	3.335	
3.958	4.000	3.097	3.475	3.335	
3.958	3.766	3.097	3.475	3.335	
3.745	3.766	3.097	3.475	3.335	
3.745	3.649	3.097	3.475	3.335	
3.745	3.835	3.097	3.475	3.335	
3.745	3.683	3.097	3.475	3.335	
3.745	3.852	3.097	3.475	3.335	
3.745	3.447	3.097	3.475	3.335	
3.745	3.734	3.097	3.475	3.335	
3.393	3.734	3.097	3.475	3.335	
3.393	3.633	3.097	3.475	3.335	
3.393	3.582	3.097	3.475	3.335	
3.393	3.557	3.097	3.475	3.335	
3.393	3.299	3.097	3.475	3.335	
3.393	3.415	3.097	3.475	3.335	
3.393	3.474	3.097	3.475	3.335	
3.393	3.503	3.097	3.475	3.335	
3.393	3.517	3.097	3.475	3.335	
3.393	3.524	3.097	3.475	3.335	
3.393	3.528	3.097	3.475	3.335	
3.393	3.530	3.097	3.475	3.335	
3.393	3.531	3.097	3.475	3.335	
3.393	3.776	3.097	3.475	3.335	
3.393	3.654	3.097	3.475	3.335	
3.393	3.593	3.097	3.475	3.335	
3.393	3.562	3.097	3.475	3.335	
3.393	3.547	3.097	3.475	3.335	
3.393	3.539	3.097	3.475	3.335	
3.393	3.535	3.097	3.475	3.335	
3.393	3.778	3.097	3.475	3.335	
3.393	3.410	3.097	3.475	3.335	
3.393	3.410	3.097	3.258	3.335	
3.393	3.410	3.097	3.395	3.335	
3.393	3.410	3.097	3.708	3.335	
3.393	3.410	3.097	3.620	3.335	
3.393	3.410	3.097	3.576	3.335	
3.393	3.410	3.097	3.309	3.335	
3.393	3.410	3.097	3.420	3.335	
3.393	3.410	3.097	3.721	3.335	
3.393	3.410	3.097	3.871	3.335	
3.393	3.410	3.097	3.456	3.335	
3.393	3.410	3.097	3.494	3.335	
3.393	3.410	3.097	3.758	3.335	
3.393	3.410	3.097	3.645	3.335	
3.393	3.410	3.097	3.588	3.335	
3.393	3.410	3.097	3.560	3.335	
3.393	3.410	3.097	3.301	3.335	
3.393	3.410	3.097	3.416	3.335	
