Server_0A	Server_0	Server_01	Server_0F	Server_0B	
3.776	4.000	3.121	3.680	3.025	
3.899	4.000	3.121	3.680	3.025	
3.899	3.766	3.121	3.680	3.025	
3.470	3.766	3.121	3.680	3.025	
3.746	3.766	3.121	3.680	3.025	
3.746	3.649	3.121	3.680	3.025	
3.639	3.649	3.121	3.680	3.025	
3.639	3.649	3.121	3.606	3.025	
3.639	3.590	3.121	3.606	3.025	
3.585	3.590	3.121	3.606	3.025	
3.585	3.590	3.121	3.569	3.025	
3.585	3.561	3.121	3.569	3.025	
3.558	3.561	3.121	3.569	3.025	
3.558	3.561	3.121	3.550	3.025	
3.558	3.546	3.121	3.550	3.025	
3.545	3.546	3.121	3.550	3.025	
3.545	3.546	3.121	3.541	3.025	
3.545	3.539	3.121	3.541	3.025	
3.538	3.539	3.121	3.541	3.025	
3.538	3.539	3.121	3.536	3.025	
3.538	3.535	3.121	3.536	3.025	
3.535	3.535	3.121	3.536	3.025	
3.535	3.535	3.121	3.534	3.025	
3.535	3.533	3.121	3.534	3.025	
3.288	3.533	3.121	3.534	3.025	
3.655	3.533	3.121	3.534	3.025	
3.593	3.533	3.121	3.534	3.025	
3.562	3.533	3.121	3.534	3.025	
3.547	3.533	3.121	3.534	3.025	
3.294	3.533	3.121	3.534	3.025	
3.658	3.533	3.121	3.534	3.025	
3.595	3.533	3.121	3.534	3.025	
3.318	3.533	3.121	3.534	3.025	
3.670	3.533	3.121	3.534	3.025	
3.601	3.533	3.121	3.534	3.025	
3.566	3.533	3.121	3.534	3.025	
3.304	3.533	3.121	3.534	3.025	
3.663	3.533	3.121	3.534	3.025	
3.597	3.533	3.121	3.534	3.025	
3.564	3.533	3.121	3.534	3.025	
3.303	3.533	3.121	3.534	3.025	
3.303	3.533	3.121	3.533	3.025	
3.303	3.533	3.121	3.777	3.025	
3.303	3.533	3.121	3.409	3.025	
3.303	3.533	3.121	3.409	3.025	
3.303	3.287	3.121	3.409	3.025	
3.303	3.409	3.121	3.409	3.025	
3.303	3.715	3.121	3.409	3.025	
3.303	3.623	3.121	3.409	3.025	
3.303	3.333	3.121	3.409	3.025	
3.303	3.432	3.121	3.409	3.025	
3.303	3.727	3.121	3.409	3.025	
3.303	3.629	3.121	3.409	3.025	
3.303	3.335	3.121	3.409	3.025	
3.303	3.678	3.121	3.409	3.025	
3.303	3.605	3.121	3.409	3.025	
3.303	3.568	3.121	3.409	3.025	
3.303	3.305	3.121	3.409	3.025	
3.303	3.418	3.121	3.409	3.025	
3.303	3.720	3.121	3.409	3.025	
3.303	3.626	3.121	3.409	3.025	
3.303	3.334	3.121	3.409	3.025	
3.303	3.677	3.121	3.409	3.025	
3.303	3.605	3.121	3.409	3.025	
