Server_0A	Server_0	Server_01	Server_04	Server_09	
3.776	4.000	3.729	3.637	3.841	
3.899	4.000	3.729	3.637	3.841	
3.960	4.000	3.729	3.637	3.841	
3.960	3.766	3.729	3.637	3.841	
3.501	3.766	3.729	3.637	3.841	
3.501	3.766	3.729	3.637	3.686	
3.501	3.649	3.729	3.637	3.686	
3.501	3.649	3.385	3.637	3.686	
3.501	3.649	3.385	3.637	3.609	
3.501	3.590	3.385	3.637	3.609	
3.501	3.590	3.385	3.584	3.609	
3.501	3.590	3.385	3.584	3.570	
3.501	3.561	3.385	3.584	3.570	
3.501	3.561	3.385	3.558	3.570	
3.501	3.561	3.385	3.558	3.551	
3.501	3.546	3.385	3.558	3.551	
3.501	3.546	3.385	3.545	3.551	
3.501	3.546	3.385	3.545	3.541	
3.501	3.546	3.385	3.545	3.781	
3.501	3.546	3.385	3.545	3.656	
3.501	3.546	3.385	3.545	3.594	
3.501	3.546	3.385	3.545	3.808	
3.501	3.546	3.385	3.545	3.670	
3.501	3.546	3.385	3.545	3.601	
3.501	3.546	3.385	3.545	3.811	
3.501	3.546	3.385	3.545	3.671	
3.501	3.546	3.385	3.545	3.601	
3.501	3.546	3.385	3.545	3.567	
3.501	3.546	3.385	3.545	3.794	
3.501	3.546	3.385	3.545	3.663	
3.501	3.546	3.385	3.545	3.597	
3.501	3.546	3.385	3.545	3.564	
3.501	3.546	3.385	3.545	3.303	
3.501	3.546	3.385	3.545	3.662	
3.501	3.546	3.385	3.545	3.842	
3.501	3.546	3.385	3.545	3.687	
3.501	3.546	3.385	3.545	3.364	
3.501	3.546	3.385	3.545	3.693	
3.501	3.546	3.385	3.545	3.612	
3.501	3.546	3.385	3.545	3.572	
3.501	3.546	3.385	3.545	3.307	
3.501	3.546	3.385	3.545	3.664	
3.501	3.546	3.385	3.545	3.598	
3.501	3.546	3.385	3.545	3.565	
3.501	3.546	3.385	3.545	3.303	
3.501	3.539	3.385	3.545	3.303	
3.501	3.780	3.385	3.545	3.303	
3.501	3.656	3.385	3.545	3.303	
3.501	3.349	3.385	3.545	3.303	
3.501	3.685	3.385	3.545	3.303	
3.501	3.608	3.385	3.545	3.303	
3.501	3.325	3.385	3.545	3.303	
3.501	3.325	3.385	3.293	3.303	
3.501	3.325	3.385	3.412	3.303	
3.501	3.325	3.385	3.472	3.303	
3.501	3.325	3.385	3.747	3.303	
3.501	3.325	3.385	3.639	3.303	
3.501	3.325	3.385	3.830	3.303	
3.501	3.325	3.385	3.681	3.303	
3.501	3.325	3.385	3.361	3.303	
3.271	3.325	3.385	3.361	3.303	
3.401	3.325	3.385	3.361	3.303	
3.467	3.325	3.385	3.361	3.303	
3.744	3.325	3.385	3.361	3.303	
3.638	3.325	3.385	3.361	3.303	
3.340	3.325	3.385	3.361	3.303	
3.436	3.325	3.385	3.361	3.303	
3.728	3.325	3.385	3.361	3.303	
3.630	3.325	3.385	3.361	3.303	
3.581	3.325	3.385	3.361	3.303	
3.311	3.325	3.385	3.361	3.303	
3.666	3.325	3.385	3.361	3.303	
3.599	3.325	3.385	3.361	3.303	
3.320	3.325	3.385	3.361	3.303	
3.320	3.325	3.214	3.361	3.303	
3.320	3.325	3.373	3.361	3.303	
3.320	3.325	3.452	3.361	3.303	
3.320	3.325	3.492	3.361	3.303	
3.320	3.325	3.512	3.361	3.303	
3.320	3.325	3.277	3.361	3.303	
3.320	3.325	3.404	3.361	3.303	
3.320	3.325	3.223	3.361	3.303	
3.320	3.325	3.377	3.361	3.303	
3.320	3.325	3.454	3.361	3.303	
3.320	3.325	3.248	3.361	3.303	
3.320	3.325	3.390	3.361	3.303	
3.320	3.325	3.461	3.361	3.303	
3.320	3.325	3.251	3.361	3.303	
3.320	3.325	3.391	3.361	3.303	
3.320	3.325	3.462	3.361	3.303	
3.320	3.325	3.252	3.361	3.303	
3.320	3.325	3.392	3.361	3.303	
