Server_0A	Server_0	Server_01	Server_0C	Server_03	
3.776	4.000	3.302	3.408	3.560	
3.899	4.000	3.302	3.408	3.560	
3.960	4.000	3.302	3.408	3.560	
3.991	4.000	3.302	3.408	3.560	
4.006	4.000	3.302	3.408	3.560	
4.014	4.000	3.302	3.408	3.560	
4.017	4.000	3.302	3.408	3.560	
4.019	4.000	3.302	3.408	3.560	
4.020	4.000	3.302	3.408	3.560	
4.021	4.000	3.302	3.408	3.560	
4.021	4.000	3.302	3.408	3.560	
3.776	4.000	3.302	3.408	3.560	
3.899	4.000	3.302	3.408	3.560	
3.960	4.000	3.302	3.408	3.560	
3.991	4.000	3.302	3.408	3.560	
4.006	4.000	3.302	3.408	3.560	
3.769	4.000	3.302	3.408	3.560	
3.895	4.000	3.302	3.408	3.560	
3.958	4.000	3.302	3.408	3.560	
3.990	4.000	3.302	3.408	3.560	
4.250	4.000	3.302	3.408	3.560	
3.891	4.000	3.302	3.408	3.560	
3.891	3.766	3.302	3.408	3.560	
3.466	3.766	3.302	3.408	3.560	
3.466	3.649	3.302	3.408	3.560	
3.466	3.345	3.302	3.408	3.560	
3.466	3.345	3.302	3.408	3.301	
3.466	3.345	3.302	3.408	3.416	
3.466	3.345	3.302	3.408	3.474	
3.466	3.345	3.302	3.408	3.992	
3.466	3.345	3.302	3.408	3.762	
3.466	3.345	3.302	3.408	3.647	
3.466	3.345	3.302	3.408	3.834	
3.466	3.345	3.302	3.408	3.928	
3.466	3.345	3.302	3.408	3.730	
3.466	3.345	3.302	3.408	3.875	
3.466	3.345	3.302	3.408	3.703	
3.466	3.345	3.302	3.408	3.862	
3.466	3.345	3.302	3.408	3.697	
3.466	3.345	3.302	3.408	3.859	
3.466	3.345	3.302	3.408	3.695	
3.466	3.345	3.302	3.408	3.613	
3.466	3.345	3.302	3.408	3.817	
3.466	3.345	3.302	3.408	3.674	
3.466	3.345	3.302	3.408	3.603	
3.466	3.345	3.302	3.408	3.812	
3.466	3.345	3.302	3.408	3.672	
3.466	3.345	3.302	3.408	3.602	
3.466	3.345	3.302	3.408	3.811	
3.466	3.345	3.302	3.408	3.672	
3.466	3.345	3.302	3.408	3.602	
3.466	3.345	3.302	3.408	3.567	
3.466	3.345	3.302	3.408	3.304	
