Server_0A	Server_0	Server_07	Server_06	Server_0B	
3.776	4.000	3.006	3.684	3.868	
4.388	4.000	3.006	3.684	3.868	
4.570	4.000	3.006	3.684	3.868	
4.296	4.000	3.006	3.684	3.868	
3.180	4.000	3.006	3.684	3.868	
3.600	4.000	3.006	3.684	3.868	
3.811	4.000	3.006	3.684	3.868	
3.916	4.000	3.006	3.684	3.868	
3.969	4.000	3.006	3.684	3.868	
3.995	4.000	3.006	3.684	3.868	
4.008	4.000	3.006	3.684	3.868	
4.015	4.000	3.006	3.684	3.868	
4.018	4.000	3.006	3.684	3.868	
3.775	4.000	3.006	3.684	3.868	
3.898	4.000	3.006	3.684	3.868	
3.960	4.000	3.006	3.684	3.868	
3.990	4.000	3.006	3.684	3.868	
4.006	4.000	3.006	3.684	3.868	
3.769	4.000	3.006	3.684	3.868	
3.895	4.000	3.006	3.684	3.868	
3.958	4.000	3.006	3.684	3.868	
3.990	4.000	3.006	3.684	3.868	
4.005	4.000	3.006	3.684	3.868	
3.768	4.000	3.006	3.684	3.868	
3.895	4.000	3.006	3.684	3.868	
3.958	4.000	3.006	3.684	3.868	
3.958	3.766	3.006	3.684	3.868	
3.745	3.766	3.006	3.684	3.868	
3.883	3.766	3.006	3.684	3.868	
3.707	3.766	3.006	3.684	3.868	
3.707	3.766	3.006	3.684	3.700	
3.707	3.649	3.006	3.684	3.700	
3.619	3.649	3.006	3.684	3.700	
3.619	3.649	3.006	3.684	3.616	
3.619	3.649	3.006	3.608	3.616	
3.619	3.649	3.006	3.814	3.616	
3.619	3.649	3.006	3.673	3.616	
3.619	3.649	3.006	3.847	3.616	
3.619	3.649	3.006	3.934	3.616	
3.619	3.649	3.006	3.733	3.616	
3.619	3.649	3.006	3.877	3.616	
3.619	3.649	3.006	3.949	3.616	
3.619	3.649	3.006	3.740	3.616	
3.619	3.649	3.006	3.881	3.616	
3.619	3.649	3.006	3.706	3.616	
3.619	3.649	3.006	3.619	3.616	
3.619	3.649	3.006	3.820	3.616	
3.619	3.649	3.006	3.676	3.616	
3.619	3.649	3.006	3.604	3.616	
3.619	3.649	3.006	3.812	3.616	
3.619	3.649	3.006	3.427	3.616	
3.619	3.590	3.006	3.427	3.616	
3.331	3.590	3.006	3.427	3.616	
3.676	3.590	3.006	3.427	3.616	
3.604	3.590	3.006	3.427	3.616	
3.604	3.590	3.006	3.427	3.574	
3.568	3.590	3.006	3.427	3.574	
3.568	3.316	3.006	3.427	3.574	
3.568	3.669	3.006	3.427	3.574	
3.568	3.355	3.006	3.427	3.574	
3.568	3.355	3.006	3.427	3.553	
3.305	3.355	3.006	3.427	3.553	
3.305	3.355	3.006	3.427	3.542	
3.305	3.355	3.006	3.427	3.782	
3.305	3.355	3.006	3.427	3.657	
3.305	3.355	3.006	3.427	3.594	
3.305	3.355	3.006	3.427	3.563	
3.305	3.355	3.006	3.427	3.547	
3.305	3.355	3.006	3.427	3.539	
3.305	3.355	3.006	3.427	3.291	
3.305	3.355	3.006	3.427	3.411	
3.305	3.355	3.006	3.427	3.716	
3.305	3.355	3.006	3.427	3.624	
3.305	3.355	3.006	3.427	3.333	
3.305	3.355	3.006	3.427	3.432	
3.305	3.355	3.006	3.427	3.727	
3.305	3.355	3.006	3.427	3.629	
3.305	3.355	3.006	3.427	3.335	
3.305	3.355	3.006	3.427	3.434	
3.305	3.355	3.006	3.427	3.727	
3.305	3.355	3.006	3.427	3.385	
3.305	3.355	3.006	3.234	3.385	
3.305	3.355	3.006	3.628	3.385	
3.305	3.355	3.006	3.335	3.385	
3.305	3.355	3.006	3.433	3.385	
3.305	3.355	3.006	3.482	3.385	
3.305	3.355	3.006	3.507	3.385	
3.305	3.355	3.006	3.274	3.385	
3.305	3.355	3.006	3.403	3.385	
3.305	3.355	3.006	3.712	3.385	
3.305	3.355	3.006	3.377	3.385	
3.305	3.355	3.006	3.454	3.385	
3.305	3.355	3.006	3.738	3.385	
3.305	3.355	3.006	3.390	3.385	
3.305	3.355	3.006	3.216	3.385	
3.305	3.355	3.006	3.618	3.385	
3.305	3.355	3.006	3.330	3.385	
3.305	3.355	3.006	3.431	3.385	
3.305	3.355	3.006	3.726	3.385	
3.305	3.355	3.006	3.384	3.385	
3.305	3.355	3.006	3.384	3.213	
3.305	3.355	3.006	3.384	3.617	
3.305	3.355	3.006	3.384	3.574	
3.305	3.355	3.006	3.384	3.308	
3.305	3.355	3.006	3.213	3.308	
3.305	3.355	3.006	3.617	3.308	
3.305	3.355	3.006	3.329	3.308	
3.305	3.355	3.006	3.431	3.308	
3.305	3.355	3.006	3.726	3.308	
3.305	3.355	3.006	3.629	3.308	
3.305	3.355	3.006	3.580	3.308	
3.305	3.355	3.006	3.311	3.308	
3.305	3.355	3.006	3.421	3.308	
3.305	3.355	3.006	3.721	3.308	
3.305	3.355	3.006	3.626	3.308	
3.305	3.355	3.006	3.334	3.308	
3.305	3.198	3.006	3.334	3.308	
3.305	3.610	3.006	3.334	3.308	
3.305	3.326	3.006	3.334	3.308	
3.305	3.429	3.006	3.334	3.308	
3.305	3.725	3.006	3.334	3.308	
3.305	3.628	3.006	3.334	3.308	
3.305	3.335	3.006	3.334	3.308	
3.305	3.433	3.006	3.334	3.308	
3.305	3.482	3.006	3.334	3.308	
3.305	3.507	3.006	3.334	3.308	
3.305	3.274	3.006	3.334	3.308	
3.305	3.403	3.006	3.334	3.308	
3.305	3.712	3.006	3.334	3.308	
3.305	3.622	3.006	3.334	3.308	
3.305	3.577	3.006	3.334	3.308	
3.305	3.554	3.006	3.334	3.308	
3.305	3.543	3.006	3.334	3.308	
3.305	3.292	3.006	3.334	3.308	
3.305	3.412	3.006	3.334	3.308	
3.305	3.717	3.006	3.334	3.308	
3.305	3.624	3.006	3.334	3.308	
3.305	3.333	3.006	3.334	3.308	
3.305	3.677	3.006	3.334	3.308	
3.305	3.604	3.006	3.334	3.308	
3.305	3.568	3.006	3.334	3.308	
3.305	3.550	3.006	3.334	3.308	
3.305	3.541	3.006	3.334	3.308	
3.305	3.536	3.006	3.334	3.308	
3.305	3.289	3.006	3.334	3.308	
3.305	3.410	3.006	3.334	3.308	
3.305	3.716	3.006	3.334	3.308	
3.305	3.379	3.006	3.334	3.308	
3.305	3.455	3.006	3.334	3.308	
3.305	3.493	3.006	3.334	3.308	
3.305	3.268	3.006	3.334	3.308	
3.305	3.400	3.006	3.334	3.308	
3.305	3.466	3.006	3.334	3.308	
3.305	3.499	3.006	3.334	3.308	
3.305	3.515	3.006	3.334	3.308	
3.305	3.523	3.006	3.334	3.308	
3.305	3.527	3.006	3.334	3.308	
3.305	3.285	3.006	3.334	3.308	
3.305	3.408	3.006	3.334	3.308	
3.305	3.470	3.006	3.334	3.308	
3.305	3.501	3.006	3.334	3.308	
3.305	3.516	3.006	3.334	3.308	
3.305	3.524	3.006	3.334	3.308	
3.305	3.528	3.006	3.334	3.308	
3.305	3.285	3.006	3.334	3.308	
3.305	3.408	3.006	3.334	3.308	
3.305	3.470	3.006	3.334	3.308	
3.305	3.501	3.006	3.334	3.308	
3.305	3.516	3.006	3.334	3.308	
3.305	3.524	3.006	3.334	3.308	
3.305	3.283	3.006	3.334	3.308	
3.305	3.407	3.006	3.334	3.308	
3.305	3.469	3.006	3.334	3.308	
3.305	3.500	3.006	3.334	3.308	
3.305	3.271	3.006	3.334	3.308	
3.305	3.401	3.006	3.334	3.308	
3.305	3.466	3.006	3.334	3.308	
3.305	3.254	3.006	3.334	3.308	
3.305	3.393	3.006	3.334	3.308	
3.305	3.462	3.006	3.334	3.308	
3.305	3.497	3.006	3.334	3.308	
3.305	3.269	3.006	3.334	3.308	
3.305	3.400	3.006	3.334	3.308	
3.305	3.466	3.006	3.334	3.308	
3.305	3.254	3.006	3.334	3.308	
3.305	3.393	3.006	3.334	3.308	
3.305	3.462	3.006	3.334	3.308	
3.305	3.497	3.006	3.334	3.308	
3.305	3.269	3.006	3.334	3.308	
3.305	3.400	3.006	3.334	3.308	
3.305	3.466	3.006	3.334	3.308	
3.305	3.254	3.006	3.334	3.308	
3.305	3.393	3.006	3.334	3.308	
3.305	3.462	3.006	3.334	3.308	
3.305	3.497	3.006	3.334	3.308	
3.305	3.269	3.006	3.334	3.308	
3.305	3.400	3.006	3.334	3.308	
3.305	3.466	3.006	3.334	3.308	
3.305	3.254	3.006	3.334	3.308	
3.305	3.393	3.006	3.334	3.308	
3.305	3.462	3.006	3.334	3.308	
3.305	3.497	3.006	3.334	3.308	
3.305	3.269	3.006	3.334	3.308	
3.305	3.400	3.006	3.334	3.308	
3.305	3.466	3.006	3.334	3.308	
3.305	3.254	3.006	3.334	3.308	
3.305	3.393	3.006	3.334	3.308	
3.305	3.462	3.006	3.334	3.308	
3.305	3.252	3.006	3.334	3.308	
3.305	3.392	3.006	3.334	3.308	
3.305	3.217	3.006	3.334	3.308	
3.305	3.374	3.006	3.334	3.308	
3.305	3.208	3.006	3.334	3.308	
3.305	3.370	3.006	3.334	3.308	
3.305	3.451	3.006	3.334	3.308	
3.305	3.246	3.006	3.334	3.308	
3.305	3.389	3.006	3.334	3.308	
3.305	3.215	3.006	3.334	3.308	
3.305	3.373	3.006	3.334	3.308	
3.305	3.208	3.006	3.334	3.308	
3.305	3.370	3.006	3.334	3.308	
3.305	3.206	3.006	3.334	3.308	
3.305	3.369	3.006	3.334	3.308	
3.305	3.205	3.006	3.334	3.308	
3.305	3.368	3.006	3.334	3.308	
3.305	3.205	3.006	3.334	3.308	
3.305	3.368	3.006	3.334	3.308	
3.305	3.205	3.006	3.334	3.308	
3.305	3.368	3.006	3.334	3.308	
3.305	3.450	3.006	3.334	3.308	
3.305	3.246	3.006	3.334	3.308	
3.305	3.246	3.006	3.188	3.308	
3.305	3.246	3.006	3.605	3.308	
3.305	3.246	3.006	3.568	3.308	
3.305	3.246	3.006	3.550	3.308	
3.305	3.246	3.006	3.296	3.308	
3.305	3.246	3.006	3.658	3.308	
3.305	3.246	3.006	3.350	3.308	
3.305	3.246	3.006	3.196	3.308	
3.305	3.246	3.006	3.609	3.308	
3.305	3.246	3.006	3.570	3.308	
3.305	3.246	3.006	3.306	3.308	
3.305	3.246	3.006	3.419	3.308	
3.305	3.246	3.006	3.720	3.308	
3.305	3.246	3.006	3.626	3.308	
3.305	3.246	3.006	3.334	3.308	
3.305	3.246	3.006	3.433	3.308	
3.305	3.246	3.006	3.727	3.308	
3.305	3.246	3.006	3.629	3.308	
3.305	3.246	3.006	3.580	3.308	
3.305	3.246	3.006	3.556	3.308	
3.305	3.246	3.006	3.544	3.308	
3.305	3.246	3.006	3.538	3.308	
3.305	3.246	3.006	3.535	3.308	
3.305	3.246	3.006	3.533	3.308	
3.305	3.246	3.006	3.532	3.308	
3.305	3.246	3.006	3.532	3.308	
3.305	3.246	3.006	3.532	3.308	
3.305	3.246	3.006	3.532	3.308	
3.305	3.246	3.006	3.532	3.308	
3.305	3.246	3.006	3.532	3.308	
3.305	3.246	3.006	3.532	3.308	
3.305	3.246	3.006	3.532	3.308	
3.305	3.246	3.006	3.532	3.308	
3.305	3.246	3.006	3.532	3.308	
