Server_0A	Server_0	Server_09	Server_02	Server_0F	
3.776	4.000	3.020	3.460	3.917	
3.776	3.766	3.020	3.460	3.917	
3.776	3.766	3.020	3.460	3.479	
3.409	3.766	3.020	3.460	3.479	
3.409	3.404	3.020	3.460	3.479	
3.409	3.404	3.020	3.460	3.261	
3.409	3.404	3.020	3.251	3.261	
3.409	3.404	3.020	3.391	3.261	
3.409	3.404	3.020	3.461	3.261	
3.409	3.404	3.020	3.496	3.261	
3.409	3.404	3.020	3.514	3.261	
3.409	3.404	3.020	3.523	3.261	
3.409	3.404	3.020	3.527	3.261	
3.409	3.404	3.020	3.529	3.261	
3.409	3.404	3.020	3.530	3.261	
3.409	3.404	3.020	3.286	3.261	
3.409	3.404	3.020	3.409	3.261	
3.409	3.404	3.020	3.470	3.261	
3.409	3.404	3.020	3.501	3.261	
3.409	3.404	3.020	3.516	3.261	
3.409	3.404	3.020	3.524	3.261	
3.409	3.404	3.020	3.528	3.261	
3.409	3.404	3.020	3.530	3.261	
