Server_0B	Server_0	Server_0E	Server_07	Server_06	
3.776	4.000	3.064	3.414	3.114	
4.388	4.000	3.064	3.414	3.114	
4.694	4.000	3.064	3.414	3.114	
4.358	4.000	3.064	3.414	3.114	
4.189	4.000	3.064	3.414	3.114	
4.105	4.000	3.064	3.414	3.114	
4.063	4.000	3.064	3.414	3.114	
4.042	4.000	3.064	3.414	3.114	
4.032	4.000	3.064	3.414	3.114	
4.026	4.000	3.064	3.414	3.114	
4.024	4.000	3.064	3.414	3.114	
4.022	4.000	3.064	3.414	3.114	
4.022	4.000	3.064	3.414	3.114	
4.022	4.000	3.064	3.414	3.114	
4.021	4.000	3.064	3.414	3.114	
4.021	4.000	3.064	3.414	3.114	
4.021	4.000	3.064	3.414	3.114	
4.021	4.000	3.064	3.414	3.114	
3.776	4.000	3.064	3.414	3.114	
3.776	3.766	3.064	3.414	3.114	
3.654	3.766	3.064	3.414	3.114	
3.654	3.649	3.064	3.414	3.114	
3.593	3.649	3.064	3.414	3.114	
3.593	3.590	3.064	3.414	3.114	
3.562	3.590	3.064	3.414	3.114	
3.562	3.561	3.064	3.414	3.114	
3.302	3.561	3.064	3.414	3.114	
3.302	3.546	3.064	3.414	3.114	
3.302	3.539	3.064	3.414	3.114	
3.302	3.290	3.064	3.414	3.114	
3.302	3.411	3.064	3.414	3.114	
3.302	3.471	3.064	3.414	3.114	
3.302	3.257	3.064	3.414	3.114	
3.302	3.639	3.064	3.414	3.114	
3.302	3.585	3.064	3.414	3.114	
3.302	3.314	3.064	3.414	3.114	
3.302	3.667	3.064	3.414	3.114	
3.302	3.599	3.064	3.414	3.114	
3.302	3.810	3.064	3.414	3.114	
3.302	3.671	3.064	3.414	3.114	
3.302	3.601	3.064	3.414	3.114	
3.302	3.566	3.064	3.414	3.114	
3.302	3.549	3.064	3.414	3.114	
3.302	3.785	3.064	3.414	3.114	
3.302	3.658	3.064	3.414	3.114	
3.302	3.595	3.064	3.414	3.114	
3.302	3.563	3.064	3.414	3.114	
3.302	3.547	3.064	3.414	3.114	
3.302	3.540	3.064	3.414	3.114	
3.302	3.291	3.064	3.414	3.114	
3.302	3.656	3.064	3.414	3.114	
