Server_0B	Server_0	Server_00	Server_0F	Server_02	
3.776	4.000	3.025	3.998	3.670	
3.776	3.766	3.025	3.998	3.670	
3.776	3.893	3.025	3.998	3.670	
3.776	3.957	3.025	3.998	3.670	
3.776	3.989	3.025	3.998	3.670	
3.776	4.005	3.025	3.998	3.670	
3.776	4.013	3.025	3.998	3.670	
3.776	3.772	3.025	3.998	3.670	
3.776	3.772	3.025	3.765	3.670	
3.776	3.772	3.025	3.893	3.670	
3.776	3.772	3.025	4.202	3.670	
3.776	3.772	3.025	4.111	3.670	
3.776	3.772	3.025	4.066	3.670	
3.776	3.772	3.025	3.799	3.670	
3.776	3.772	3.025	3.665	3.670	
3.776	3.772	3.025	3.843	3.670	
3.776	3.772	3.025	3.687	3.670	
3.776	3.772	3.025	3.854	3.670	
3.776	3.772	3.025	4.182	3.670	
3.776	3.772	3.025	3.857	3.670	
3.776	3.772	3.025	3.694	3.670	
3.776	3.772	3.025	4.102	3.670	
3.776	3.772	3.025	3.817	3.670	
3.776	3.772	3.025	3.674	3.670	
3.654	3.772	3.025	3.674	3.670	
3.838	3.772	3.025	3.674	3.670	
3.685	3.772	3.025	3.674	3.670	
3.685	3.652	3.025	3.674	3.670	
3.685	3.837	3.025	3.674	3.670	
3.685	3.684	3.025	3.674	3.670	
3.608	3.684	3.025	3.674	3.670	
3.608	3.608	3.025	3.674	3.670	
3.608	3.608	3.025	3.603	3.670	
3.608	3.608	3.025	3.812	3.670	
3.608	3.608	3.025	3.672	3.670	
3.608	3.608	3.025	3.602	3.670	
3.608	3.608	3.025	3.811	3.670	
3.608	3.608	3.025	3.672	3.670	
3.608	3.608	3.025	3.602	3.670	
3.608	3.608	3.025	3.602	3.601	
3.570	3.608	3.025	3.602	3.601	
3.570	3.570	3.025	3.602	3.601	
3.570	3.570	3.025	3.322	3.601	
3.570	3.570	3.025	3.322	3.566	
3.570	3.570	3.025	3.322	3.794	
3.570	3.570	3.025	3.322	3.663	
3.570	3.570	3.025	3.322	3.597	
3.570	3.570	3.025	3.322	3.319	
3.570	3.570	3.025	3.322	3.670	
3.570	3.570	3.025	3.322	3.601	
3.570	3.570	3.025	3.322	3.321	
3.570	3.570	3.025	3.322	3.671	
3.570	3.570	3.025	3.322	3.601	
3.570	3.570	3.025	3.322	3.322	
3.570	3.570	3.025	3.322	3.671	
3.570	3.570	3.025	3.322	3.601	
3.570	3.570	3.025	3.322	3.322	
3.306	3.570	3.025	3.322	3.322	
3.306	3.551	3.025	3.322	3.322	
3.306	3.541	3.025	3.322	3.322	
3.306	3.781	3.025	3.322	3.322	
3.306	3.656	3.025	3.322	3.322	
3.306	3.349	3.025	3.322	3.322	
3.306	3.440	3.025	3.322	3.322	
3.306	3.486	3.025	3.322	3.322	
3.306	3.754	3.025	3.322	3.322	
3.306	3.398	3.025	3.322	3.322	
3.306	3.465	3.025	3.322	3.322	
3.306	3.743	3.025	3.322	3.322	
3.306	3.637	3.025	3.322	3.322	
3.306	3.340	3.025	3.322	3.322	
3.306	3.436	3.025	3.322	3.322	
3.306	3.728	3.025	3.322	3.322	
3.306	3.630	3.025	3.322	3.322	
3.306	3.336	3.025	3.322	3.322	
3.306	3.189	3.025	3.322	3.322	
3.306	3.605	3.025	3.322	3.322	
3.306	3.568	3.025	3.322	3.322	
3.306	3.550	3.025	3.322	3.322	
3.306	3.296	3.025	3.322	3.322	
3.306	3.659	3.025	3.322	3.322	
3.306	3.595	3.025	3.322	3.322	
3.306	3.318	3.025	3.322	3.322	
3.306	3.318	3.025	3.182	3.322	
3.306	3.318	3.025	3.357	3.322	
3.306	3.318	3.025	3.444	3.322	
3.306	3.318	3.025	3.733	3.322	
3.306	3.318	3.025	3.877	3.322	
3.306	3.318	3.025	3.704	3.322	
3.306	3.318	3.025	3.373	3.322	
3.306	3.318	3.025	3.207	3.322	
3.306	3.318	3.025	3.614	3.322	
3.306	3.318	3.025	3.573	3.322	
3.306	3.318	3.025	3.307	3.322	
3.306	3.318	3.025	3.419	3.322	
3.306	3.318	3.025	3.720	3.322	
3.306	3.318	3.025	3.626	3.322	
3.306	3.318	3.025	3.334	3.322	
3.306	3.318	3.025	3.433	3.322	
3.306	3.318	3.025	3.482	3.322	
3.306	3.318	3.025	3.262	3.322	
3.306	3.318	3.025	3.642	3.322	
3.306	3.318	3.025	3.587	3.322	
3.306	3.318	3.025	3.314	3.322	
3.306	3.318	3.025	3.423	3.322	
3.306	3.318	3.025	3.722	3.322	
3.306	3.318	3.025	3.627	3.322	
3.306	3.318	3.025	3.579	3.322	
3.306	3.318	3.025	3.555	3.322	
3.306	3.318	3.025	3.543	3.322	
3.306	3.318	3.025	3.538	3.322	
3.306	3.318	3.025	3.535	3.322	
3.306	3.318	3.025	3.288	3.322	
3.306	3.318	3.025	3.410	3.322	
3.306	3.318	3.025	3.471	3.322	
3.306	3.318	3.025	3.256	3.322	
3.306	3.318	3.025	3.394	3.322	
3.306	3.318	3.025	3.463	3.322	
3.306	3.318	3.025	3.252	3.322	
3.306	3.318	3.025	3.392	3.322	
3.306	3.318	3.025	3.462	3.322	
3.306	3.318	3.025	3.252	3.322	
3.306	3.318	3.025	3.392	3.322	
3.306	3.318	3.025	3.462	3.322	
3.306	3.318	3.025	3.252	3.322	
3.306	3.318	3.025	3.392	3.322	
3.306	3.318	3.025	3.462	3.322	
3.306	3.318	3.025	3.252	3.322	
3.306	3.318	3.025	3.392	3.322	
3.306	3.318	3.025	3.217	3.322	
3.306	3.318	3.025	3.374	3.322	
3.306	3.318	3.025	3.453	3.322	
3.306	3.318	3.025	3.247	3.322	
3.306	3.318	3.025	3.389	3.322	
3.306	3.318	3.025	3.461	3.322	
3.306	3.318	3.025	3.251	3.322	
3.306	3.318	3.025	3.391	3.322	
3.306	3.318	3.025	3.461	3.322	
3.306	3.318	3.025	3.252	3.322	
3.306	3.318	3.025	3.392	3.322	
3.306	3.318	3.025	3.217	3.322	
3.306	3.318	3.025	3.374	3.322	
3.306	3.318	3.025	3.208	3.322	
3.306	3.318	3.025	3.370	3.322	
3.306	3.318	3.025	3.206	3.322	
3.306	3.318	3.025	3.369	3.322	
3.306	3.318	3.025	3.205	3.322	
3.306	3.318	3.025	3.368	3.322	
3.306	3.318	3.025	3.205	3.322	
3.306	3.318	3.025	3.368	3.322	
3.306	3.318	3.025	3.205	3.322	
3.306	3.318	3.025	3.368	3.322	
3.306	3.318	3.025	3.205	3.322	
3.306	3.318	3.025	3.368	3.322	
3.306	3.318	3.025	3.450	3.322	
3.306	3.318	3.025	3.246	3.322	
3.306	3.318	3.025	3.389	3.322	
3.306	3.318	3.025	3.215	3.322	
3.306	3.318	3.025	3.373	3.322	
3.306	3.318	3.025	3.208	3.322	
3.306	3.318	3.025	3.370	3.322	
3.306	3.318	3.025	3.206	3.322	
3.306	3.318	3.025	3.369	3.322	
3.306	3.318	3.025	3.205	3.322	
3.306	3.318	3.025	3.368	3.322	
3.306	3.318	3.025	3.205	3.322	
3.306	3.318	3.025	3.368	3.322	
3.306	3.318	3.025	3.205	3.322	
3.306	3.318	3.025	3.368	3.322	
3.306	3.318	3.025	3.205	3.322	
3.306	3.318	3.025	3.368	3.322	
3.306	3.318	3.025	3.205	3.322	
3.306	3.318	3.025	3.368	3.322	
3.306	3.318	3.025	3.205	3.322	
3.306	3.318	3.025	3.368	3.322	
3.306	3.318	3.025	3.205	3.322	
3.306	3.318	3.025	3.368	3.322	
3.306	3.318	3.025	3.205	3.322	
3.306	3.318	3.025	3.368	3.322	
3.306	3.318	3.025	3.205	3.322	
3.306	3.318	3.025	3.368	3.322	
3.306	3.318	3.025	3.205	3.322	
3.306	3.318	3.025	3.368	3.322	
3.306	3.318	3.025	3.205	3.322	
3.306	3.318	3.025	3.368	3.322	
3.306	3.318	3.025	3.450	3.322	
3.306	3.318	3.025	3.246	3.322	
3.306	3.318	3.025	3.389	3.322	
3.306	3.318	3.025	3.215	3.322	
3.306	3.318	3.025	3.373	3.322	
3.306	3.318	3.025	3.208	3.322	
3.306	3.318	3.025	3.370	3.322	
3.306	3.318	3.025	3.206	3.322	
3.306	3.318	3.025	3.369	3.322	
