Server_0B	Server_0	Server_01	Server_0D	Server_0A	
3.776	4.000	3.433	3.782	3.585	
4.388	4.000	3.433	3.782	3.585	
4.449	4.000	3.433	3.782	3.585	
3.256	4.000	3.433	3.782	3.585	
3.639	4.000	3.433	3.782	3.585	
3.830	4.000	3.433	3.782	3.585	
3.926	4.000	3.433	3.782	3.585	
3.973	4.000	3.433	3.782	3.585	
3.997	4.000	3.433	3.782	3.585	
4.009	4.000	3.433	3.782	3.585	
4.015	4.000	3.433	3.782	3.585	
4.018	4.000	3.433	3.782	3.585	
4.020	4.000	3.433	3.782	3.585	
4.020	4.000	3.433	3.782	3.585	
4.021	4.000	3.433	3.782	3.585	
4.021	4.000	3.433	3.782	3.585	
4.021	4.000	3.433	3.782	3.585	
4.021	4.000	3.433	3.782	3.585	
4.021	4.000	3.433	3.782	3.585	
3.776	4.000	3.433	3.782	3.585	
3.899	4.000	3.433	3.782	3.585	
3.899	3.766	3.433	3.782	3.585	
3.715	3.766	3.433	3.782	3.585	
3.715	3.766	3.433	3.657	3.585	
3.715	3.649	3.433	3.657	3.585	
3.623	3.649	3.433	3.657	3.585	
3.623	3.649	3.433	3.594	3.585	
3.623	3.590	3.433	3.594	3.585	
3.577	3.590	3.433	3.594	3.585	
3.577	3.590	3.433	3.563	3.585	
3.577	3.590	3.433	3.792	3.585	
3.577	3.590	3.433	3.907	3.585	
3.577	3.590	3.433	3.964	3.585	
3.577	3.590	3.433	4.237	3.585	
3.577	3.590	3.433	3.884	3.585	
3.577	3.590	3.433	3.708	3.585	
3.577	3.590	3.433	3.620	3.585	
3.577	3.590	3.433	3.576	3.585	
3.577	3.590	3.433	3.798	3.585	
3.577	3.590	3.433	3.665	3.585	
3.577	3.590	3.433	3.843	3.585	
3.577	3.590	3.433	3.687	3.585	
3.577	3.590	3.433	3.609	3.585	
3.577	3.590	3.433	3.815	3.585	
3.577	3.590	3.433	3.673	3.585	
3.577	3.590	3.433	3.603	3.585	
3.577	3.590	3.433	3.812	3.585	
3.577	3.590	3.433	3.672	3.585	
3.577	3.590	3.433	3.602	3.585	
3.577	3.590	3.433	3.811	3.585	
3.577	3.590	3.433	3.672	3.585	
3.577	3.590	3.433	3.602	3.585	
3.577	3.590	3.433	3.567	3.585	
3.577	3.561	3.433	3.567	3.585	
3.577	3.791	3.433	3.567	3.585	
3.577	3.416	3.433	3.567	3.585	
3.577	3.416	3.433	3.567	3.313	
3.310	3.416	3.433	3.567	3.313	
3.310	3.416	3.433	3.549	3.313	
3.310	3.416	3.433	3.785	3.313	
3.310	3.416	3.433	3.658	3.313	
3.310	3.416	3.433	3.350	3.313	
3.310	3.416	3.433	3.686	3.313	
3.310	3.416	3.433	3.853	3.313	
3.310	3.416	3.433	3.692	3.313	
3.310	3.416	3.433	3.367	3.313	
3.310	3.416	3.433	3.449	3.313	
3.310	3.416	3.433	3.490	3.313	
3.310	3.416	3.433	3.756	3.313	
3.310	3.416	3.433	3.644	3.313	
3.310	3.416	3.433	3.588	3.313	
3.310	3.416	3.433	3.315	3.313	
3.310	3.416	3.237	3.315	3.313	
3.310	3.416	3.629	3.315	3.313	
3.310	3.416	3.825	3.315	3.313	
3.310	3.416	3.678	3.315	3.313	
3.310	3.416	3.360	3.315	3.313	
3.310	3.229	3.360	3.315	3.313	
3.310	3.380	3.360	3.315	3.313	
3.310	3.701	3.360	3.315	3.313	
3.310	3.616	3.360	3.315	3.313	
3.310	3.574	3.360	3.315	3.313	
3.310	3.308	3.360	3.315	3.313	
3.310	3.420	3.360	3.315	3.313	
3.310	3.720	3.360	3.315	3.313	
3.310	3.626	3.360	3.315	3.313	
3.310	3.334	3.360	3.315	3.313	
3.310	3.678	3.360	3.315	3.313	
3.310	3.605	3.360	3.315	3.313	
3.310	3.568	3.360	3.315	3.313	
3.310	3.305	3.360	3.315	3.313	
3.310	3.663	3.360	3.315	3.313	
3.310	3.597	3.360	3.315	3.313	
3.310	3.320	3.360	3.315	3.313	
3.310	3.320	3.201	3.315	3.313	
3.310	3.320	3.366	3.315	3.313	
3.310	3.320	3.449	3.315	3.313	
3.310	3.320	3.245	3.315	3.313	
3.310	3.320	3.388	3.315	3.313	
3.310	3.320	3.460	3.315	3.313	
3.310	3.320	3.496	3.315	3.313	
3.310	3.320	3.269	3.315	3.313	
3.310	3.320	3.400	3.315	3.313	
3.310	3.320	3.466	3.315	3.313	
3.310	3.320	3.254	3.315	3.313	
3.310	3.320	3.393	3.315	3.313	
3.310	3.320	3.462	3.315	3.313	
3.310	3.320	3.252	3.315	3.313	
3.310	3.320	3.392	3.315	3.313	
3.310	3.320	3.462	3.315	3.313	
3.310	3.320	3.252	3.315	3.313	
3.310	3.320	3.392	3.315	3.313	
3.310	3.320	3.217	3.315	3.313	
3.310	3.320	3.374	3.315	3.313	
3.310	3.320	3.208	3.315	3.313	
3.310	3.320	3.370	3.315	3.313	
3.310	3.320	3.206	3.315	3.313	
3.310	3.320	3.369	3.315	3.313	
3.310	3.320	3.450	3.315	3.313	
3.310	3.320	3.246	3.315	3.313	
3.310	3.320	3.389	3.315	3.313	
3.310	3.320	3.215	3.315	3.313	
3.310	3.320	3.373	3.315	3.313	
3.310	3.320	3.208	3.315	3.313	
3.310	3.320	3.370	3.315	3.313	
3.310	3.320	3.206	3.315	3.313	
3.310	3.320	3.369	3.315	3.313	
3.310	3.320	3.450	3.315	3.313	
3.310	3.320	3.246	3.315	3.313	
3.310	3.320	3.389	3.315	3.313	
3.310	3.320	3.215	3.315	3.313	
3.310	3.320	3.373	3.315	3.313	
3.310	3.320	3.208	3.315	3.313	
3.310	3.320	3.370	3.315	3.313	
3.310	3.320	3.206	3.315	3.313	
3.310	3.320	3.369	3.315	3.313	
3.310	3.320	3.205	3.315	3.313	
3.310	3.320	3.368	3.315	3.313	
3.310	3.320	3.205	3.315	3.313	
3.310	3.320	3.368	3.315	3.313	
3.310	3.320	3.450	3.315	3.313	
3.310	3.320	3.246	3.315	3.313	
3.310	3.320	3.389	3.315	3.313	
3.310	3.320	3.215	3.315	3.313	
3.310	3.320	3.373	3.315	3.313	
3.310	3.320	3.208	3.315	3.313	
3.310	3.320	3.370	3.315	3.313	
3.310	3.320	3.206	3.315	3.313	
3.310	3.320	3.369	3.315	3.313	
3.310	3.320	3.205	3.315	3.313	
3.310	3.320	3.368	3.315	3.313	
3.310	3.320	3.205	3.315	3.313	
3.310	3.320	3.368	3.315	3.313	
3.310	3.320	3.205	3.315	3.313	
3.310	3.320	3.368	3.315	3.313	
3.310	3.320	3.205	3.315	3.313	
3.310	3.320	3.368	3.315	3.313	
3.310	3.320	3.205	3.315	3.313	
3.310	3.320	3.368	3.315	3.313	
3.310	3.320	3.205	3.315	3.313	
3.310	3.320	3.368	3.315	3.313	
3.310	3.320	3.205	3.315	3.313	
3.310	3.320	3.368	3.315	3.313	
3.310	3.320	3.205	3.315	3.313	
3.310	3.320	3.368	3.315	3.313	
3.310	3.320	3.450	3.315	3.313	
3.310	3.320	3.246	3.315	3.313	
3.310	3.320	3.389	3.315	3.313	
3.310	3.320	3.215	3.315	3.313	
3.310	3.320	3.373	3.315	3.313	
3.310	3.320	3.208	3.315	3.313	
3.310	3.320	3.370	3.315	3.313	
3.310	3.320	3.206	3.315	3.313	
3.310	3.320	3.369	3.315	3.313	
3.310	3.320	3.205	3.315	3.313	
3.310	3.320	3.368	3.315	3.313	
3.310	3.320	3.205	3.315	3.313	
3.310	3.320	3.368	3.315	3.313	
3.310	3.320	3.205	3.315	3.313	
3.310	3.320	3.368	3.315	3.313	
3.310	3.320	3.205	3.315	3.313	
3.310	3.320	3.368	3.315	3.313	
3.310	3.320	3.205	3.315	3.313	
3.310	3.320	3.368	3.315	3.313	
3.310	3.320	3.450	3.315	3.313	
3.310	3.320	3.246	3.315	3.313	
3.310	3.320	3.389	3.315	3.313	
3.310	3.320	3.215	3.315	3.313	
3.310	3.320	3.373	3.315	3.313	
3.310	3.320	3.208	3.315	3.313	
3.310	3.320	3.370	3.315	3.313	
3.310	3.320	3.206	3.315	3.313	
3.310	3.320	3.369	3.315	3.313	
3.310	3.320	3.205	3.315	3.313	
3.310	3.320	3.368	3.315	3.313	
3.310	3.320	3.205	3.315	3.313	
3.310	3.320	3.368	3.315	3.313	
3.310	3.320	3.205	3.315	3.313	
3.310	3.320	3.368	3.315	3.313	
3.310	3.320	3.450	3.315	3.313	
3.310	3.320	3.246	3.315	3.313	
3.310	3.320	3.389	3.315	3.313	
3.310	3.320	3.215	3.315	3.313	
3.310	3.320	3.373	3.315	3.313	
3.310	3.320	3.208	3.315	3.313	
3.310	3.320	3.370	3.315	3.313	
3.310	3.320	3.206	3.315	3.313	
3.310	3.320	3.369	3.315	3.313	
3.310	3.320	3.205	3.315	3.313	
3.310	3.320	3.368	3.315	3.313	
3.310	3.320	3.205	3.315	3.313	
3.310	3.320	3.368	3.315	3.313	
3.310	3.320	3.205	3.315	3.313	
3.310	3.320	3.368	3.315	3.313	
3.310	3.320	3.205	3.315	3.313	
3.310	3.320	3.368	3.315	3.313	
3.310	3.320	3.205	3.315	3.313	
3.310	3.320	3.368	3.315	3.313	
3.310	3.320	3.205	3.315	3.313	
3.310	3.320	3.368	3.315	3.313	
3.310	3.320	3.450	3.315	3.313	
3.310	3.320	3.246	3.315	3.313	
3.310	3.181	3.246	3.315	3.313	
3.310	3.356	3.246	3.315	3.313	
3.310	3.444	3.246	3.315	3.313	
3.310	3.243	3.246	3.315	3.313	
3.310	3.243	3.246	3.178	3.313	
3.310	3.243	3.246	3.600	3.313	
