Server_0B	Server_0	Server_09	Server_0C	Server_0A	
3.776	4.000	3.977	3.542	3.957	
4.388	4.000	3.977	3.542	3.957	
4.694	4.000	3.977	3.542	3.957	
3.379	4.000	3.977	3.542	3.957	
3.700	4.000	3.977	3.542	3.957	
3.861	4.000	3.977	3.542	3.957	
3.941	4.000	3.977	3.542	3.957	
3.981	4.000	3.977	3.542	3.957	
4.001	4.000	3.977	3.542	3.957	
4.011	4.000	3.977	3.542	3.957	
4.016	4.000	3.977	3.542	3.957	
4.019	4.000	3.977	3.542	3.957	
4.020	4.000	3.977	3.542	3.957	
3.776	4.000	3.977	3.542	3.957	
3.898	4.000	3.977	3.542	3.957	
3.960	4.000	3.977	3.542	3.957	
3.991	4.000	3.977	3.542	3.957	
4.006	4.000	3.977	3.542	3.957	
4.014	4.000	3.977	3.542	3.957	
3.773	4.000	3.977	3.542	3.957	
3.897	4.000	3.977	3.542	3.957	
3.959	4.000	3.977	3.542	3.957	
3.990	4.000	3.977	3.542	3.957	
4.006	4.000	3.977	3.542	3.957	
4.013	4.000	3.977	3.542	3.957	
3.773	4.000	3.977	3.542	3.957	
3.897	4.000	3.977	3.542	3.957	
3.897	3.766	3.977	3.542	3.957	
3.897	3.766	3.509	3.542	3.957	
3.897	3.766	3.509	3.542	3.744	
3.714	3.766	3.509	3.542	3.744	
3.868	3.766	3.509	3.542	3.744	
3.700	3.766	3.509	3.542	3.744	
3.860	3.766	3.509	3.542	3.744	
3.941	3.766	3.509	3.542	3.744	
3.736	3.766	3.509	3.542	3.744	
3.879	3.766	3.509	3.542	3.744	
3.950	3.766	3.509	3.542	3.744	
3.741	3.766	3.509	3.542	3.744	
3.741	3.649	3.509	3.542	3.744	
3.741	3.835	3.509	3.542	3.744	
3.741	3.683	3.509	3.542	3.744	
3.741	3.683	3.509	3.542	3.638	
3.636	3.683	3.509	3.542	3.638	
3.829	3.683	3.509	3.542	3.638	
3.680	3.683	3.509	3.542	3.638	
3.851	3.683	3.509	3.542	3.638	
3.691	3.683	3.509	3.542	3.638	
3.611	3.683	3.509	3.542	3.638	
3.816	3.683	3.509	3.542	3.638	
3.674	3.683	3.509	3.542	3.638	
3.674	3.607	3.509	3.542	3.638	
3.358	3.607	3.509	3.542	3.638	
3.358	3.607	3.509	3.542	3.585	
3.358	3.570	3.509	3.542	3.585	
3.358	3.795	3.509	3.542	3.585	
3.358	3.419	3.509	3.542	3.585	
3.358	3.419	3.509	3.542	3.558	
3.358	3.419	3.509	3.542	3.545	
3.358	3.419	3.509	3.542	3.538	
3.358	3.419	3.509	3.542	3.780	
3.358	3.419	3.509	3.542	3.411	
3.358	3.419	3.509	3.537	3.411	
3.358	3.419	3.509	3.534	3.411	
3.358	3.419	3.509	3.533	3.411	
3.358	3.419	3.509	3.287	3.411	
3.358	3.419	3.509	3.654	3.411	
3.358	3.419	3.509	3.593	3.411	
3.358	3.419	3.509	3.317	3.411	
3.358	3.419	3.509	3.424	3.411	
3.358	3.419	3.509	3.723	3.411	
3.358	3.419	3.509	3.627	3.411	
3.358	3.419	3.509	3.579	3.411	
3.358	3.419	3.509	3.311	3.411	
3.358	3.419	3.509	3.666	3.411	
3.358	3.419	3.509	3.599	3.411	
3.358	3.419	3.509	3.320	3.411	
3.358	3.419	3.509	3.426	3.411	
3.358	3.419	3.509	3.479	3.411	
3.358	3.419	3.276	3.479	3.411	
3.358	3.419	3.648	3.479	3.411	
3.358	3.419	3.345	3.479	3.411	
3.358	3.419	3.683	3.479	3.411	
3.358	3.419	3.362	3.479	3.411	
3.358	3.419	3.362	3.260	3.411	
3.358	3.419	3.362	3.396	3.411	
3.358	3.419	3.362	3.709	3.411	
3.358	3.419	3.362	3.620	3.411	
3.358	3.419	3.362	3.331	3.411	
3.358	3.230	3.362	3.331	3.411	
3.358	3.626	3.362	3.331	3.411	
