Server_0B	Server_0	Server_01	Server_08	Server_0A	
3.776	4.000	3.890	3.725	3.894	
3.776	3.766	3.890	3.725	3.894	
3.776	3.766	3.890	3.725	3.468	
3.776	3.766	3.711	3.725	3.468	
3.409	3.766	3.711	3.725	3.468	
3.409	3.404	3.711	3.725	3.468	
3.409	3.404	3.711	3.383	3.468	
3.409	3.404	3.376	3.383	3.468	
3.409	3.404	3.376	3.383	3.255	
3.225	3.404	3.376	3.383	3.255	
3.225	3.223	3.376	3.383	3.255	
3.225	3.223	3.376	3.213	3.255	
3.225	3.223	3.376	3.372	3.255	
3.225	3.223	3.209	3.372	3.255	
3.225	3.223	3.370	3.372	3.255	
3.225	3.223	3.370	3.207	3.255	
3.225	3.223	3.370	3.614	3.255	
3.225	3.223	3.370	3.573	3.255	
3.225	3.223	3.370	3.552	3.255	
3.225	3.223	3.370	3.542	3.255	
3.225	3.223	3.370	3.537	3.255	
3.225	3.223	3.370	3.534	3.255	
3.225	3.223	3.370	3.533	3.255	
3.225	3.223	3.370	3.532	3.255	
3.225	3.223	3.370	3.532	3.255	
3.225	3.223	3.370	3.532	3.255	
3.225	3.223	3.370	3.532	3.255	
3.225	3.223	3.370	3.776	3.255	
3.225	3.223	3.370	3.654	3.255	
3.225	3.223	3.370	3.593	3.255	
3.225	3.223	3.370	3.562	3.255	
3.225	3.223	3.370	3.547	3.255	
3.225	3.223	3.370	3.539	3.255	
3.225	3.223	3.370	3.535	3.255	
3.225	3.223	3.370	3.534	3.255	
3.225	3.223	3.370	3.533	3.255	
3.225	3.223	3.370	3.532	3.255	
3.225	3.223	3.370	3.532	3.255	
3.225	3.223	3.370	3.532	3.255	
3.225	3.223	3.370	3.532	3.255	
3.225	3.223	3.370	3.532	3.255	
3.225	3.223	3.370	3.532	3.255	
3.225	3.223	3.370	3.532	3.255	
3.225	3.223	3.370	3.532	3.255	
3.225	3.223	3.370	3.532	3.255	
3.225	3.223	3.370	3.532	3.255	
3.225	3.223	3.370	3.532	3.255	
3.225	3.223	3.370	3.532	3.255	
3.225	3.223	3.370	3.532	3.255	
3.225	3.223	3.370	3.287	3.255	
3.225	3.223	3.370	3.654	3.255	
3.225	3.223	3.370	3.593	3.255	
3.225	3.223	3.370	3.317	3.255	
3.225	3.223	3.370	3.424	3.255	
3.225	3.223	3.370	3.478	3.255	
3.225	3.223	3.370	3.750	3.255	
3.225	3.223	3.370	3.641	3.255	
3.225	3.223	3.370	3.586	3.255	
3.225	3.223	3.370	3.559	3.255	
3.225	3.223	3.370	3.545	3.255	
3.225	3.223	3.370	3.538	3.255	
3.225	3.223	3.370	3.535	3.255	
3.225	3.223	3.370	3.533	3.255	
3.225	3.223	3.370	3.532	3.255	
3.225	3.223	3.370	3.532	3.255	
3.225	3.223	3.370	3.287	3.255	
3.225	3.223	3.370	3.409	3.255	
3.225	3.223	3.370	3.715	3.255	
3.225	3.223	3.370	3.623	3.255	
3.225	3.223	3.370	3.577	3.255	
3.225	3.223	3.370	3.555	3.255	
3.225	3.223	3.370	3.543	3.255	
3.225	3.223	3.370	3.537	3.255	
3.225	3.223	3.370	3.534	3.255	
3.225	3.223	3.370	3.533	3.255	
3.225	3.223	3.370	3.532	3.255	
3.225	3.223	3.370	3.532	3.255	
3.225	3.223	3.370	3.532	3.255	
3.225	3.223	3.370	3.532	3.255	
3.225	3.223	3.370	3.287	3.255	
3.225	3.223	3.370	3.654	3.255	
3.225	3.223	3.370	3.593	3.255	
3.225	3.223	3.370	3.562	3.255	
3.225	3.223	3.370	3.302	3.255	
3.225	3.223	3.370	3.662	3.255	
3.225	3.223	3.370	3.597	3.255	
3.225	3.223	3.370	3.564	3.255	
3.225	3.223	3.370	3.548	3.255	
3.225	3.223	3.370	3.295	3.255	
3.225	3.223	3.370	3.413	3.255	
3.225	3.223	3.370	3.472	3.255	
3.225	3.223	3.370	3.502	3.255	
3.225	3.223	3.370	3.762	3.255	
3.225	3.223	3.370	3.402	3.255	
3.225	3.223	3.370	3.467	3.255	
3.225	3.223	3.370	3.499	3.255	
3.225	3.223	3.370	3.515	3.255	
3.225	3.223	3.370	3.523	3.255	
3.225	3.223	3.370	3.528	3.255	
3.225	3.223	3.370	3.774	3.255	
3.225	3.223	3.370	3.653	3.255	
3.225	3.223	3.370	3.592	3.255	
3.225	3.223	3.370	3.562	3.255	
3.225	3.223	3.370	3.547	3.255	
3.225	3.223	3.370	3.539	3.255	
3.225	3.223	3.370	3.535	3.255	
3.225	3.223	3.370	3.533	3.255	
3.225	3.223	3.370	3.533	3.255	
3.225	3.223	3.370	3.532	3.255	
3.225	3.223	3.370	3.532	3.255	
3.225	3.223	3.370	3.532	3.255	
3.225	3.223	3.370	3.532	3.255	
