Server_0B	Server_0	Server_07	Server_09	Server_04	
3.776	4.000	3.117	3.599	3.849	
3.899	4.000	3.117	3.599	3.849	
3.960	4.000	3.117	3.599	3.849	
3.991	4.000	3.117	3.599	3.849	
4.006	4.000	3.117	3.599	3.849	
4.014	4.000	3.117	3.599	3.849	
4.017	4.000	3.117	3.599	3.849	
4.019	4.000	3.117	3.599	3.849	
4.020	4.000	3.117	3.599	3.849	
3.776	4.000	3.117	3.599	3.849	
3.899	4.000	3.117	3.599	3.849	
3.960	4.000	3.117	3.599	3.849	
3.991	4.000	3.117	3.599	3.849	
4.006	4.000	3.117	3.599	3.849	
4.014	4.000	3.117	3.599	3.849	
3.773	4.000	3.117	3.599	3.849	
3.773	3.766	3.117	3.599	3.849	
3.773	3.766	3.117	3.599	3.691	
3.652	3.766	3.117	3.599	3.691	
3.837	3.766	3.117	3.599	3.691	
3.929	3.766	3.117	3.599	3.691	
3.975	3.766	3.117	3.599	3.691	
3.753	3.766	3.117	3.599	3.691	
3.753	3.649	3.117	3.599	3.691	
3.753	3.835	3.117	3.599	3.691	
3.753	3.683	3.117	3.599	3.691	
3.642	3.683	3.117	3.599	3.691	
3.832	3.683	3.117	3.599	3.691	
3.682	3.683	3.117	3.599	3.691	
3.851	3.683	3.117	3.599	3.691	
3.692	3.683	3.117	3.599	3.691	
3.856	3.683	3.117	3.599	3.691	
3.939	3.683	3.117	3.599	3.691	
3.980	3.683	3.117	3.599	3.691	
3.756	3.683	3.117	3.599	3.691	
3.644	3.683	3.117	3.599	3.691	
3.832	3.683	3.117	3.599	3.691	
3.682	3.683	3.117	3.599	3.691	
3.852	3.683	3.117	3.599	3.691	
3.692	3.683	3.117	3.599	3.691	
3.612	3.683	3.117	3.599	3.691	
3.816	3.683	3.117	3.599	3.691	
3.674	3.683	3.117	3.599	3.691	
3.848	3.683	3.117	3.599	3.691	
3.690	3.683	3.117	3.599	3.691	
3.690	3.683	3.117	3.599	3.611	
3.611	3.683	3.117	3.599	3.611	
3.611	3.607	3.117	3.599	3.611	
3.611	3.607	3.117	3.599	3.326	
3.611	3.607	3.117	3.599	3.674	
3.611	3.607	3.117	3.599	3.847	
3.611	3.607	3.117	3.599	3.690	
3.611	3.607	3.117	3.599	3.611	
3.571	3.607	3.117	3.599	3.611	
3.571	3.607	3.117	3.599	3.326	
3.571	3.607	3.117	3.599	3.674	
3.571	3.607	3.117	3.599	3.603	
3.571	3.325	3.117	3.599	3.603	
3.571	3.325	3.117	3.599	3.567	
3.571	3.325	3.117	3.599	3.794	
3.571	3.325	3.117	3.599	3.663	
3.571	3.325	3.117	3.599	3.352	
3.571	3.325	3.117	3.320	3.352	
3.551	3.325	3.117	3.320	3.352	
3.786	3.325	3.117	3.320	3.352	
