Server_0B	Server_0	Server_05	Server_04	Server_0E	
3.776	4.000	3.439	3.701	3.126	
4.143	4.000	3.439	3.701	3.126	
4.082	4.000	3.439	3.701	3.126	
4.052	4.000	3.439	3.701	3.126	
4.036	4.000	3.439	3.701	3.126	
4.029	4.000	3.439	3.701	3.126	
4.025	4.000	3.439	3.701	3.126	
4.023	4.000	3.439	3.701	3.126	
4.022	4.000	3.439	3.701	3.126	
4.022	4.000	3.439	3.701	3.126	
4.021	4.000	3.439	3.701	3.126	
4.021	4.000	3.439	3.701	3.126	
4.021	4.000	3.439	3.701	3.126	
4.021	4.000	3.439	3.701	3.126	
4.021	4.000	3.439	3.701	3.126	
4.021	4.000	3.439	3.701	3.126	
4.021	4.000	3.439	3.701	3.126	
4.021	4.000	3.439	3.701	3.126	
3.776	4.000	3.439	3.701	3.126	
3.899	4.000	3.439	3.701	3.126	
3.899	3.766	3.439	3.701	3.126	
3.715	3.766	3.439	3.701	3.126	
3.715	3.649	3.439	3.701	3.126	
3.623	3.649	3.439	3.701	3.126	
3.623	3.649	3.439	3.616	3.126	
3.623	3.649	3.439	3.819	3.126	
3.623	3.649	3.439	3.675	3.126	
3.623	3.649	3.439	3.603	3.126	
3.623	3.649	3.439	3.812	3.126	
3.623	3.649	3.439	3.917	3.126	
3.623	3.649	3.439	3.969	3.126	
3.623	3.649	3.439	3.750	3.126	
3.623	3.649	3.439	3.886	3.126	
3.623	3.649	3.439	3.953	3.126	
3.623	3.649	3.439	3.987	3.126	
3.623	3.649	3.439	4.004	3.126	
3.623	3.649	3.439	3.768	3.126	
3.623	3.649	3.439	3.650	3.126	
3.623	3.649	3.439	3.835	3.126	
3.623	3.649	3.439	3.684	3.126	
3.623	3.649	3.439	3.852	3.126	
3.623	3.649	3.439	3.692	3.126	
3.623	3.649	3.439	3.857	3.126	
3.623	3.649	3.439	3.694	3.126	
3.623	3.649	3.439	3.613	3.126	
3.623	3.649	3.439	3.817	3.126	
3.623	3.649	3.439	3.674	3.126	
3.623	3.649	3.439	3.603	3.126	
3.623	3.649	3.439	3.812	3.126	
3.623	3.649	3.439	3.672	3.126	
3.623	3.649	3.439	3.602	3.126	
3.623	3.590	3.439	3.602	3.126	
3.333	3.590	3.439	3.602	3.126	
3.333	3.590	3.439	3.567	3.126	
3.333	3.561	3.439	3.567	3.126	
3.333	3.561	3.439	3.304	3.126	
3.333	3.561	3.439	3.663	3.126	
3.333	3.561	3.439	3.597	3.126	
3.333	3.561	3.439	3.564	3.126	
3.333	3.561	3.439	3.303	3.126	
