Server_0B	Server_0	Server_02	Server_00	Server_0D	
3.776	4.000	3.890	3.359	3.012	
3.776	3.766	3.890	3.359	3.012	
3.776	3.766	3.466	3.359	3.012	
3.409	3.766	3.466	3.359	3.012	
3.409	3.649	3.466	3.359	3.012	
3.409	3.590	3.466	3.359	3.012	
3.409	3.316	3.466	3.359	3.012	
3.409	3.316	3.254	3.359	3.012	
3.225	3.316	3.254	3.359	3.012	
3.225	3.316	3.254	3.201	3.012	
3.225	3.316	3.254	3.366	3.012	
3.225	3.316	3.254	3.449	3.012	
3.225	3.316	3.254	3.490	3.012	
3.225	3.316	3.254	3.511	3.012	
3.225	3.316	3.254	3.276	3.012	
3.225	3.316	3.254	3.404	3.012	
3.225	3.316	3.254	3.468	3.012	
3.225	3.316	3.254	3.500	3.012	
3.225	3.316	3.254	3.271	3.012	
3.225	3.179	3.254	3.271	3.012	
3.225	3.355	3.254	3.271	3.012	
3.225	3.688	3.254	3.271	3.012	
3.225	3.610	3.254	3.271	3.012	
3.225	3.571	3.254	3.271	3.012	
3.225	3.306	3.254	3.271	3.012	
3.225	3.419	3.254	3.271	3.012	
3.225	3.720	3.254	3.271	3.012	
3.225	3.626	3.254	3.271	3.012	
3.225	3.334	3.254	3.271	3.012	
3.225	3.677	3.254	3.271	3.012	
3.225	3.605	3.254	3.271	3.012	
3.225	3.568	3.254	3.271	3.012	
3.225	3.305	3.254	3.271	3.012	
3.225	3.663	3.254	3.271	3.012	
3.225	3.597	3.254	3.271	3.012	
3.225	3.320	3.254	3.271	3.012	
3.225	3.181	3.254	3.271	3.012	
3.225	3.601	3.254	3.271	3.012	
3.225	3.566	3.254	3.271	3.012	
3.225	3.304	3.254	3.271	3.012	
3.225	3.418	3.254	3.271	3.012	
3.225	3.719	3.254	3.271	3.012	
3.225	3.626	3.254	3.271	3.012	
3.225	3.334	3.254	3.271	3.012	
3.225	3.188	3.254	3.271	3.012	
3.225	3.604	3.254	3.271	3.012	
3.225	3.568	3.254	3.271	3.012	
3.225	3.550	3.254	3.271	3.012	
3.225	3.296	3.254	3.271	3.012	
3.225	3.658	3.254	3.271	3.012	
3.225	3.595	3.254	3.271	3.012	
3.225	3.563	3.254	3.271	3.012	
3.225	3.303	3.254	3.271	3.012	
3.225	3.662	3.254	3.271	3.012	
3.225	3.597	3.254	3.271	3.012	
3.225	3.564	3.254	3.271	3.012	
3.225	3.303	3.254	3.271	3.012	
3.225	3.662	3.254	3.271	3.012	
3.225	3.597	3.254	3.271	3.012	
3.225	3.564	3.254	3.271	3.012	
3.225	3.303	3.254	3.271	3.012	
3.225	3.417	3.254	3.271	3.012	
3.225	3.719	3.254	3.271	3.012	
3.225	3.381	3.254	3.271	3.012	
3.225	3.211	3.254	3.271	3.012	
3.225	3.616	3.254	3.271	3.012	
3.225	3.574	3.254	3.271	3.012	
3.225	3.553	3.254	3.271	3.012	
3.225	3.297	3.254	3.271	3.012	
3.225	3.659	3.254	3.271	3.012	
3.225	3.595	3.254	3.271	3.012	
3.225	3.564	3.254	3.271	3.012	
3.225	3.548	3.254	3.271	3.012	
3.225	3.540	3.254	3.271	3.012	
3.225	3.536	3.254	3.271	3.012	
3.225	3.289	3.254	3.271	3.012	
3.225	3.655	3.254	3.271	3.012	
3.225	3.593	3.254	3.271	3.012	
3.225	3.562	3.254	3.271	3.012	
3.225	3.547	3.254	3.271	3.012	
3.225	3.539	3.254	3.271	3.012	
3.225	3.535	3.254	3.271	3.012	
3.225	3.534	3.254	3.271	3.012	
3.225	3.533	3.254	3.271	3.012	
3.225	3.532	3.254	3.271	3.012	
3.225	3.287	3.254	3.271	3.012	
3.225	3.409	3.254	3.271	3.012	
3.225	3.470	3.254	3.271	3.012	
3.225	3.501	3.254	3.271	3.012	
3.225	3.271	3.254	3.271	3.012	
3.225	3.401	3.254	3.271	3.012	
3.225	3.711	3.254	3.271	3.012	
3.225	3.377	3.254	3.271	3.012	
3.225	3.454	3.254	3.271	3.012	
3.225	3.738	3.254	3.271	3.012	
3.225	3.390	3.254	3.271	3.012	
3.225	3.216	3.254	3.271	3.012	
3.225	3.374	3.254	3.271	3.012	
3.225	3.453	3.254	3.271	3.012	
3.225	3.492	3.254	3.271	3.012	
3.225	3.512	3.254	3.271	3.012	
3.225	3.522	3.254	3.271	3.012	
3.225	3.282	3.254	3.271	3.012	
3.225	3.407	3.254	3.271	3.012	
3.225	3.469	3.254	3.271	3.012	
3.225	3.500	3.254	3.271	3.012	
3.225	3.516	3.254	3.271	3.012	
3.225	3.524	3.254	3.271	3.012	
3.225	3.283	3.254	3.271	3.012	
3.225	3.407	3.254	3.271	3.012	
3.225	3.469	3.254	3.271	3.012	
3.225	3.500	3.254	3.271	3.012	
3.225	3.516	3.254	3.271	3.012	
3.225	3.279	3.254	3.271	3.012	
3.225	3.405	3.254	3.271	3.012	
3.225	3.468	3.254	3.271	3.012	
3.225	3.500	3.254	3.271	3.012	
3.225	3.271	3.254	3.271	3.012	
3.225	3.401	3.254	3.271	3.012	
3.225	3.466	3.254	3.271	3.012	
3.225	3.254	3.254	3.271	3.012	
3.225	3.393	3.254	3.271	3.012	
3.225	3.462	3.254	3.271	3.012	
3.225	3.497	3.254	3.271	3.012	
3.225	3.269	3.254	3.271	3.012	
3.225	3.400	3.254	3.271	3.012	
3.225	3.466	3.254	3.271	3.012	
3.225	3.254	3.254	3.271	3.012	
3.225	3.393	3.254	3.271	3.012	
3.225	3.462	3.254	3.271	3.012	
3.225	3.497	3.254	3.271	3.012	
3.225	3.269	3.254	3.271	3.012	
3.225	3.400	3.254	3.271	3.012	
3.225	3.466	3.254	3.271	3.012	
3.225	3.254	3.254	3.271	3.012	
3.225	3.393	3.254	3.271	3.012	
3.225	3.462	3.254	3.271	3.012	
3.225	3.497	3.254	3.271	3.012	
3.225	3.269	3.254	3.271	3.012	
3.225	3.400	3.254	3.271	3.012	
3.225	3.466	3.254	3.271	3.012	
3.225	3.254	3.254	3.271	3.012	
3.225	3.393	3.254	3.271	3.012	
3.225	3.462	3.254	3.271	3.012	
3.225	3.497	3.254	3.271	3.012	
3.225	3.269	3.254	3.271	3.012	
3.225	3.400	3.254	3.271	3.012	
3.225	3.466	3.254	3.271	3.012	
3.225	3.254	3.254	3.271	3.012	
3.225	3.393	3.254	3.271	3.012	
3.225	3.217	3.254	3.271	3.012	
3.225	3.374	3.254	3.271	3.012	
3.225	3.453	3.254	3.271	3.012	
3.225	3.247	3.254	3.271	3.012	
3.225	3.389	3.254	3.271	3.012	
3.225	3.216	3.254	3.271	3.012	
3.225	3.374	3.254	3.271	3.012	
3.225	3.208	3.254	3.271	3.012	
3.225	3.370	3.254	3.271	3.012	
3.225	3.451	3.254	3.271	3.012	
3.225	3.246	3.254	3.271	3.012	
3.225	3.389	3.254	3.271	3.012	
3.225	3.215	3.254	3.271	3.012	
3.225	3.373	3.254	3.271	3.012	
3.225	3.208	3.254	3.271	3.012	
3.225	3.370	3.254	3.271	3.012	
3.225	3.206	3.254	3.271	3.012	
3.225	3.369	3.254	3.271	3.012	
3.225	3.205	3.254	3.271	3.012	
3.225	3.368	3.254	3.271	3.012	
3.225	3.205	3.254	3.271	3.012	
3.225	3.368	3.254	3.271	3.012	
3.225	3.205	3.254	3.271	3.012	
3.225	3.368	3.254	3.271	3.012	
3.225	3.205	3.254	3.271	3.012	
3.225	3.368	3.254	3.271	3.012	
3.225	3.205	3.254	3.271	3.012	
3.225	3.368	3.254	3.271	3.012	
3.225	3.205	3.254	3.271	3.012	
3.225	3.368	3.254	3.271	3.012	
3.225	3.205	3.254	3.271	3.012	
3.225	3.368	3.254	3.271	3.012	
3.225	3.205	3.254	3.271	3.012	
3.225	3.368	3.254	3.271	3.012	
3.225	3.205	3.254	3.271	3.012	
3.225	3.368	3.254	3.271	3.012	
3.225	3.205	3.254	3.271	3.012	
3.225	3.368	3.254	3.271	3.012	
3.225	3.205	3.254	3.271	3.012	
3.225	3.368	3.254	3.271	3.012	
3.225	3.205	3.254	3.271	3.012	
3.225	3.368	3.254	3.271	3.012	
3.225	3.205	3.254	3.271	3.012	
3.225	3.368	3.254	3.271	3.012	
3.225	3.205	3.254	3.271	3.012	
3.225	3.368	3.254	3.271	3.012	
3.225	3.205	3.254	3.271	3.012	
3.225	3.368	3.254	3.271	3.012	
3.225	3.205	3.254	3.271	3.012	
3.225	3.368	3.254	3.271	3.012	
3.225	3.205	3.254	3.271	3.012	
3.225	3.368	3.254	3.271	3.012	
3.225	3.205	3.254	3.271	3.012	
3.225	3.368	3.254	3.271	3.012	
3.225	3.205	3.254	3.271	3.012	
3.225	3.368	3.254	3.271	3.012	
3.225	3.205	3.254	3.271	3.012	
