Server_0B	Server_0	Server_08	Server_07	Server_00	
3.776	4.000	3.270	3.158	3.843	
3.899	4.000	3.270	3.158	3.843	
3.960	4.000	3.270	3.158	3.843	
3.991	4.000	3.270	3.158	3.843	
4.006	4.000	3.270	3.158	3.843	
4.014	4.000	3.270	3.158	3.843	
3.773	4.000	3.270	3.158	3.843	
3.897	4.000	3.270	3.158	3.843	
3.959	4.000	3.270	3.158	3.843	
3.990	4.000	3.270	3.158	3.843	
4.006	4.000	3.270	3.158	3.843	
4.013	4.000	3.270	3.158	3.843	
4.017	4.000	3.270	3.158	3.843	
3.774	4.000	3.270	3.158	3.843	
3.898	4.000	3.270	3.158	3.843	
3.898	3.766	3.270	3.158	3.843	
3.715	3.766	3.270	3.158	3.843	
3.715	3.766	3.270	3.158	3.688	
3.715	3.649	3.270	3.158	3.688	
3.715	3.835	3.270	3.158	3.688	
3.715	3.438	3.270	3.158	3.688	
3.715	3.730	3.270	3.158	3.688	
3.715	3.386	3.270	3.158	3.688	
3.623	3.386	3.270	3.158	3.688	
3.623	3.386	3.270	3.158	3.610	
3.577	3.386	3.270	3.158	3.610	
3.799	3.386	3.270	3.158	3.610	
3.910	3.386	3.270	3.158	3.610	
3.721	3.386	3.270	3.158	3.610	
3.871	3.386	3.270	3.158	3.610	
3.946	3.386	3.270	3.158	3.610	
3.984	3.386	3.270	3.158	3.610	
3.758	3.386	3.270	3.158	3.610	
3.645	3.386	3.270	3.158	3.610	
3.833	3.386	3.270	3.158	3.610	
3.682	3.386	3.270	3.158	3.610	
3.852	3.386	3.270	3.158	3.610	
3.692	3.386	3.270	3.158	3.610	
3.612	3.386	3.270	3.158	3.610	
3.816	3.386	3.270	3.158	3.610	
3.674	3.386	3.270	3.158	3.610	
3.603	3.386	3.270	3.158	3.610	
3.603	3.386	3.270	3.158	3.571	
3.567	3.386	3.270	3.158	3.571	
3.794	3.386	3.270	3.158	3.571	
3.663	3.386	3.270	3.158	3.571	
3.597	3.386	3.270	3.158	3.571	
3.564	3.386	3.270	3.158	3.571	
3.564	3.386	3.270	3.158	3.551	
3.548	3.386	3.270	3.158	3.551	
3.548	3.386	3.270	3.158	3.541	
3.295	3.386	3.270	3.158	3.541	
3.295	3.386	3.270	3.158	3.536	
3.295	3.386	3.270	3.158	3.779	
3.295	3.386	3.270	3.158	3.655	
3.295	3.386	3.270	3.158	3.349	
3.295	3.386	3.270	3.158	3.685	
3.295	3.386	3.270	3.158	3.608	
3.295	3.386	3.270	3.158	3.325	
3.295	3.386	3.270	3.158	3.673	
3.295	3.386	3.270	3.158	3.602	
3.295	3.386	3.270	3.158	3.567	
3.295	3.386	3.270	3.158	3.549	
3.295	3.386	3.270	3.158	3.296	
3.295	3.386	3.270	3.158	3.658	
3.295	3.386	3.270	3.158	3.595	
3.295	3.386	3.270	3.158	3.563	
3.295	3.386	3.270	3.158	3.303	
