Server_0B	Server_0	Server_01	Server_03	Server_05	
3.776	4.000	3.518	3.834	3.545	
3.776	3.766	3.518	3.834	3.545	
3.776	4.138	3.518	3.834	3.545	
3.776	4.324	3.518	3.834	3.545	
3.776	4.418	3.518	3.834	3.545	
3.776	4.464	3.518	3.834	3.545	
3.776	4.243	3.518	3.834	3.545	
3.776	4.132	3.518	3.834	3.545	
3.776	4.077	3.518	3.834	3.545	
3.776	4.049	3.518	3.834	3.545	
3.776	4.035	3.518	3.834	3.545	
3.776	3.783	3.518	3.834	3.545	
3.776	3.783	3.518	3.683	3.545	
3.776	3.783	3.518	3.852	3.545	
3.776	3.783	3.518	3.692	3.545	
3.776	3.783	3.518	4.101	3.545	
3.776	3.783	3.518	4.061	3.545	
3.776	3.783	3.518	4.286	3.545	
3.776	3.783	3.518	4.154	3.545	
3.776	3.783	3.518	3.843	3.545	
3.776	3.783	3.518	3.687	3.545	
3.776	3.783	3.518	4.099	3.545	
3.776	3.783	3.518	3.815	3.545	
3.776	3.783	3.518	4.163	3.545	
3.776	3.783	3.518	3.847	3.545	
3.776	3.783	3.518	3.689	3.545	
3.776	3.783	3.518	3.855	3.545	
3.776	3.783	3.518	3.693	3.545	
3.776	3.783	3.518	3.857	3.545	
3.776	3.783	3.518	3.939	3.545	
3.776	3.783	3.518	3.735	3.545	
3.776	3.783	3.518	3.878	3.545	
3.776	3.783	3.518	3.705	3.545	
3.776	3.657	3.518	3.705	3.545	
3.776	3.839	3.518	3.705	3.545	
3.776	3.685	3.518	3.705	3.545	
3.654	3.685	3.518	3.705	3.545	
3.654	3.685	3.518	3.618	3.545	
3.654	3.685	3.518	3.820	3.545	
3.654	3.685	3.518	3.676	3.545	
3.654	3.609	3.518	3.676	3.545	
3.654	3.609	3.518	3.359	3.545	
3.654	3.609	3.518	3.690	3.545	
3.654	3.609	3.518	3.611	3.545	
3.593	3.609	3.518	3.611	3.545	
3.593	3.609	3.518	3.571	3.545	
3.593	3.325	3.518	3.571	3.545	
3.593	3.673	3.518	3.571	3.545	
3.593	3.357	3.518	3.571	3.545	
3.317	3.357	3.518	3.571	3.545	
3.317	3.357	3.518	3.551	3.545	
