Server_0C	Server_0	Server_0F	Server_04	Server_08	
3.776	4.000	3.111	3.069	3.855	
4.388	4.000	3.111	3.069	3.855	
4.694	4.000	3.111	3.069	3.855	
4.602	4.000	3.111	3.069	3.855	
4.312	4.000	3.111	3.069	3.855	
4.166	4.000	3.111	3.069	3.855	
4.094	4.000	3.111	3.069	3.855	
4.058	4.000	3.111	3.069	3.855	
4.039	4.000	3.111	3.069	3.855	
4.030	4.000	3.111	3.069	3.855	
4.026	4.000	3.111	3.069	3.855	
4.023	4.000	3.111	3.069	3.855	
4.022	4.000	3.111	3.069	3.855	
4.022	4.000	3.111	3.069	3.855	
4.021	4.000	3.111	3.069	3.855	
4.021	4.000	3.111	3.069	3.855	
4.021	4.000	3.111	3.069	3.855	
4.021	4.000	3.111	3.069	3.855	
4.021	4.000	3.111	3.069	3.855	
4.021	4.000	3.111	3.069	3.855	
4.021	4.000	3.111	3.069	3.855	
3.776	4.000	3.111	3.069	3.855	
3.899	4.000	3.111	3.069	3.855	
3.899	3.766	3.111	3.069	3.855	
3.470	3.766	3.111	3.069	3.855	
3.746	3.766	3.111	3.069	3.855	
3.746	3.766	3.111	3.069	3.693	
3.746	3.649	3.111	3.069	3.693	
3.394	3.649	3.111	3.069	3.693	
3.394	3.649	3.111	3.069	3.612	
3.394	3.590	3.111	3.069	3.612	
3.394	3.590	3.111	3.069	3.327	
3.394	3.561	3.111	3.069	3.327	
3.394	3.546	3.111	3.069	3.327	
3.394	3.539	3.111	3.069	3.327	
3.394	3.290	3.111	3.069	3.327	
3.394	3.411	3.111	3.069	3.327	
3.394	3.716	3.111	3.069	3.327	
3.394	3.624	3.111	3.069	3.327	
3.394	3.578	3.111	3.069	3.327	
3.394	3.555	3.111	3.069	3.327	
3.394	3.788	3.111	3.069	3.327	
3.394	3.660	3.111	3.069	3.327	
3.394	3.596	3.111	3.069	3.327	
3.394	3.564	3.111	3.069	3.327	
3.394	3.548	3.111	3.069	3.327	
3.394	3.540	3.111	3.069	3.327	
3.394	3.536	3.111	3.069	3.327	
3.394	3.534	3.111	3.069	3.327	
3.394	3.288	3.111	3.069	3.327	
3.394	3.410	3.111	3.069	3.327	
3.394	3.715	3.111	3.069	3.327	
3.394	3.624	3.111	3.069	3.327	
3.394	3.333	3.111	3.069	3.327	
3.394	3.432	3.111	3.069	3.327	
3.394	3.727	3.111	3.069	3.327	
3.394	3.384	3.111	3.069	3.327	
3.218	3.384	3.111	3.069	3.327	
3.619	3.384	3.111	3.069	3.327	
3.331	3.384	3.111	3.069	3.327	
3.431	3.384	3.111	3.069	3.327	
3.726	3.384	3.111	3.069	3.327	
3.629	3.384	3.111	3.069	3.327	
3.580	3.384	3.111	3.069	3.327	
3.556	3.384	3.111	3.069	3.327	
3.299	3.384	3.111	3.069	3.327	
3.299	3.213	3.111	3.069	3.327	
3.299	3.372	3.111	3.069	3.327	
3.299	3.452	3.111	3.069	3.327	
3.299	3.737	3.111	3.069	3.327	
3.299	3.389	3.111	3.069	3.327	
3.299	3.460	3.111	3.069	3.327	
3.299	3.741	3.111	3.069	3.327	
3.299	3.636	3.111	3.069	3.327	
3.299	3.339	3.111	3.069	3.327	
3.299	3.435	3.111	3.069	3.327	
3.299	3.728	3.111	3.069	3.327	
3.299	3.630	3.111	3.069	3.327	
3.299	3.336	3.111	3.069	3.327	
3.299	3.189	3.111	3.069	3.327	
3.299	3.605	3.111	3.069	3.327	
3.299	3.568	3.111	3.069	3.327	
3.299	3.550	3.111	3.069	3.327	
3.299	3.296	3.111	3.069	3.327	
3.299	3.659	3.111	3.069	3.327	
3.299	3.595	3.111	3.069	3.327	
3.299	3.318	3.111	3.069	3.327	
3.299	3.425	3.111	3.069	3.327	
3.299	3.723	3.111	3.069	3.327	
