Server_0C	Server_0	Server_0D	Server_0F	Server_00	
3.776	4.000	3.461	3.320	3.036	
4.388	4.000	3.461	3.320	3.036	
4.694	4.000	3.461	3.320	3.036	
4.358	4.000	3.461	3.320	3.036	
4.189	4.000	3.461	3.320	3.036	
4.105	4.000	3.461	3.320	3.036	
4.063	4.000	3.461	3.320	3.036	
4.042	4.000	3.461	3.320	3.036	
4.032	4.000	3.461	3.320	3.036	
4.026	4.000	3.461	3.320	3.036	
4.024	4.000	3.461	3.320	3.036	
4.022	4.000	3.461	3.320	3.036	
4.022	4.000	3.461	3.320	3.036	
4.022	4.000	3.461	3.320	3.036	
4.021	4.000	3.461	3.320	3.036	
4.021	4.000	3.461	3.320	3.036	
4.021	4.000	3.461	3.320	3.036	
3.776	4.000	3.461	3.320	3.036	
3.899	4.000	3.461	3.320	3.036	
3.960	4.000	3.461	3.320	3.036	
3.991	4.000	3.461	3.320	3.036	
3.991	3.766	3.461	3.320	3.036	
3.516	3.766	3.461	3.320	3.036	
3.516	3.649	3.461	3.320	3.036	
3.516	3.590	3.461	3.320	3.036	
3.516	3.561	3.461	3.320	3.036	
3.516	3.791	3.461	3.320	3.036	
3.516	3.416	3.461	3.320	3.036	
3.516	3.474	3.461	3.320	3.036	
3.516	3.503	3.461	3.320	3.036	
3.279	3.503	3.461	3.320	3.036	
3.405	3.503	3.461	3.320	3.036	
3.468	3.503	3.461	3.320	3.036	
3.500	3.503	3.461	3.320	3.036	
3.516	3.503	3.461	3.320	3.036	
3.524	3.503	3.461	3.320	3.036	
3.528	3.503	3.461	3.320	3.036	
3.530	3.503	3.461	3.320	3.036	
3.531	3.503	3.461	3.320	3.036	
3.776	3.503	3.461	3.320	3.036	
3.654	3.503	3.461	3.320	3.036	
3.593	3.503	3.461	3.320	3.036	
3.807	3.503	3.461	3.320	3.036	
3.669	3.503	3.461	3.320	3.036	
3.600	3.503	3.461	3.320	3.036	
3.566	3.503	3.461	3.320	3.036	
3.794	3.503	3.461	3.320	3.036	
3.663	3.503	3.461	3.320	3.036	
3.597	3.503	3.461	3.320	3.036	
3.564	3.503	3.461	3.320	3.036	
3.793	3.503	3.461	3.320	3.036	
3.662	3.503	3.461	3.320	3.036	
3.597	3.503	3.461	3.320	3.036	
3.564	3.503	3.461	3.320	3.036	
3.303	3.503	3.461	3.320	3.036	
3.303	3.272	3.461	3.320	3.036	
3.303	3.402	3.461	3.320	3.036	
3.303	3.402	3.251	3.320	3.036	
3.303	3.402	3.391	3.320	3.036	
3.303	3.402	3.706	3.320	3.036	
3.303	3.402	3.619	3.320	3.036	
3.303	3.402	3.330	3.320	3.036	
3.303	3.402	3.676	3.320	3.036	
3.303	3.402	3.604	3.320	3.036	
3.303	3.402	3.812	3.320	3.036	
3.303	3.402	3.427	3.320	3.036	
3.303	3.402	3.479	3.320	3.036	
3.303	3.402	3.505	3.320	3.036	
