Server_0C	Server_0	Server_0E	Server_0B	Server_08	
3.776	4.000	3.504	3.106	3.964	
3.899	4.000	3.504	3.106	3.964	
3.960	4.000	3.504	3.106	3.964	
3.991	4.000	3.504	3.106	3.964	
4.006	4.000	3.504	3.106	3.964	
4.014	4.000	3.504	3.106	3.964	
4.017	4.000	3.504	3.106	3.964	
4.019	4.000	3.504	3.106	3.964	
4.020	4.000	3.504	3.106	3.964	
4.021	4.000	3.504	3.106	3.964	
4.021	4.000	3.504	3.106	3.964	
4.021	4.000	3.504	3.106	3.964	
4.021	4.000	3.504	3.106	3.964	
4.021	4.000	3.504	3.106	3.964	
3.776	4.000	3.504	3.106	3.964	
3.899	4.000	3.504	3.106	3.964	
3.960	4.000	3.504	3.106	3.964	
3.991	4.000	3.504	3.106	3.964	
3.991	3.766	3.504	3.106	3.964	
3.516	3.766	3.504	3.106	3.964	
3.516	3.766	3.504	3.106	3.748	
3.516	3.649	3.504	3.106	3.748	
3.516	3.649	3.504	3.106	3.395	
3.516	3.590	3.504	3.106	3.395	
3.516	3.561	3.504	3.106	3.395	
3.516	3.301	3.504	3.106	3.395	
3.516	3.416	3.504	3.106	3.395	
3.516	3.474	3.504	3.106	3.395	
3.279	3.474	3.504	3.106	3.395	
3.405	3.474	3.504	3.106	3.395	
3.468	3.474	3.504	3.106	3.395	
3.745	3.474	3.504	3.106	3.395	
3.638	3.474	3.504	3.106	3.395	
3.830	3.474	3.504	3.106	3.395	
3.681	3.474	3.504	3.106	3.395	
3.606	3.474	3.504	3.106	3.395	
3.814	3.474	3.504	3.106	3.395	
3.673	3.474	3.504	3.106	3.395	
3.847	3.474	3.504	3.106	3.395	
3.689	3.474	3.504	3.106	3.395	
3.610	3.474	3.504	3.106	3.395	
3.571	3.474	3.504	3.106	3.395	
3.796	3.474	3.504	3.106	3.395	
3.664	3.474	3.504	3.106	3.395	
3.598	3.474	3.504	3.106	3.395	
3.565	3.474	3.504	3.106	3.395	
3.793	3.474	3.504	3.106	3.395	
3.662	3.474	3.504	3.106	3.395	
3.597	3.474	3.504	3.106	3.395	
3.564	3.474	3.504	3.106	3.395	
3.548	3.474	3.504	3.106	3.395	
3.295	3.474	3.504	3.106	3.395	
3.658	3.474	3.504	3.106	3.395	
3.595	3.474	3.504	3.106	3.395	
3.808	3.474	3.504	3.106	3.395	
3.425	3.474	3.504	3.106	3.395	
3.425	3.474	3.273	3.106	3.395	
3.425	3.474	3.402	3.106	3.395	
3.425	3.474	3.467	3.106	3.395	
3.425	3.474	3.744	3.106	3.395	
3.425	3.474	3.638	3.106	3.395	
3.425	3.474	3.340	3.106	3.395	
3.425	3.474	3.680	3.106	3.395	
3.425	3.474	3.606	3.106	3.395	
3.425	3.474	3.324	3.106	3.395	
3.425	3.474	3.428	3.106	3.395	
3.425	3.474	3.480	3.106	3.395	
3.425	3.474	3.750	3.106	3.395	
3.425	3.474	3.641	3.106	3.395	
3.425	3.474	3.341	3.106	3.395	
3.425	3.474	3.436	3.106	3.395	
3.425	3.474	3.729	3.106	3.395	
3.425	3.474	3.630	3.106	3.395	
3.425	3.474	3.581	3.106	3.395	
3.425	3.474	3.311	3.106	3.395	
3.425	3.258	3.311	3.106	3.395	
3.425	3.640	3.311	3.106	3.395	
3.425	3.586	3.311	3.106	3.395	
3.425	3.559	3.311	3.106	3.395	
3.425	3.300	3.311	3.106	3.395	
3.425	3.416	3.311	3.106	3.395	
3.425	3.719	3.311	3.106	3.395	
3.425	3.625	3.311	3.106	3.395	
3.425	3.333	3.311	3.106	3.395	
3.425	3.677	3.311	3.106	3.395	
3.425	3.604	3.311	3.106	3.395	
3.425	3.568	3.311	3.106	3.395	
3.425	3.305	3.311	3.106	3.395	
3.425	3.663	3.311	3.106	3.395	
3.425	3.597	3.311	3.106	3.395	
3.425	3.320	3.311	3.106	3.395	
3.233	3.320	3.311	3.106	3.395	
3.627	3.320	3.311	3.106	3.395	
3.579	3.320	3.311	3.106	3.395	
3.311	3.320	3.311	3.106	3.395	
3.421	3.320	3.311	3.106	3.395	
3.476	3.320	3.311	3.106	3.395	
3.259	3.320	3.311	3.106	3.395	
3.395	3.320	3.311	3.106	3.395	
3.463	3.320	3.311	3.106	3.395	
3.498	3.320	3.311	3.106	3.395	
3.270	3.320	3.311	3.106	3.395	
3.401	3.320	3.311	3.106	3.395	
3.221	3.320	3.311	3.106	3.395	
3.376	3.320	3.311	3.106	3.395	
3.454	3.320	3.311	3.106	3.395	
3.248	3.320	3.311	3.106	3.395	
3.390	3.320	3.311	3.106	3.395	
3.390	3.320	3.311	3.106	3.218	
3.390	3.320	3.311	3.106	3.620	
3.390	3.320	3.311	3.106	3.576	
3.390	3.320	3.311	3.106	3.554	
3.390	3.320	3.311	3.106	3.543	
3.390	3.320	3.311	3.106	3.782	
3.390	3.320	3.311	3.106	3.657	
3.390	3.320	3.311	3.106	3.594	
3.390	3.320	3.311	3.106	3.318	
3.390	3.320	3.311	3.106	3.425	
3.390	3.320	3.311	3.106	3.723	
3.390	3.320	3.311	3.106	3.627	
3.390	3.320	3.311	3.106	3.579	
3.390	3.320	3.311	3.106	3.556	
3.390	3.320	3.311	3.106	3.299	
3.216	3.320	3.311	3.106	3.299	
3.374	3.320	3.311	3.106	3.299	
3.208	3.320	3.311	3.106	3.299	
3.370	3.320	3.311	3.106	3.299	
3.451	3.320	3.311	3.106	3.299	
