Server_0C	Server_0	Server_01	Server_07	Server_0F	
3.776	4.000	3.174	3.243	3.304	
3.776	3.521	3.174	3.243	3.304	
3.409	3.521	3.174	3.243	3.304	
3.470	3.521	3.174	3.243	3.304	
3.501	3.521	3.174	3.243	3.304	
3.516	3.521	3.174	3.243	3.304	
3.516	3.281	3.174	3.243	3.304	
3.279	3.281	3.174	3.243	3.304	
3.405	3.281	3.174	3.243	3.304	
3.468	3.281	3.174	3.243	3.304	
3.500	3.281	3.174	3.243	3.304	
3.271	3.281	3.174	3.243	3.304	
3.271	3.281	3.174	3.243	3.173	
3.271	3.281	3.174	3.243	3.352	
3.271	3.281	3.174	3.243	3.197	
3.271	3.281	3.174	3.243	3.364	
3.271	3.281	3.174	3.243	3.693	
3.271	3.281	3.174	3.243	3.612	
3.271	3.281	3.174	3.243	3.327	
3.271	3.281	3.174	3.243	3.429	
3.271	3.281	3.174	3.243	3.725	
3.271	3.281	3.174	3.243	3.628	
3.271	3.281	3.174	3.243	3.580	
3.271	3.281	3.174	3.243	3.311	
3.271	3.281	3.174	3.243	3.666	
3.271	3.281	3.174	3.243	3.599	
3.271	3.281	3.174	3.243	3.565	
3.271	3.281	3.174	3.243	3.304	
3.271	3.281	3.174	3.243	3.662	
3.271	3.281	3.174	3.243	3.352	
3.271	3.281	3.174	3.243	3.197	
3.271	3.281	3.174	3.243	3.609	
3.271	3.281	3.174	3.243	3.570	
3.271	3.281	3.174	3.243	3.306	
3.271	3.281	3.174	3.243	3.419	
3.271	3.281	3.174	3.243	3.720	
3.271	3.281	3.174	3.243	3.626	
3.271	3.281	3.174	3.243	3.334	
3.271	3.281	3.174	3.243	3.433	
3.271	3.281	3.174	3.243	3.727	
3.271	3.281	3.174	3.243	3.629	
3.271	3.281	3.174	3.243	3.580	
3.271	3.281	3.174	3.243	3.311	
3.271	3.281	3.174	3.243	3.176	
3.271	3.281	3.174	3.243	3.599	
3.271	3.281	3.174	3.243	3.320	
3.271	3.281	3.174	3.243	3.426	
3.271	3.281	3.174	3.243	3.724	
3.271	3.281	3.174	3.243	3.628	
3.271	3.281	3.174	3.243	3.580	
3.271	3.281	3.174	3.243	3.556	
3.271	3.281	3.174	3.243	3.299	
3.271	3.281	3.174	3.243	3.660	
3.271	3.281	3.174	3.243	3.596	
3.271	3.281	3.174	3.243	3.319	
3.271	3.281	3.174	3.243	3.425	
3.271	3.281	3.174	3.243	3.723	
3.271	3.281	3.174	3.243	3.627	
