Server_0C	Server_0	Server_0A	Server_01	Server_0B	
3.776	4.000	3.478	3.853	3.172	
4.388	4.000	3.478	3.853	3.172	
4.449	4.000	3.478	3.853	3.172	
3.256	4.000	3.478	3.853	3.172	
3.639	4.000	3.478	3.853	3.172	
3.830	4.000	3.478	3.853	3.172	
3.926	4.000	3.478	3.853	3.172	
3.973	4.000	3.478	3.853	3.172	
3.997	4.000	3.478	3.853	3.172	
4.009	4.000	3.478	3.853	3.172	
4.015	4.000	3.478	3.853	3.172	
4.018	4.000	3.478	3.853	3.172	
4.020	4.000	3.478	3.853	3.172	
4.020	4.000	3.478	3.853	3.172	
4.021	4.000	3.478	3.853	3.172	
4.021	4.000	3.478	3.853	3.172	
4.021	4.000	3.478	3.853	3.172	
3.776	4.000	3.478	3.853	3.172	
3.776	3.766	3.478	3.853	3.172	
3.776	3.766	3.478	3.692	3.172	
3.776	3.766	3.478	3.857	3.172	
3.776	3.766	3.478	3.939	3.172	
3.776	3.766	3.478	3.735	3.172	
3.776	3.766	3.478	3.878	3.172	
3.776	3.766	3.478	3.950	3.172	
3.776	3.766	3.478	3.741	3.172	
3.776	3.766	3.478	3.881	3.172	
3.776	3.766	3.478	3.706	3.172	
3.654	3.766	3.478	3.706	3.172	
3.838	3.766	3.478	3.706	3.172	
3.685	3.766	3.478	3.706	3.172	
4.098	3.766	3.478	3.706	3.172	
3.815	3.766	3.478	3.706	3.172	
3.673	3.766	3.478	3.706	3.172	
3.673	3.649	3.478	3.706	3.172	
3.673	3.649	3.478	3.619	3.172	
3.602	3.649	3.478	3.619	3.172	
3.812	3.649	3.478	3.619	3.172	
3.672	3.649	3.478	3.619	3.172	
3.846	3.649	3.478	3.619	3.172	
3.689	3.649	3.478	3.619	3.172	
3.610	3.649	3.478	3.619	3.172	
3.816	3.649	3.478	3.619	3.172	
3.674	3.649	3.478	3.619	3.172	
3.603	3.649	3.478	3.619	3.172	
3.603	3.590	3.478	3.619	3.172	
3.603	3.590	3.478	3.575	3.172	
3.603	3.590	3.478	3.798	3.172	
3.603	3.590	3.478	3.665	3.172	
3.603	3.590	3.478	3.598	3.172	
3.322	3.590	3.478	3.598	3.172	
3.672	3.590	3.478	3.598	3.172	
3.602	3.590	3.478	3.598	3.172	
3.567	3.590	3.478	3.598	3.172	
3.567	3.590	3.478	3.320	3.172	
3.567	3.590	3.478	3.671	3.172	
3.567	3.590	3.478	3.601	3.172	
3.567	3.590	3.478	3.321	3.172	
3.567	3.561	3.478	3.321	3.172	
3.304	3.561	3.478	3.321	3.172	
3.663	3.561	3.478	3.321	3.172	
3.597	3.561	3.478	3.321	3.172	
3.319	3.561	3.478	3.321	3.172	
3.670	3.561	3.478	3.321	3.172	
3.601	3.561	3.478	3.321	3.172	
3.321	3.561	3.478	3.321	3.172	
3.671	3.561	3.478	3.321	3.172	
3.601	3.561	3.478	3.321	3.172	
3.322	3.561	3.478	3.321	3.172	
