Server_0C	Server_0	Server_0B	Server_05	Server_01	
3.776	4.000	3.071	3.968	3.883	
4.143	4.000	3.071	3.968	3.883	
4.327	4.000	3.071	3.968	3.883	
4.174	4.000	3.071	3.968	3.883	
4.098	4.000	3.071	3.968	3.883	
4.059	4.000	3.071	3.968	3.883	
4.040	4.000	3.071	3.968	3.883	
4.031	4.000	3.071	3.968	3.883	
4.026	4.000	3.071	3.968	3.883	
4.024	4.000	3.071	3.968	3.883	
4.022	4.000	3.071	3.968	3.883	
4.022	4.000	3.071	3.968	3.883	
4.021	4.000	3.071	3.968	3.883	
4.021	4.000	3.071	3.968	3.883	
4.021	4.000	3.071	3.968	3.883	
4.021	4.000	3.071	3.968	3.883	
3.776	4.000	3.071	3.968	3.883	
3.899	4.000	3.071	3.968	3.883	
3.960	4.000	3.071	3.968	3.883	
3.991	4.000	3.071	3.968	3.883	
3.991	3.766	3.071	3.968	3.883	
3.516	3.766	3.071	3.968	3.883	
3.516	3.766	3.071	3.750	3.883	
3.516	3.766	3.071	3.750	3.707	
3.516	3.766	3.071	3.750	3.864	
3.516	3.766	3.071	3.750	3.943	
3.516	3.766	3.071	3.750	3.737	
3.516	3.766	3.071	3.750	3.879	
3.516	3.766	3.071	3.750	3.705	
3.516	3.649	3.071	3.750	3.705	
3.516	3.649	3.071	3.396	3.705	
3.516	3.649	3.071	3.708	3.705	
3.516	3.649	3.071	3.620	3.705	
3.516	3.649	3.071	3.620	3.618	
3.516	3.590	3.071	3.620	3.618	
3.516	3.590	3.071	3.576	3.618	
3.516	3.590	3.071	3.576	3.575	
3.516	3.590	3.071	3.576	3.798	
3.516	3.590	3.071	3.576	3.665	
3.516	3.590	3.071	3.576	3.598	
3.516	3.590	3.071	3.576	3.810	
3.516	3.590	3.071	3.576	3.915	
3.516	3.590	3.071	3.576	3.724	
3.516	3.590	3.071	3.576	3.628	
3.516	3.590	3.071	3.576	3.824	
3.516	3.590	3.071	3.576	3.678	
3.516	3.590	3.071	3.576	3.605	
3.516	3.590	3.071	3.576	3.813	
3.516	3.590	3.071	3.576	3.672	
3.516	3.590	3.071	3.576	3.357	
3.516	3.590	3.071	3.576	3.689	
3.516	3.590	3.071	3.576	3.610	
3.516	3.590	3.071	3.576	3.571	
3.516	3.561	3.071	3.576	3.571	
3.516	3.561	3.071	3.554	3.571	
3.516	3.561	3.071	3.787	3.571	
3.516	3.561	3.071	3.660	3.571	
3.516	3.561	3.071	3.351	3.571	
3.516	3.561	3.071	3.351	3.551	
3.516	3.561	3.071	3.351	3.786	
3.516	3.561	3.071	3.351	3.414	
3.516	3.561	3.071	3.351	3.718	
3.516	3.561	3.071	3.351	3.625	
3.516	3.561	3.071	3.351	3.333	
3.516	3.546	3.071	3.351	3.333	
3.516	3.294	3.071	3.351	3.333	
3.516	3.413	3.071	3.351	3.333	
3.516	3.717	3.071	3.351	3.333	
3.516	3.624	3.071	3.351	3.333	
3.516	3.333	3.071	3.351	3.333	
3.516	3.432	3.071	3.351	3.333	
3.516	3.727	3.071	3.351	3.333	
3.516	3.629	3.071	3.351	3.333	
3.516	3.335	3.071	3.351	3.333	
3.279	3.335	3.071	3.351	3.333	
3.405	3.335	3.071	3.351	3.333	
3.468	3.335	3.071	3.351	3.333	
3.745	3.335	3.071	3.351	3.333	
3.393	3.335	3.071	3.351	3.333	
3.462	3.335	3.071	3.351	3.333	
3.742	3.335	3.071	3.351	3.333	
3.637	3.335	3.071	3.351	3.333	
3.584	3.335	3.071	3.351	3.333	
3.313	3.335	3.071	3.351	3.333	
3.422	3.335	3.071	3.351	3.333	
3.722	3.335	3.071	3.351	3.333	
3.627	3.335	3.071	3.351	3.333	
3.334	3.335	3.071	3.351	3.333	
3.334	3.335	3.071	3.196	3.333	
3.334	3.335	3.071	3.609	3.333	
3.334	3.335	3.071	3.325	3.333	
3.334	3.335	3.071	3.428	3.333	
3.334	3.335	3.071	3.480	3.333	
3.334	3.335	3.071	3.261	3.333	
3.334	3.335	3.071	3.396	3.333	
3.334	3.335	3.071	3.709	3.333	
3.334	3.335	3.071	3.620	3.333	
3.334	3.335	3.071	3.331	3.333	
3.334	3.335	3.071	3.431	3.333	
3.334	3.335	3.071	3.726	3.333	
3.334	3.335	3.071	3.629	3.333	
3.334	3.335	3.071	3.580	3.333	
