Server_0C	Server_0	Server_05	Server_02	Server_0E	
3.776	4.000	3.293	3.982	3.342	
3.776	3.766	3.293	3.982	3.342	
3.776	3.766	3.293	3.757	3.342	
3.654	3.766	3.293	3.757	3.342	
3.654	3.649	3.293	3.757	3.342	
3.654	3.649	3.293	3.644	3.342	
3.593	3.649	3.293	3.644	3.342	
3.593	3.590	3.293	3.644	3.342	
3.593	3.590	3.293	3.588	3.342	
3.562	3.590	3.293	3.588	3.342	
3.562	3.561	3.293	3.588	3.342	
3.562	3.561	3.293	3.315	3.342	
3.547	3.561	3.293	3.315	3.342	
3.547	3.546	3.293	3.315	3.342	
3.294	3.546	3.293	3.315	3.342	
3.294	3.539	3.293	3.315	3.342	
3.294	3.290	3.293	3.315	3.342	
3.294	3.411	3.293	3.315	3.342	
3.294	3.471	3.293	3.315	3.342	
3.294	3.257	3.293	3.315	3.342	
3.294	3.257	3.293	3.315	3.192	
3.294	3.257	3.293	3.178	3.192	
3.168	3.257	3.293	3.178	3.192	
3.350	3.257	3.293	3.178	3.192	
3.686	3.257	3.293	3.178	3.192	
3.609	3.257	3.293	3.178	3.192	
3.570	3.257	3.293	3.178	3.192	
3.306	3.257	3.293	3.178	3.192	
3.664	3.257	3.293	3.178	3.192	
3.353	3.257	3.293	3.178	3.192	
3.687	3.257	3.293	3.178	3.192	
3.609	3.257	3.293	3.178	3.192	
3.326	3.257	3.293	3.178	3.192	
3.429	3.257	3.293	3.178	3.192	
3.725	3.257	3.293	3.178	3.192	
3.628	3.257	3.293	3.178	3.192	
3.335	3.257	3.293	3.178	3.192	
3.188	3.257	3.293	3.178	3.192	
3.605	3.257	3.293	3.178	3.192	
3.568	3.257	3.293	3.178	3.192	
3.305	3.257	3.293	3.178	3.192	
3.663	3.257	3.293	3.178	3.192	
3.597	3.257	3.293	3.178	3.192	
3.320	3.257	3.293	3.178	3.192	
3.181	3.257	3.293	3.178	3.192	
3.601	3.257	3.293	3.178	3.192	
3.566	3.257	3.293	3.178	3.192	
3.549	3.257	3.293	3.178	3.192	
3.295	3.257	3.293	3.178	3.192	
3.413	3.257	3.293	3.178	3.192	
3.717	3.257	3.293	3.178	3.192	
3.624	3.257	3.293	3.178	3.192	
3.333	3.257	3.293	3.178	3.192	
3.432	3.257	3.293	3.178	3.192	
3.727	3.257	3.293	3.178	3.192	
3.384	3.257	3.293	3.178	3.192	
3.213	3.257	3.293	3.178	3.192	
3.372	3.257	3.293	3.178	3.192	
3.697	3.257	3.293	3.178	3.192	
3.614	3.257	3.293	3.178	3.192	
3.573	3.257	3.293	3.178	3.192	
3.307	3.257	3.293	3.178	3.192	
3.419	3.257	3.293	3.178	3.192	
3.720	3.257	3.293	3.178	3.192	
3.381	3.257	3.293	3.178	3.192	
3.211	3.257	3.293	3.178	3.192	
3.372	3.257	3.293	3.178	3.192	
3.452	3.257	3.293	3.178	3.192	
3.247	3.257	3.293	3.178	3.192	
3.389	3.257	3.293	3.178	3.192	
3.460	3.257	3.293	3.178	3.192	
3.251	3.257	3.293	3.178	3.192	
3.391	3.257	3.293	3.178	3.192	
3.217	3.257	3.293	3.178	3.192	
3.374	3.257	3.293	3.178	3.192	
3.208	3.257	3.293	3.178	3.192	
3.370	3.257	3.293	3.178	3.192	
3.206	3.257	3.293	3.178	3.192	
3.369	3.257	3.293	3.178	3.192	
3.205	3.257	3.293	3.178	3.192	
3.368	3.257	3.293	3.178	3.192	
3.450	3.257	3.293	3.178	3.192	
3.246	3.257	3.293	3.178	3.192	
3.246	3.257	3.168	3.178	3.192	
3.246	3.257	3.594	3.178	3.192	
3.246	3.257	3.563	3.178	3.192	
3.246	3.257	3.547	3.178	3.192	
3.246	3.257	3.784	3.178	3.192	
3.246	3.257	3.658	3.178	3.192	
3.246	3.257	3.595	3.178	3.192	
3.246	3.257	3.318	3.178	3.192	
3.246	3.257	3.425	3.178	3.192	
