Server_0C	Server_0	Server_04	Server_00	Server_02	
3.776	4.000	3.471	3.295	3.500	
3.776	3.766	3.471	3.295	3.500	
3.654	3.766	3.471	3.295	3.500	
3.654	3.649	3.471	3.295	3.500	
3.593	3.649	3.471	3.295	3.500	
3.593	3.590	3.471	3.295	3.500	
3.317	3.590	3.471	3.295	3.500	
3.317	3.561	3.471	3.295	3.500	
3.317	3.301	3.471	3.295	3.500	
3.317	3.661	3.471	3.295	3.500	
3.317	3.352	3.471	3.295	3.500	
3.317	3.352	3.471	3.295	3.271	
3.317	3.352	3.471	3.295	3.401	
3.317	3.352	3.257	3.295	3.401	
3.317	3.352	3.394	3.295	3.401	
3.317	3.352	3.463	3.295	3.401	
3.317	3.352	3.252	3.295	3.401	
3.317	3.352	3.252	3.295	3.222	
3.317	3.352	3.252	3.295	3.377	
3.317	3.352	3.252	3.295	3.454	
3.317	3.352	3.252	3.295	3.248	
3.317	3.197	3.252	3.295	3.248	
3.317	3.364	3.252	3.295	3.248	
3.317	3.203	3.252	3.295	3.248	
3.317	3.367	3.252	3.295	3.248	
3.317	3.694	3.252	3.295	3.248	
3.317	3.613	3.252	3.295	3.248	
3.317	3.327	3.252	3.295	3.248	
3.317	3.429	3.252	3.295	3.248	
3.317	3.725	3.252	3.295	3.248	
3.317	3.628	3.252	3.295	3.248	
3.317	3.335	3.252	3.295	3.248	
3.317	3.188	3.252	3.295	3.248	
3.317	3.605	3.252	3.295	3.248	
3.317	3.568	3.252	3.295	3.248	
3.317	3.305	3.252	3.295	3.248	
3.317	3.663	3.252	3.295	3.248	
3.317	3.597	3.252	3.295	3.248	
3.317	3.564	3.252	3.295	3.248	
3.317	3.303	3.252	3.295	3.248	
3.317	3.417	3.252	3.295	3.248	
3.317	3.719	3.252	3.295	3.248	
3.317	3.625	3.252	3.295	3.248	
3.317	3.334	3.252	3.295	3.248	
3.317	3.677	3.252	3.295	3.248	
3.317	3.604	3.252	3.295	3.248	
3.317	3.568	3.252	3.295	3.248	
3.317	3.305	3.252	3.295	3.248	
3.317	3.663	3.252	3.295	3.248	
3.317	3.597	3.252	3.295	3.248	
3.317	3.320	3.252	3.295	3.248	
3.317	3.181	3.252	3.295	3.248	
3.317	3.601	3.252	3.295	3.248	
3.317	3.566	3.252	3.295	3.248	
3.317	3.304	3.252	3.295	3.248	
3.317	3.418	3.252	3.295	3.248	
3.317	3.475	3.252	3.295	3.248	
3.317	3.748	3.252	3.295	3.248	
3.317	3.395	3.252	3.295	3.248	
3.317	3.218	3.252	3.295	3.248	
3.317	3.620	3.252	3.295	3.248	
3.317	3.576	3.252	3.295	3.248	
3.317	3.554	3.252	3.295	3.248	
3.317	3.298	3.252	3.295	3.248	
3.317	3.415	3.252	3.295	3.248	
3.317	3.718	3.252	3.295	3.248	
