Server_0C	Server_0	Server_03	Server_08	Server_0F	
3.776	4.000	3.302	3.405	3.385	
3.776	3.766	3.302	3.405	3.385	
3.654	3.766	3.302	3.405	3.385	
3.654	3.649	3.302	3.405	3.385	
3.348	3.649	3.302	3.405	3.385	
3.348	3.590	3.302	3.405	3.385	
3.348	3.561	3.302	3.405	3.385	
3.348	3.546	3.302	3.405	3.385	
3.348	3.294	3.302	3.405	3.385	
3.348	3.413	3.302	3.405	3.385	
3.348	3.472	3.302	3.405	3.385	
3.348	3.502	3.302	3.405	3.385	
3.348	3.517	3.302	3.405	3.385	
3.348	3.524	3.302	3.405	3.385	
3.348	3.528	3.302	3.405	3.385	
3.348	3.530	3.302	3.405	3.385	
3.348	3.531	3.302	3.405	3.385	
3.348	3.531	3.302	3.405	3.385	
3.348	3.531	3.302	3.405	3.385	
3.348	3.531	3.302	3.405	3.385	
3.348	3.532	3.302	3.405	3.385	
3.348	3.532	3.302	3.405	3.385	
3.348	3.532	3.302	3.405	3.385	
3.348	3.287	3.302	3.405	3.385	
3.348	3.287	3.302	3.223	3.385	
3.348	3.287	3.302	3.622	3.385	
3.348	3.287	3.302	3.577	3.385	
3.348	3.287	3.302	3.554	3.385	
3.348	3.287	3.302	3.788	3.385	
3.348	3.287	3.302	3.660	3.385	
3.348	3.287	3.302	3.351	3.385	
3.348	3.287	3.302	3.686	3.385	
3.348	3.287	3.302	3.609	3.385	
3.348	3.287	3.302	3.325	3.385	
3.348	3.287	3.302	3.673	3.385	
3.348	3.287	3.302	3.602	3.385	
3.348	3.287	3.302	3.322	3.385	
3.348	3.287	3.302	3.427	3.385	
3.348	3.287	3.302	3.724	3.385	
3.348	3.287	3.302	3.628	3.385	
3.348	3.287	3.302	3.335	3.385	
3.348	3.287	3.302	3.678	3.385	
3.348	3.287	3.302	3.605	3.385	
3.348	3.287	3.302	3.568	3.385	
3.348	3.287	3.302	3.550	3.385	
3.348	3.287	3.302	3.296	3.385	
3.348	3.287	3.302	3.414	3.385	
3.348	3.287	3.302	3.717	3.385	
3.348	3.287	3.302	3.625	3.385	
3.348	3.287	3.302	3.333	3.385	
3.348	3.287	3.302	3.677	3.385	
3.348	3.287	3.302	3.604	3.385	
3.348	3.287	3.302	3.323	3.385	
3.348	3.287	3.302	3.323	3.214	
3.348	3.287	3.302	3.323	3.617	
3.348	3.287	3.302	3.323	3.330	
3.348	3.287	3.302	3.323	3.431	
3.348	3.287	3.302	3.323	3.726	
3.348	3.287	3.302	3.323	3.629	
3.348	3.287	3.302	3.323	3.335	
3.348	3.287	3.302	3.323	3.433	
3.348	3.287	3.302	3.323	3.483	
3.348	3.287	3.302	3.323	3.262	
3.348	3.287	3.302	3.323	3.397	
3.348	3.287	3.302	3.323	3.709	
3.348	3.287	3.302	3.323	3.620	
3.348	3.287	3.302	3.323	3.576	
3.348	3.287	3.302	3.323	3.554	
3.348	3.287	3.302	3.323	3.298	
3.348	3.287	3.302	3.323	3.415	
3.348	3.287	3.302	3.323	3.718	
3.348	3.287	3.302	3.323	3.380	
3.348	3.287	3.302	3.323	3.701	
3.348	3.287	3.302	3.323	3.616	
3.348	3.287	3.302	3.323	3.574	
3.348	3.287	3.302	3.323	3.553	
3.348	3.287	3.302	3.323	3.297	
3.348	3.287	3.302	3.323	3.414	
3.348	3.287	3.302	3.323	3.718	
3.348	3.287	3.302	3.323	3.625	
3.348	3.287	3.302	3.323	3.333	
3.348	3.287	3.302	3.323	3.677	
3.348	3.287	3.302	3.323	3.604	
3.348	3.287	3.302	3.323	3.323	
3.348	3.287	3.302	3.323	3.427	
3.348	3.287	3.302	3.323	3.479	
3.348	3.287	3.302	3.323	3.261	
3.348	3.287	3.302	3.323	3.396	
3.348	3.287	3.302	3.323	3.709	
3.348	3.287	3.302	3.323	3.620	
3.348	3.287	3.302	3.323	3.331	
3.195	3.287	3.302	3.323	3.331	
3.363	3.287	3.302	3.323	3.331	
3.203	3.287	3.302	3.323	3.331	
3.367	3.287	3.302	3.323	3.331	
3.449	3.287	3.302	3.323	3.331	
3.246	3.287	3.302	3.323	3.331	
3.389	3.287	3.302	3.323	3.331	
3.215	3.287	3.302	3.323	3.331	
3.373	3.287	3.302	3.323	3.331	
3.208	3.287	3.302	3.323	3.331	
3.370	3.287	3.302	3.323	3.331	
3.206	3.287	3.302	3.323	3.331	
3.369	3.287	3.302	3.323	3.331	
3.205	3.287	3.302	3.323	3.331	
3.368	3.287	3.302	3.323	3.331	
3.205	3.287	3.302	3.323	3.331	
3.368	3.287	3.302	3.323	3.331	
3.450	3.287	3.302	3.323	3.331	
3.246	3.287	3.302	3.323	3.331	
3.389	3.287	3.302	3.323	3.331	
3.215	3.287	3.302	3.323	3.331	
3.373	3.287	3.302	3.323	3.331	
3.453	3.287	3.302	3.323	3.331	
3.247	3.287	3.302	3.323	3.331	
3.389	3.287	3.302	3.323	3.331	
3.216	3.287	3.302	3.323	3.331	
3.374	3.287	3.302	3.323	3.331	
3.453	3.287	3.302	3.323	3.331	
3.247	3.287	3.302	3.323	3.331	
3.389	3.287	3.302	3.323	3.331	
3.216	3.287	3.302	3.323	3.331	
3.374	3.287	3.302	3.323	3.331	
3.208	3.287	3.302	3.323	3.331	
3.370	3.287	3.302	3.323	3.331	
3.206	3.287	3.302	3.323	3.331	
3.369	3.287	3.302	3.323	3.331	
3.205	3.287	3.302	3.323	3.331	
3.368	3.287	3.302	3.323	3.331	
3.205	3.287	3.302	3.323	3.331	
3.368	3.287	3.302	3.323	3.331	
3.205	3.287	3.302	3.323	3.331	
3.368	3.287	3.302	3.323	3.331	
3.205	3.287	3.302	3.323	3.331	
3.368	3.287	3.302	3.323	3.331	
3.450	3.287	3.302	3.323	3.331	
3.246	3.287	3.302	3.323	3.331	
3.389	3.287	3.302	3.323	3.331	
3.460	3.287	3.302	3.323	3.331	
3.251	3.287	3.302	3.323	3.331	
3.391	3.287	3.302	3.323	3.331	
3.461	3.287	3.302	3.323	3.331	
3.252	3.287	3.302	3.323	3.331	
3.392	3.287	3.302	3.323	3.331	
3.462	3.287	3.302	3.323	3.331	
3.252	3.287	3.302	3.323	3.331	
3.392	3.287	3.302	3.323	3.331	
3.462	3.287	3.302	3.323	3.331	
3.252	3.287	3.302	3.323	3.331	
3.392	3.287	3.302	3.323	3.331	
3.217	3.287	3.302	3.323	3.331	
3.374	3.287	3.302	3.323	3.331	
3.453	3.287	3.302	3.323	3.331	
3.247	3.287	3.302	3.323	3.331	
3.389	3.287	3.302	3.323	3.331	
3.461	3.287	3.302	3.323	3.331	
3.251	3.287	3.302	3.323	3.331	
3.391	3.287	3.302	3.323	3.331	
3.461	3.287	3.302	3.323	3.331	
3.252	3.287	3.302	3.323	3.331	
3.392	3.287	3.302	3.323	3.331	
3.462	3.287	3.302	3.323	3.331	
3.252	3.287	3.302	3.323	3.331	
3.392	3.287	3.302	3.323	3.331	
