Server_0C	Server_0	Server_03	Server_0F	Server_0D	
3.776	4.000	3.462	3.917	3.425	
4.143	4.000	3.462	3.917	3.425	
4.082	4.000	3.462	3.917	3.425	
4.052	4.000	3.462	3.917	3.425	
4.036	4.000	3.462	3.917	3.425	
4.029	4.000	3.462	3.917	3.425	
4.025	4.000	3.462	3.917	3.425	
4.023	4.000	3.462	3.917	3.425	
4.022	4.000	3.462	3.917	3.425	
4.022	4.000	3.462	3.917	3.425	
3.777	4.000	3.462	3.917	3.425	
3.899	4.000	3.462	3.917	3.425	
3.960	4.000	3.462	3.917	3.425	
3.991	4.000	3.462	3.917	3.425	
4.006	4.000	3.462	3.917	3.425	
4.014	4.000	3.462	3.917	3.425	
3.773	4.000	3.462	3.917	3.425	
3.773	3.766	3.462	3.917	3.425	
3.773	3.766	3.462	3.724	3.425	
3.773	3.766	3.462	3.873	3.425	
3.773	3.766	3.462	4.192	3.425	
3.773	3.766	3.462	4.106	3.425	
3.773	3.766	3.462	4.064	3.425	
3.773	3.766	3.462	3.798	3.425	
3.773	3.766	3.462	3.665	3.425	
3.773	3.766	3.462	3.843	3.425	
3.773	3.766	3.462	3.687	3.425	
3.773	3.766	3.462	3.854	3.425	
3.773	3.766	3.462	3.938	3.425	
3.773	3.766	3.462	3.735	3.425	
3.773	3.766	3.462	3.878	3.425	
3.773	3.766	3.462	3.950	3.425	
3.773	3.766	3.462	3.741	3.425	
3.773	3.766	3.462	3.881	3.425	
3.773	3.766	3.462	3.706	3.425	
3.773	3.766	3.462	3.864	3.425	
3.773	3.766	3.462	3.698	3.425	
3.773	3.766	3.462	3.859	3.425	
3.773	3.766	3.462	3.696	3.425	
3.652	3.766	3.462	3.696	3.425	
3.837	3.766	3.462	3.696	3.425	
3.684	3.766	3.462	3.696	3.425	
3.684	3.649	3.462	3.696	3.425	
3.684	3.649	3.462	3.614	3.425	
3.684	3.649	3.462	3.817	3.425	
3.684	3.649	3.462	3.674	3.425	
3.608	3.649	3.462	3.674	3.425	
3.815	3.649	3.462	3.674	3.425	
3.673	3.649	3.462	3.674	3.425	
3.673	3.649	3.462	3.603	3.425	
3.602	3.649	3.462	3.603	3.425	
3.602	3.590	3.462	3.603	3.425	
3.602	3.590	3.462	3.322	3.425	
3.567	3.590	3.462	3.322	3.425	
3.794	3.590	3.462	3.322	3.425	
3.663	3.590	3.462	3.322	3.425	
3.842	3.590	3.462	3.322	3.425	
3.442	3.590	3.462	3.322	3.425	
3.442	3.316	3.462	3.322	3.425	
3.442	3.424	3.462	3.322	3.425	
3.442	3.722	3.462	3.322	3.425	
3.442	3.382	3.462	3.322	3.425	
3.442	3.382	3.252	3.322	3.425	
3.442	3.382	3.637	3.322	3.425	
3.442	3.382	3.584	3.322	3.425	
3.442	3.382	3.558	3.322	3.425	
3.442	3.382	3.545	3.322	3.425	
3.442	3.382	3.538	3.322	3.425	
3.442	3.382	3.780	3.322	3.425	
3.442	3.382	3.411	3.322	3.425	
3.442	3.382	3.471	3.322	3.425	
3.442	3.382	3.501	3.322	3.425	
3.442	3.382	3.272	3.322	3.425	
3.442	3.382	3.402	3.322	3.425	
3.442	3.382	3.711	3.322	3.425	
3.442	3.382	3.621	3.322	3.425	
3.442	3.382	3.577	3.322	3.425	
3.442	3.382	3.309	3.322	3.425	
3.442	3.382	3.420	3.322	3.425	
3.442	3.382	3.721	3.322	3.425	
3.442	3.382	3.626	3.322	3.425	
3.442	3.382	3.579	3.322	3.425	
3.442	3.382	3.555	3.322	3.425	
3.442	3.382	3.299	3.322	3.425	
3.442	3.382	3.415	3.322	3.425	
3.442	3.382	3.718	3.322	3.425	
3.442	3.382	3.380	3.322	3.425	
3.242	3.382	3.380	3.322	3.425	
3.387	3.382	3.380	3.322	3.425	
3.704	3.382	3.380	3.322	3.425	
3.373	3.382	3.380	3.322	3.425	
3.452	3.382	3.380	3.322	3.425	
3.737	3.382	3.380	3.322	3.425	
3.634	3.382	3.380	3.322	3.425	
3.583	3.382	3.380	3.322	3.425	
3.557	3.382	3.380	3.322	3.425	
3.300	3.382	3.380	3.322	3.425	
3.416	3.382	3.380	3.322	3.425	
3.474	3.382	3.380	3.322	3.425	
3.503	3.382	3.380	3.322	3.425	
3.272	3.382	3.380	3.322	3.425	
3.402	3.382	3.380	3.322	3.425	
3.467	3.382	3.380	3.322	3.425	
3.499	3.382	3.380	3.322	3.425	
3.270	3.382	3.380	3.322	3.425	
3.401	3.382	3.380	3.322	3.425	
3.401	3.382	3.380	3.322	3.234	
3.401	3.382	3.380	3.322	3.383	
3.401	3.382	3.380	3.322	3.457	
3.401	3.382	3.380	3.322	3.739	
3.401	3.382	3.380	3.322	3.635	
3.401	3.382	3.380	3.322	3.339	
3.401	3.382	3.380	3.322	3.680	
3.401	3.382	3.380	3.322	3.606	
3.401	3.382	3.380	3.322	3.569	
3.401	3.382	3.380	3.322	3.550	
3.401	3.382	3.380	3.322	3.296	
3.401	3.382	3.380	3.322	3.414	
3.401	3.382	3.380	3.322	3.717	
3.401	3.382	3.380	3.322	3.380	
3.221	3.382	3.380	3.322	3.380	
3.377	3.382	3.380	3.322	3.380	
3.377	3.212	3.380	3.322	3.380	
3.377	3.617	3.380	3.322	3.380	
3.377	3.574	3.380	3.322	3.380	
3.377	3.308	3.380	3.322	3.380	
3.377	3.420	3.380	3.322	3.380	
3.377	3.720	3.380	3.322	3.380	
3.377	3.626	3.380	3.322	3.380	
3.377	3.579	3.380	3.322	3.380	
3.377	3.555	3.380	3.322	3.380	
3.377	3.543	3.380	3.322	3.380	
3.377	3.293	3.380	3.322	3.380	
3.377	3.412	3.380	3.322	3.380	
3.377	3.472	3.380	3.322	3.380	
3.377	3.502	3.380	3.322	3.380	
3.377	3.272	3.380	3.322	3.380	
3.377	3.646	3.380	3.322	3.380	
3.377	3.589	3.380	3.322	3.380	
3.377	3.560	3.380	3.322	3.380	
3.377	3.546	3.380	3.322	3.380	
3.377	3.539	3.380	3.322	3.380	
3.377	3.535	3.380	3.322	3.380	
3.377	3.288	3.380	3.322	3.380	
3.377	3.655	3.380	3.322	3.380	
3.377	3.593	3.380	3.322	3.380	
3.377	3.318	3.380	3.322	3.380	
3.377	3.669	3.380	3.322	3.380	
3.377	3.600	3.380	3.322	3.380	
3.377	3.321	3.380	3.322	3.380	
3.377	3.321	3.211	3.322	3.380	
3.377	3.321	3.371	3.322	3.380	
3.377	3.321	3.696	3.322	3.380	
3.377	3.321	3.614	3.322	3.380	
3.377	3.321	3.573	3.322	3.380	
3.377	3.321	3.552	3.322	3.380	
3.377	3.321	3.542	3.322	3.380	
3.377	3.321	3.537	3.322	3.380	
3.377	3.321	3.534	3.322	3.380	
3.377	3.321	3.533	3.322	3.380	
3.377	3.321	3.777	3.322	3.380	
3.377	3.321	3.654	3.322	3.380	
3.377	3.321	3.593	3.322	3.380	
3.377	3.321	3.562	3.322	3.380	
3.377	3.321	3.547	3.322	3.380	
3.377	3.321	3.539	3.322	3.380	
3.377	3.321	3.535	3.322	3.380	
3.377	3.321	3.534	3.322	3.380	
3.377	3.321	3.533	3.322	3.380	
3.377	3.321	3.532	3.322	3.380	
3.377	3.321	3.532	3.322	3.380	
3.377	3.321	3.532	3.322	3.380	
3.377	3.321	3.532	3.322	3.380	
3.377	3.321	3.532	3.322	3.380	
3.377	3.321	3.532	3.322	3.380	
3.377	3.321	3.776	3.322	3.380	
3.377	3.321	3.654	3.322	3.380	
3.377	3.321	3.593	3.322	3.380	
3.377	3.321	3.562	3.322	3.380	
3.377	3.321	3.547	3.322	3.380	
3.377	3.321	3.539	3.322	3.380	
3.377	3.321	3.535	3.322	3.380	
3.377	3.321	3.534	3.322	3.380	
3.377	3.321	3.777	3.322	3.380	
3.377	3.321	3.654	3.322	3.380	
3.377	3.321	3.593	3.322	3.380	
3.377	3.321	3.562	3.322	3.380	
3.377	3.321	3.547	3.322	3.380	
3.377	3.321	3.539	3.322	3.380	
3.377	3.321	3.535	3.322	3.380	
3.377	3.321	3.534	3.322	3.380	
3.377	3.321	3.533	3.322	3.380	
3.377	3.321	3.532	3.322	3.380	
3.377	3.321	3.532	3.322	3.380	
3.377	3.321	3.532	3.322	3.380	
3.377	3.321	3.532	3.322	3.380	
3.377	3.321	3.532	3.322	3.380	
3.377	3.321	3.532	3.322	3.380	
3.377	3.321	3.532	3.322	3.380	
3.377	3.321	3.532	3.322	3.380	
3.377	3.321	3.532	3.322	3.380	
3.377	3.321	3.532	3.322	3.380	
3.377	3.321	3.532	3.322	3.380	
3.377	3.321	3.532	3.322	3.380	
3.377	3.321	3.532	3.322	3.380	
3.377	3.321	3.532	3.322	3.380	
3.377	3.321	3.532	3.322	3.380	
3.377	3.321	3.776	3.322	3.380	
3.377	3.321	3.654	3.322	3.380	
3.377	3.321	3.593	3.322	3.380	
3.377	3.321	3.562	3.322	3.380	
3.377	3.321	3.547	3.322	3.380	
3.377	3.321	3.539	3.322	3.380	
3.377	3.321	3.535	3.322	3.380	
3.377	3.321	3.289	3.322	3.380	
3.377	3.321	3.410	3.322	3.380	
3.377	3.321	3.471	3.322	3.380	
3.377	3.321	3.256	3.322	3.380	
3.377	3.321	3.394	3.322	3.380	
3.377	3.321	3.708	3.322	3.380	
3.377	3.321	3.620	3.322	3.380	
3.377	3.321	3.576	3.322	3.380	
3.377	3.321	3.554	3.322	3.380	
3.377	3.321	3.543	3.322	3.380	
3.377	3.321	3.292	3.322	3.380	
3.377	3.321	3.657	3.322	3.380	
3.377	3.321	3.594	3.322	3.380	
3.377	3.321	3.563	3.322	3.380	
3.377	3.321	3.547	3.322	3.380	
3.377	3.321	3.539	3.322	3.380	
3.377	3.321	3.291	3.322	3.380	
3.377	3.321	3.656	3.322	3.380	
3.377	3.321	3.594	3.322	3.380	
3.377	3.321	3.563	3.322	3.380	
3.377	3.321	3.302	3.322	3.380	
3.377	3.321	3.417	3.322	3.380	
3.377	3.321	3.719	3.322	3.380	
3.377	3.321	3.625	3.322	3.380	
3.377	3.321	3.578	3.322	3.380	
3.377	3.321	3.310	3.322	3.380	
3.377	3.321	3.310	3.322	3.211	
3.377	3.321	3.310	3.322	3.371	
3.377	3.321	3.310	3.322	3.451	
3.377	3.321	3.310	3.322	3.491	
3.377	3.321	3.310	3.322	3.512	
3.377	3.321	3.310	3.322	3.522	
3.377	3.321	3.310	3.322	3.527	
3.377	3.321	3.310	3.322	3.529	
3.377	3.321	3.310	3.322	3.285	
3.377	3.321	3.310	3.322	3.409	
3.377	3.321	3.310	3.322	3.470	
3.377	3.321	3.310	3.322	3.501	
3.377	3.321	3.310	3.322	3.516	
3.377	3.321	3.310	3.322	3.279	
3.377	3.321	3.310	3.322	3.405	
3.377	3.321	3.310	3.322	3.468	
3.377	3.321	3.310	3.322	3.255	
