Server_0C	Server_0	Server_01	Server_0E	Server_06	
3.776	4.000	3.541	3.237	3.551	
4.388	4.000	3.541	3.237	3.551	
4.694	4.000	3.541	3.237	3.551	
4.602	4.000	3.541	3.237	3.551	
4.312	4.000	3.541	3.237	3.551	
4.166	4.000	3.541	3.237	3.551	
4.094	4.000	3.541	3.237	3.551	
4.058	4.000	3.541	3.237	3.551	
4.039	4.000	3.541	3.237	3.551	
4.030	4.000	3.541	3.237	3.551	
4.026	4.000	3.541	3.237	3.551	
4.023	4.000	3.541	3.237	3.551	
4.022	4.000	3.541	3.237	3.551	
4.022	4.000	3.541	3.237	3.551	
4.021	4.000	3.541	3.237	3.551	
4.021	4.000	3.541	3.237	3.551	
4.021	4.000	3.541	3.237	3.551	
4.021	4.000	3.541	3.237	3.551	
3.776	4.000	3.541	3.237	3.551	
3.899	4.000	3.541	3.237	3.551	
3.960	4.000	3.541	3.237	3.551	
3.991	4.000	3.541	3.237	3.551	
3.991	3.766	3.541	3.237	3.551	
3.516	3.766	3.541	3.237	3.551	
3.516	3.649	3.541	3.237	3.551	
3.516	3.590	3.541	3.237	3.551	
3.516	3.561	3.541	3.237	3.551	
3.516	3.546	3.541	3.237	3.551	
3.516	3.546	3.541	3.237	3.297	
3.516	3.546	3.541	3.237	3.659	
3.516	3.546	3.541	3.237	3.595	
3.516	3.546	3.541	3.237	3.563	
3.516	3.546	3.541	3.237	3.792	
3.516	3.546	3.541	3.237	3.662	
3.516	3.546	3.541	3.237	3.597	
3.516	3.546	3.541	3.237	3.809	
3.516	3.546	3.541	3.237	3.670	
3.516	3.546	3.541	3.237	3.601	
3.516	3.546	3.541	3.237	3.811	
3.516	3.546	3.541	3.237	3.916	
3.516	3.546	3.541	3.237	3.969	
3.516	3.546	3.541	3.237	3.995	
3.516	3.546	3.541	3.237	3.763	
3.516	3.546	3.541	3.237	3.892	
3.516	3.546	3.541	3.237	3.712	
3.516	3.546	3.541	3.237	3.622	
3.516	3.546	3.541	3.237	3.821	
3.516	3.546	3.541	3.237	3.677	
3.516	3.546	3.541	3.237	3.849	
3.516	3.546	3.541	3.237	3.690	
3.516	3.546	3.541	3.237	3.611	
3.516	3.546	3.541	3.237	3.326	
3.516	3.546	3.541	3.237	3.674	
3.516	3.546	3.541	3.237	3.603	
3.516	3.546	3.541	3.237	3.812	
3.516	3.546	3.541	3.237	3.427	
3.516	3.546	3.541	3.237	3.724	
3.516	3.546	3.541	3.237	3.628	
3.516	3.546	3.541	3.237	3.580	
3.516	3.546	3.541	3.237	3.311	
3.516	3.546	3.541	3.237	3.666	
3.516	3.546	3.541	3.237	3.599	
3.516	3.546	3.541	3.237	3.565	
3.516	3.546	3.541	3.237	3.548	
3.516	3.546	3.541	3.237	3.785	
3.516	3.546	3.541	3.237	3.658	
3.516	3.546	3.541	3.237	3.595	
3.516	3.546	3.541	3.237	3.563	
3.516	3.546	3.541	3.237	3.547	
3.516	3.546	3.541	3.237	3.295	
3.516	3.539	3.541	3.237	3.295	
3.516	3.539	3.291	3.237	3.295	
3.516	3.535	3.291	3.237	3.295	
3.516	3.778	3.291	3.237	3.295	
3.516	3.655	3.291	3.237	3.295	
3.516	3.348	3.291	3.237	3.295	
3.516	3.685	3.291	3.237	3.295	
3.516	3.608	3.291	3.237	3.295	
3.516	3.325	3.291	3.237	3.295	
3.279	3.325	3.291	3.237	3.295	
3.405	3.325	3.291	3.237	3.295	
3.468	3.325	3.291	3.237	3.295	
3.745	3.325	3.291	3.237	3.295	
3.638	3.325	3.291	3.237	3.295	
3.585	3.325	3.291	3.237	3.295	
3.313	3.325	3.291	3.237	3.295	
3.422	3.325	3.291	3.237	3.295	
3.722	3.325	3.291	3.237	3.295	
3.627	3.325	3.291	3.237	3.295	
3.334	3.325	3.291	3.237	3.295	
3.678	3.325	3.291	3.237	3.295	
3.605	3.325	3.291	3.237	3.295	
3.323	3.325	3.291	3.237	3.295	
3.323	3.183	3.291	3.237	3.295	
3.323	3.357	3.291	3.237	3.295	
3.323	3.445	3.291	3.237	3.295	
3.323	3.733	3.291	3.237	3.295	
3.323	3.632	3.291	3.237	3.295	
3.323	3.337	3.291	3.237	3.295	
3.323	3.189	3.291	3.237	3.295	
3.323	3.605	3.291	3.237	3.295	
3.323	3.568	3.291	3.237	3.295	
3.323	3.305	3.291	3.237	3.295	
3.323	3.418	3.291	3.237	3.295	
3.323	3.720	3.291	3.237	3.295	
3.323	3.626	3.291	3.237	3.295	
3.323	3.579	3.291	3.237	3.295	
3.323	3.310	3.291	3.237	3.295	
3.323	3.666	3.291	3.237	3.295	
3.323	3.599	3.291	3.237	3.295	
3.323	3.320	3.291	3.237	3.295	
3.183	3.320	3.291	3.237	3.295	
3.357	3.320	3.291	3.237	3.295	
3.199	3.320	3.291	3.237	3.295	
3.366	3.320	3.291	3.237	3.295	
3.204	3.320	3.291	3.237	3.295	
3.368	3.320	3.291	3.237	3.295	
3.205	3.320	3.291	3.237	3.295	
3.368	3.320	3.291	3.237	3.295	
3.205	3.320	3.291	3.237	3.295	
3.368	3.320	3.291	3.237	3.295	
3.450	3.320	3.291	3.237	3.295	
3.246	3.320	3.291	3.237	3.295	
3.389	3.320	3.291	3.237	3.295	
3.215	3.320	3.291	3.237	3.295	
3.373	3.320	3.291	3.237	3.295	
3.208	3.320	3.291	3.237	3.295	
3.370	3.320	3.291	3.237	3.295	
3.206	3.320	3.291	3.237	3.295	
3.369	3.320	3.291	3.237	3.295	
3.205	3.320	3.291	3.237	3.295	
3.368	3.320	3.291	3.237	3.295	
3.205	3.320	3.291	3.237	3.295	
3.368	3.320	3.291	3.237	3.295	
3.450	3.320	3.291	3.237	3.295	
3.246	3.320	3.291	3.237	3.295	
3.389	3.320	3.291	3.237	3.295	
3.215	3.320	3.291	3.237	3.295	
3.373	3.320	3.291	3.237	3.295	
3.453	3.320	3.291	3.237	3.295	
3.247	3.320	3.291	3.237	3.295	
3.389	3.320	3.291	3.237	3.295	
3.216	3.320	3.291	3.237	3.295	
3.374	3.320	3.291	3.237	3.295	
3.453	3.320	3.291	3.237	3.295	
3.247	3.320	3.291	3.237	3.295	
3.389	3.320	3.291	3.237	3.295	
3.216	3.320	3.291	3.237	3.295	
3.374	3.320	3.291	3.237	3.295	
3.208	3.320	3.291	3.237	3.295	
3.370	3.320	3.291	3.237	3.295	
3.206	3.320	3.291	3.237	3.295	
3.369	3.320	3.291	3.237	3.295	
3.205	3.320	3.291	3.237	3.295	
3.368	3.320	3.291	3.237	3.295	
3.205	3.320	3.291	3.237	3.295	
3.368	3.320	3.291	3.237	3.295	
3.205	3.320	3.291	3.237	3.295	
3.368	3.320	3.291	3.237	3.295	
3.205	3.320	3.291	3.237	3.295	
3.368	3.320	3.291	3.237	3.295	
3.450	3.320	3.291	3.237	3.295	
3.246	3.320	3.291	3.237	3.295	
3.389	3.320	3.291	3.237	3.295	
3.460	3.320	3.291	3.237	3.295	
3.251	3.320	3.291	3.237	3.295	
3.391	3.320	3.291	3.237	3.295	
3.461	3.320	3.291	3.237	3.295	
3.252	3.320	3.291	3.237	3.295	
3.392	3.320	3.291	3.237	3.295	
3.462	3.320	3.291	3.237	3.295	
