Server_0C	Server_0	Server_07	Server_05	Server_0D	
3.776	4.000	3.713	3.527	3.876	
3.776	3.766	3.713	3.527	3.876	
3.776	3.766	3.713	3.527	3.704	
3.654	3.766	3.713	3.527	3.704	
3.654	3.649	3.713	3.527	3.704	
3.654	3.649	3.622	3.527	3.704	
3.654	3.649	3.622	3.527	3.618	
3.593	3.649	3.622	3.527	3.618	
3.593	3.590	3.622	3.527	3.618	
3.593	3.590	3.577	3.527	3.618	
3.593	3.590	3.577	3.527	3.575	
3.562	3.590	3.577	3.527	3.575	
3.562	3.561	3.577	3.527	3.575	
3.562	3.561	3.554	3.527	3.575	
3.562	3.561	3.554	3.527	3.553	
3.547	3.561	3.554	3.527	3.553	
3.547	3.546	3.554	3.527	3.553	
3.547	3.546	3.298	3.527	3.553	
3.547	3.546	3.298	3.527	3.542	
3.539	3.546	3.298	3.527	3.542	
3.539	3.539	3.298	3.527	3.542	
3.539	3.539	3.298	3.527	3.292	
3.535	3.539	3.298	3.527	3.292	
3.535	3.290	3.298	3.527	3.292	
3.289	3.290	3.298	3.527	3.292	
3.655	3.290	3.298	3.527	3.292	
3.593	3.290	3.298	3.527	3.292	
3.318	3.290	3.298	3.527	3.292	
3.425	3.290	3.298	3.527	3.292	
3.723	3.290	3.298	3.527	3.292	
3.872	3.290	3.298	3.527	3.292	
3.457	3.290	3.298	3.527	3.292	
3.494	3.290	3.298	3.527	3.292	
3.513	3.290	3.298	3.527	3.292	
3.513	3.290	3.298	3.284	3.292	
3.513	3.290	3.298	3.653	3.292	
3.513	3.290	3.298	3.592	3.292	
3.513	3.290	3.298	3.317	3.292	
3.513	3.290	3.298	3.669	3.292	
3.513	3.290	3.298	3.600	3.292	
3.513	3.290	3.298	3.566	3.292	
3.513	3.290	3.298	3.304	3.292	
3.513	3.290	3.298	3.418	3.292	
3.513	3.290	3.298	3.719	3.292	
3.513	3.290	3.298	3.626	3.292	
3.513	3.290	3.298	3.334	3.292	
3.513	3.290	3.298	3.433	3.292	
3.513	3.290	3.298	3.482	3.292	
3.277	3.290	3.298	3.482	3.292	
3.404	3.290	3.298	3.482	3.292	
3.713	3.290	3.298	3.482	3.292	
3.622	3.290	3.298	3.482	3.292	
3.577	3.290	3.298	3.482	3.292	
3.309	3.290	3.298	3.482	3.292	
3.420	3.290	3.298	3.482	3.292	
3.721	3.290	3.298	3.482	3.292	
3.626	3.290	3.298	3.482	3.292	
3.334	3.290	3.298	3.482	3.292	
3.433	3.290	3.298	3.482	3.292	
3.727	3.290	3.298	3.482	3.292	
3.384	3.290	3.298	3.482	3.292	
3.384	3.290	3.298	3.262	3.292	
3.384	3.290	3.298	3.642	3.292	
3.384	3.290	3.298	3.342	3.292	
3.213	3.290	3.298	3.342	3.292	
3.617	3.290	3.298	3.342	3.292	
3.329	3.290	3.298	3.342	3.292	
3.431	3.290	3.298	3.342	3.292	
3.481	3.290	3.298	3.342	3.292	
3.261	3.290	3.298	3.342	3.292	
3.397	3.290	3.298	3.342	3.292	
3.464	3.290	3.298	3.342	3.292	
3.498	3.290	3.298	3.342	3.292	
3.515	3.290	3.298	3.342	3.292	
3.278	3.290	3.298	3.342	3.292	
3.405	3.290	3.298	3.342	3.292	
3.223	3.290	3.298	3.342	3.292	
3.377	3.290	3.298	3.342	3.292	
3.210	3.290	3.298	3.342	3.292	
3.371	3.290	3.298	3.342	3.292	
3.206	3.290	3.298	3.342	3.292	
3.369	3.290	3.298	3.342	3.292	
3.205	3.290	3.298	3.342	3.292	
3.368	3.290	3.298	3.342	3.292	
3.450	3.290	3.298	3.342	3.292	
3.246	3.290	3.298	3.342	3.292	
3.389	3.290	3.298	3.342	3.292	
3.215	3.290	3.298	3.342	3.292	
3.373	3.290	3.298	3.342	3.292	
3.208	3.290	3.298	3.342	3.292	
3.370	3.290	3.298	3.342	3.292	
3.206	3.290	3.298	3.342	3.292	
3.369	3.290	3.298	3.342	3.292	
3.205	3.290	3.298	3.342	3.292	
3.368	3.290	3.298	3.342	3.292	
3.205	3.290	3.298	3.342	3.292	
3.368	3.290	3.298	3.342	3.292	
3.205	3.290	3.298	3.342	3.292	
3.368	3.290	3.298	3.342	3.292	
3.205	3.290	3.298	3.342	3.292	
3.368	3.290	3.298	3.342	3.292	
3.450	3.290	3.298	3.342	3.292	
3.246	3.290	3.298	3.342	3.292	
3.389	3.290	3.298	3.342	3.292	
3.215	3.290	3.298	3.342	3.292	
3.373	3.290	3.298	3.342	3.292	
3.453	3.290	3.298	3.342	3.292	
3.247	3.290	3.298	3.342	3.292	
3.389	3.290	3.298	3.342	3.292	
3.216	3.290	3.298	3.342	3.292	
3.374	3.290	3.298	3.342	3.292	
3.453	3.290	3.298	3.342	3.292	
3.247	3.290	3.298	3.342	3.292	
3.389	3.290	3.298	3.342	3.292	
3.216	3.290	3.298	3.342	3.292	
3.374	3.290	3.298	3.342	3.292	
3.208	3.290	3.298	3.342	3.292	
3.370	3.290	3.298	3.342	3.292	
3.206	3.290	3.298	3.342	3.292	
3.369	3.290	3.298	3.342	3.292	
3.205	3.290	3.298	3.342	3.292	
3.368	3.290	3.298	3.342	3.292	
3.205	3.290	3.298	3.342	3.292	
3.368	3.290	3.298	3.342	3.292	
3.205	3.290	3.298	3.342	3.292	
3.368	3.290	3.298	3.342	3.292	
3.205	3.290	3.298	3.342	3.292	
3.368	3.290	3.298	3.342	3.292	
3.450	3.290	3.298	3.342	3.292	
3.246	3.290	3.298	3.342	3.292	
3.389	3.290	3.298	3.342	3.292	
3.460	3.290	3.298	3.342	3.292	
3.251	3.290	3.298	3.342	3.292	
3.391	3.290	3.298	3.342	3.292	
3.461	3.290	3.298	3.342	3.292	
3.252	3.290	3.298	3.342	3.292	
3.392	3.290	3.298	3.342	3.292	
3.462	3.290	3.298	3.342	3.292	
3.252	3.290	3.298	3.342	3.292	
3.392	3.290	3.298	3.342	3.292	
3.462	3.290	3.298	3.342	3.292	
3.252	3.290	3.298	3.342	3.292	
3.392	3.290	3.298	3.342	3.292	
3.217	3.290	3.298	3.342	3.292	
3.374	3.290	3.298	3.342	3.292	
3.453	3.290	3.298	3.342	3.292	
3.247	3.290	3.298	3.342	3.292	
3.389	3.290	3.298	3.342	3.292	
3.461	3.290	3.298	3.342	3.292	
3.251	3.290	3.298	3.342	3.292	
3.391	3.290	3.298	3.342	3.292	
3.461	3.290	3.298	3.342	3.292	
3.252	3.290	3.298	3.342	3.292	
3.392	3.290	3.298	3.342	3.292	
3.462	3.290	3.298	3.342	3.292	
3.252	3.290	3.298	3.342	3.292	
3.392	3.290	3.298	3.342	3.292	
3.217	3.290	3.298	3.342	3.292	
3.374	3.290	3.298	3.342	3.292	
3.453	3.290	3.298	3.342	3.292	
3.247	3.290	3.298	3.342	3.292	
3.389	3.290	3.298	3.342	3.292	
3.461	3.290	3.298	3.342	3.292	
3.251	3.290	3.298	3.342	3.292	
3.391	3.290	3.298	3.342	3.292	
