Server_0C	Server_0	Server_02	Server_0A	Server_05	
3.776	4.000	3.995	3.866	3.331	
3.776	3.766	3.995	3.866	3.331	
3.776	3.766	3.519	3.866	3.331	
3.776	3.766	3.519	3.699	3.331	
3.654	3.766	3.519	3.699	3.331	
3.654	3.649	3.519	3.699	3.331	
3.654	3.649	3.519	3.370	3.331	
3.593	3.649	3.519	3.370	3.331	
3.593	3.590	3.519	3.370	3.331	
3.562	3.590	3.519	3.370	3.331	
3.562	3.561	3.519	3.370	3.331	
3.547	3.561	3.519	3.370	3.331	
3.547	3.546	3.519	3.370	3.331	
3.539	3.546	3.519	3.370	3.331	
3.539	3.539	3.519	3.370	3.331	
3.535	3.539	3.519	3.370	3.331	
3.535	3.535	3.519	3.370	3.331	
3.534	3.535	3.519	3.370	3.331	
3.534	3.533	3.519	3.370	3.331	
3.533	3.533	3.519	3.370	3.331	
3.533	3.533	3.519	3.370	3.331	
3.287	3.533	3.519	3.370	3.331	
3.654	3.533	3.519	3.370	3.331	
3.593	3.533	3.519	3.370	3.331	
3.562	3.533	3.519	3.370	3.331	
3.547	3.533	3.519	3.370	3.331	
3.539	3.533	3.519	3.370	3.331	
3.291	3.533	3.519	3.370	3.331	
3.656	3.533	3.519	3.370	3.331	
3.839	3.533	3.519	3.370	3.331	
3.685	3.533	3.519	3.370	3.331	
3.363	3.533	3.519	3.370	3.331	
3.363	3.287	3.519	3.370	3.331	
3.363	3.409	3.519	3.370	3.331	
3.363	3.715	3.519	3.370	3.331	
3.363	3.623	3.519	3.370	3.331	
3.363	3.333	3.519	3.370	3.331	
3.363	3.677	3.519	3.370	3.331	
3.363	3.604	3.519	3.370	3.331	
3.363	3.323	3.519	3.370	3.331	
3.363	3.323	3.280	3.370	3.331	
3.363	3.323	3.406	3.370	3.331	
3.363	3.323	3.714	3.370	3.331	
3.363	3.323	3.623	3.370	3.331	
3.363	3.323	3.577	3.370	3.331	
3.363	3.323	3.309	3.370	3.331	
3.363	3.323	3.421	3.370	3.331	
3.363	3.323	3.721	3.370	3.331	
3.363	3.323	3.626	3.370	3.331	
3.363	3.323	3.334	3.370	3.331	
3.363	3.323	3.678	3.370	3.331	
3.363	3.323	3.605	3.370	3.331	
3.363	3.323	3.568	3.370	3.331	
3.363	3.323	3.305	3.370	3.331	
3.363	3.323	3.418	3.370	3.331	
3.363	3.323	3.720	3.370	3.331	
3.363	3.323	3.626	3.370	3.331	
3.363	3.323	3.579	3.370	3.331	
3.363	3.323	3.555	3.370	3.331	
3.363	3.323	3.543	3.370	3.331	
3.363	3.323	3.293	3.370	3.331	
3.363	3.323	3.412	3.370	3.331	
3.363	3.323	3.717	3.370	3.331	
3.363	3.323	3.624	3.370	3.331	
3.363	3.323	3.333	3.370	3.331	
3.363	3.323	3.677	3.370	3.331	
3.363	3.323	3.604	3.370	3.331	
3.363	3.323	3.568	3.370	3.331	
3.363	3.323	3.305	3.370	3.331	
3.363	3.323	3.418	3.370	3.331	
3.363	3.323	3.720	3.370	3.331	
3.363	3.323	3.626	3.370	3.331	
3.363	3.323	3.579	3.370	3.331	
3.363	3.323	3.555	3.370	3.331	
3.363	3.323	3.298	3.370	3.331	
3.363	3.323	3.660	3.370	3.331	
3.363	3.323	3.351	3.370	3.331	
3.363	3.323	3.441	3.370	3.331	
3.363	3.323	3.486	3.370	3.331	
3.363	3.323	3.509	3.370	3.331	
3.363	3.323	3.765	3.370	3.331	
3.363	3.323	3.403	3.370	3.331	
3.363	3.323	3.468	3.370	3.331	
3.363	3.323	3.500	3.370	3.331	
3.363	3.323	3.516	3.370	3.331	
3.363	3.323	3.279	3.370	3.331	
3.363	3.323	3.650	3.370	3.331	
3.363	3.323	3.346	3.370	3.331	
3.363	3.323	3.346	3.206	3.331	
3.363	3.323	3.346	3.369	3.331	
3.363	3.323	3.346	3.450	3.331	
3.363	3.323	3.346	3.736	3.331	
3.363	3.323	3.346	3.389	3.331	
3.363	3.323	3.346	3.460	3.331	
3.363	3.323	3.346	3.741	3.331	
3.363	3.323	3.346	3.636	3.331	
3.363	3.323	3.346	3.584	3.331	
3.363	3.323	3.346	3.558	3.331	
3.363	3.323	3.346	3.300	3.331	
3.363	3.323	3.346	3.416	3.331	
3.363	3.323	3.346	3.229	3.331	
3.363	3.323	3.346	3.380	3.331	
3.363	3.323	3.346	3.456	3.331	
3.363	3.323	3.346	3.739	3.331	
3.363	3.323	3.346	3.635	3.331	
