Server_0D	Server_0	Server_01	Server_05	Server_00	
3.776	4.000	3.555	3.559	3.598	
3.776	3.766	3.555	3.559	3.598	
3.409	3.766	3.555	3.559	3.598	
3.409	3.649	3.555	3.559	3.598	
3.409	3.345	3.555	3.559	3.598	
3.409	3.345	3.555	3.559	3.320	
3.409	3.345	3.555	3.546	3.320	
3.409	3.345	3.298	3.546	3.320	
3.409	3.345	3.298	3.294	3.320	
3.409	3.345	3.298	3.413	3.320	
3.409	3.345	3.298	3.472	3.320	
3.409	3.345	3.298	3.502	3.320	
3.409	3.345	3.298	3.272	3.320	
3.225	3.345	3.298	3.272	3.320	
3.225	3.194	3.298	3.272	3.320	
3.225	3.194	3.298	3.272	3.181	
3.225	3.194	3.298	3.272	3.356	
3.225	3.194	3.298	3.272	3.444	
3.225	3.194	3.298	3.272	3.488	
3.225	3.194	3.298	3.272	3.510	
3.225	3.194	3.298	3.272	3.521	
3.225	3.194	3.298	3.272	3.526	
3.225	3.194	3.298	3.272	3.529	
3.225	3.194	3.298	3.272	3.530	
3.225	3.194	3.298	3.272	3.286	
3.225	3.194	3.298	3.272	3.654	
3.225	3.194	3.298	3.272	3.593	
3.225	3.194	3.298	3.272	3.562	
3.225	3.194	3.298	3.272	3.547	
3.225	3.194	3.298	3.272	3.539	
3.225	3.194	3.298	3.272	3.535	
3.225	3.194	3.298	3.272	3.534	
3.225	3.194	3.298	3.272	3.533	
3.225	3.194	3.298	3.272	3.532	
3.225	3.194	3.298	3.272	3.532	
3.225	3.194	3.298	3.272	3.532	
3.225	3.194	3.298	3.272	3.287	
3.225	3.194	3.298	3.272	3.654	
3.225	3.194	3.298	3.272	3.593	
3.225	3.194	3.298	3.272	3.562	
3.225	3.194	3.298	3.272	3.302	
3.225	3.194	3.298	3.272	3.417	
3.225	3.194	3.298	3.272	3.719	
3.225	3.194	3.298	3.272	3.625	
3.225	3.194	3.298	3.272	3.334	
3.225	3.194	3.298	3.272	3.677	
3.225	3.194	3.298	3.272	3.604	
3.225	3.194	3.298	3.272	3.568	
3.225	3.194	3.298	3.272	3.550	
3.225	3.194	3.298	3.272	3.541	
3.225	3.194	3.298	3.272	3.536	
3.225	3.194	3.298	3.272	3.289	
3.225	3.194	3.298	3.272	3.410	
3.225	3.194	3.298	3.272	3.716	
3.225	3.194	3.298	3.272	3.624	
3.225	3.194	3.298	3.272	3.578	
3.225	3.194	3.298	3.272	3.310	
3.225	3.194	3.298	3.272	3.421	
3.225	3.194	3.298	3.272	3.476	
3.225	3.194	3.298	3.272	3.749	
3.225	3.194	3.298	3.272	3.640	
3.225	3.194	3.298	3.272	3.586	
3.225	3.194	3.298	3.272	3.314	
3.225	3.194	3.298	3.272	3.178	
3.225	3.194	3.298	3.272	3.355	
3.225	3.194	3.298	3.272	3.688	
3.225	3.194	3.298	3.272	3.610	
3.225	3.194	3.298	3.272	3.571	
3.225	3.194	3.298	3.272	3.551	
3.225	3.194	3.298	3.272	3.296	
3.225	3.194	3.298	3.272	3.414	
3.225	3.194	3.298	3.272	3.718	
3.225	3.194	3.298	3.272	3.625	
3.225	3.194	3.298	3.272	3.578	
3.225	3.194	3.298	3.272	3.555	
3.225	3.194	3.298	3.272	3.543	
3.225	3.194	3.298	3.272	3.537	
3.225	3.194	3.298	3.272	3.535	
3.225	3.194	3.298	3.272	3.533	
3.225	3.194	3.298	3.272	3.777	
3.225	3.194	3.298	3.272	3.654	
3.225	3.194	3.298	3.272	3.593	
