Server_0D	Server_0	Server_0B	Server_05	Server_0A	
3.776	4.000	3.077	3.367	3.534	
4.388	4.000	3.077	3.367	3.534	
4.694	4.000	3.077	3.367	3.534	
4.602	4.000	3.077	3.367	3.534	
4.312	4.000	3.077	3.367	3.534	
4.166	4.000	3.077	3.367	3.534	
4.094	4.000	3.077	3.367	3.534	
4.058	4.000	3.077	3.367	3.534	
4.039	4.000	3.077	3.367	3.534	
4.030	4.000	3.077	3.367	3.534	
4.026	4.000	3.077	3.367	3.534	
4.023	4.000	3.077	3.367	3.534	
4.022	4.000	3.077	3.367	3.534	
4.022	4.000	3.077	3.367	3.534	
4.021	4.000	3.077	3.367	3.534	
4.021	4.000	3.077	3.367	3.534	
4.021	4.000	3.077	3.367	3.534	
4.021	4.000	3.077	3.367	3.534	
3.776	4.000	3.077	3.367	3.534	
3.776	3.766	3.077	3.367	3.534	
3.654	3.766	3.077	3.367	3.534	
3.838	3.766	3.077	3.367	3.534	
3.685	3.766	3.077	3.367	3.534	
3.853	3.766	3.077	3.367	3.534	
3.692	3.766	3.077	3.367	3.534	
3.857	3.766	3.077	3.367	3.534	
3.939	3.766	3.077	3.367	3.534	
3.735	3.766	3.077	3.367	3.534	
3.878	3.766	3.077	3.367	3.534	
3.705	3.766	3.077	3.367	3.534	
3.863	3.766	3.077	3.367	3.534	
3.697	3.766	3.077	3.367	3.534	
3.697	3.649	3.077	3.367	3.534	
3.614	3.649	3.077	3.367	3.534	
3.614	3.590	3.077	3.367	3.534	
3.328	3.590	3.077	3.367	3.534	
3.675	3.590	3.077	3.367	3.534	
3.603	3.590	3.077	3.367	3.534	
3.812	3.590	3.077	3.367	3.534	
3.672	3.590	3.077	3.367	3.534	
3.847	3.590	3.077	3.367	3.534	
3.689	3.590	3.077	3.367	3.534	
3.610	3.590	3.077	3.367	3.534	
3.816	3.590	3.077	3.367	3.534	
3.674	3.590	3.077	3.367	3.534	
3.603	3.590	3.077	3.367	3.534	
3.812	3.590	3.077	3.367	3.534	
3.672	3.590	3.077	3.367	3.534	
3.602	3.590	3.077	3.367	3.534	
3.567	3.590	3.077	3.367	3.534	
3.794	3.590	3.077	3.367	3.534	
3.663	3.590	3.077	3.367	3.534	
3.597	3.590	3.077	3.367	3.534	
3.564	3.590	3.077	3.367	3.534	
3.564	3.561	3.077	3.367	3.534	
3.564	3.791	3.077	3.367	3.534	
3.564	3.416	3.077	3.367	3.534	
3.303	3.416	3.077	3.367	3.534	
3.303	3.416	3.077	3.367	3.533	
3.303	3.416	3.077	3.367	3.777	
3.303	3.416	3.077	3.367	3.654	
3.303	3.416	3.077	3.367	3.593	
3.303	3.416	3.077	3.367	3.317	
3.303	3.416	3.077	3.367	3.669	
3.303	3.416	3.077	3.367	3.600	
3.303	3.416	3.077	3.367	3.811	
3.303	3.416	3.077	3.367	3.426	
3.303	3.416	3.077	3.367	3.479	
3.303	3.416	3.077	3.367	3.505	
3.303	3.416	3.077	3.367	3.274	
3.303	3.416	3.077	3.367	3.647	
3.303	3.416	3.077	3.367	3.589	
3.303	3.416	3.077	3.367	3.316	
3.303	3.416	3.077	3.367	3.668	
3.303	3.416	3.077	3.367	3.600	
3.303	3.416	3.077	3.367	3.321	
3.303	3.229	3.077	3.367	3.321	
3.303	3.625	3.077	3.367	3.321	
3.303	3.578	3.077	3.367	3.321	
3.303	3.310	3.077	3.367	3.321	
3.303	3.666	3.077	3.367	3.321	
3.303	3.599	3.077	3.367	3.321	
3.303	3.565	3.077	3.367	3.321	
3.303	3.303	3.077	3.367	3.321	
3.303	3.662	3.077	3.367	3.321	
3.303	3.597	3.077	3.367	3.321	
3.303	3.319	3.077	3.367	3.321	
3.303	3.319	3.077	3.204	3.321	
3.303	3.319	3.077	3.368	3.321	
3.303	3.319	3.077	3.450	3.321	
3.303	3.319	3.077	3.735	3.321	
3.303	3.319	3.077	3.389	3.321	
3.303	3.319	3.077	3.215	3.321	
3.303	3.319	3.077	3.618	3.321	
