Server_0D	Server_0	Server_01	Server_0E	Server_0A	
3.776	4.000	3.293	3.601	3.920	
3.776	3.766	3.293	3.601	3.920	
3.776	3.766	3.293	3.601	3.726	
3.776	3.766	3.293	3.601	3.874	
3.776	3.766	3.293	3.601	3.703	
3.776	3.766	3.293	3.601	3.862	
3.776	3.766	3.293	3.601	3.942	
3.776	3.766	3.293	3.601	3.737	
3.654	3.766	3.293	3.601	3.737	
3.838	3.766	3.293	3.601	3.737	
3.929	3.766	3.293	3.601	3.737	
3.730	3.766	3.293	3.601	3.737	
3.876	3.766	3.293	3.601	3.737	
3.704	3.766	3.293	3.601	3.737	
3.862	3.766	3.293	3.601	3.737	
3.697	3.766	3.293	3.601	3.737	
3.859	3.766	3.293	3.601	3.737	
4.185	3.766	3.293	3.601	3.737	
3.858	3.766	3.293	3.601	3.737	
3.695	3.766	3.293	3.601	3.737	
3.695	3.649	3.293	3.601	3.737	
3.695	3.649	3.293	3.601	3.634	
3.613	3.649	3.293	3.601	3.634	
3.817	3.649	3.293	3.601	3.634	
3.674	3.649	3.293	3.601	3.634	
3.848	3.649	3.293	3.601	3.634	
3.690	3.649	3.293	3.601	3.634	
3.611	3.649	3.293	3.601	3.634	
3.816	3.649	3.293	3.601	3.634	
3.674	3.649	3.293	3.601	3.634	
3.603	3.649	3.293	3.601	3.634	
3.603	3.590	3.293	3.601	3.634	
3.603	3.590	3.293	3.601	3.338	
3.603	3.590	3.293	3.601	3.680	
3.603	3.590	3.293	3.601	3.606	
3.603	3.590	3.293	3.601	3.813	
3.603	3.590	3.293	3.601	3.672	
3.603	3.590	3.293	3.601	3.602	
3.322	3.590	3.293	3.601	3.602	
3.322	3.590	3.293	3.601	3.567	
3.322	3.590	3.293	3.566	3.567	
3.322	3.316	3.293	3.566	3.567	
3.322	3.669	3.293	3.566	3.567	
3.322	3.355	3.293	3.566	3.567	
3.322	3.688	3.293	3.566	3.567	
3.322	3.610	3.293	3.566	3.567	
3.322	3.326	3.293	3.566	3.567	
3.322	3.326	3.293	3.566	3.304	
3.322	3.326	3.293	3.566	3.663	
3.322	3.326	3.293	3.566	3.352	
3.322	3.326	3.293	3.566	3.687	
3.322	3.326	3.293	3.566	3.609	
3.322	3.326	3.293	3.566	3.325	
3.322	3.326	3.293	3.566	3.673	
3.322	3.326	3.293	3.566	3.602	
3.322	3.326	3.293	3.566	3.322	
3.322	3.326	3.293	3.549	3.322	
3.322	3.326	3.293	3.540	3.322	
3.322	3.326	3.293	3.781	3.322	
3.322	3.326	3.293	3.656	3.322	
3.322	3.326	3.293	3.594	3.322	
3.322	3.326	3.293	3.318	3.322	
3.322	3.326	3.293	3.425	3.322	
3.322	3.326	3.293	3.478	3.322	
3.322	3.326	3.293	3.260	3.322	
3.322	3.326	3.293	3.641	3.322	
3.322	3.326	3.293	3.586	3.322	
3.322	3.326	3.293	3.314	3.322	
3.322	3.184	3.293	3.314	3.322	
3.322	3.603	3.293	3.314	3.322	
3.322	3.322	3.293	3.314	3.322	
3.322	3.672	3.293	3.314	3.322	
3.322	3.602	3.293	3.314	3.322	
3.322	3.567	3.293	3.314	3.322	
3.322	3.304	3.293	3.314	3.322	
3.322	3.663	3.293	3.314	3.322	
3.322	3.597	3.293	3.314	3.322	
3.322	3.319	3.293	3.314	3.322	
3.322	3.426	3.293	3.314	3.322	
3.322	3.723	3.293	3.314	3.322	
3.322	3.627	3.293	3.314	3.322	
3.322	3.335	3.293	3.314	3.322	
3.322	3.188	3.293	3.314	3.322	
3.322	3.605	3.293	3.314	3.322	
