Server_0D	Server_0	Server_0F	Server_0E	Server_03	
3.776	4.000	3.359	3.260	3.199	
3.899	4.000	3.359	3.260	3.199	
3.960	4.000	3.359	3.260	3.199	
3.991	4.000	3.359	3.260	3.199	
4.006	4.000	3.359	3.260	3.199	
4.014	4.000	3.359	3.260	3.199	
4.017	4.000	3.359	3.260	3.199	
4.019	4.000	3.359	3.260	3.199	
4.020	4.000	3.359	3.260	3.199	
4.021	4.000	3.359	3.260	3.199	
3.776	4.000	3.359	3.260	3.199	
3.899	4.000	3.359	3.260	3.199	
3.960	4.000	3.359	3.260	3.199	
3.991	4.000	3.359	3.260	3.199	
4.006	4.000	3.359	3.260	3.199	
4.014	4.000	3.359	3.260	3.199	
3.773	4.000	3.359	3.260	3.199	
3.773	3.766	3.359	3.260	3.199	
3.652	3.766	3.359	3.260	3.199	
3.837	3.766	3.359	3.260	3.199	
3.684	3.766	3.359	3.260	3.199	
3.853	3.766	3.359	3.260	3.199	
3.692	3.766	3.359	3.260	3.199	
3.857	3.766	3.359	3.260	3.199	
3.939	3.766	3.359	3.260	3.199	
3.735	3.766	3.359	3.260	3.199	
3.878	3.766	3.359	3.260	3.199	
3.705	3.766	3.359	3.260	3.199	
3.863	3.766	3.359	3.260	3.199	
3.697	3.766	3.359	3.260	3.199	
3.697	3.649	3.359	3.260	3.199	
3.697	3.835	3.359	3.260	3.199	
3.697	3.683	3.359	3.260	3.199	
3.614	3.683	3.359	3.260	3.199	
3.614	3.607	3.359	3.260	3.199	
3.573	3.607	3.359	3.260	3.199	
3.797	3.607	3.359	3.260	3.199	
3.664	3.607	3.359	3.260	3.199	
3.843	3.607	3.359	3.260	3.199	
3.687	3.607	3.359	3.260	3.199	
3.609	3.607	3.359	3.260	3.199	
3.815	3.607	3.359	3.260	3.199	
3.673	3.607	3.359	3.260	3.199	
3.847	3.607	3.359	3.260	3.199	
3.689	3.607	3.359	3.260	3.199	
3.611	3.607	3.359	3.260	3.199	
3.571	3.607	3.359	3.260	3.199	
3.796	3.607	3.359	3.260	3.199	
3.664	3.607	3.359	3.260	3.199	
3.598	3.607	3.359	3.260	3.199	
3.598	3.570	3.359	3.260	3.199	
3.320	3.570	3.359	3.260	3.199	
3.320	3.551	3.359	3.260	3.199	
3.320	3.786	3.359	3.260	3.199	
3.320	3.414	3.359	3.260	3.199	
3.320	3.473	3.359	3.260	3.199	
3.320	3.502	3.359	3.260	3.199	
3.320	3.272	3.359	3.260	3.199	
3.320	3.272	3.200	3.260	3.199	
3.320	3.272	3.366	3.260	3.199	
3.320	3.272	3.694	3.260	3.199	
3.320	3.272	3.613	3.260	3.199	
3.320	3.272	3.327	3.260	3.199	
3.320	3.272	3.429	3.260	3.199	
3.320	3.272	3.725	3.260	3.199	
3.320	3.272	3.628	3.260	3.199	
3.320	3.272	3.335	3.260	3.199	
3.320	3.272	3.433	3.260	3.199	
3.320	3.272	3.727	3.260	3.199	
3.320	3.272	3.629	3.260	3.199	
3.320	3.272	3.581	3.260	3.199	
3.320	3.272	3.311	3.260	3.199	
3.320	3.272	3.666	3.260	3.199	
3.320	3.272	3.599	3.260	3.199	
3.320	3.272	3.565	3.260	3.199	
3.320	3.272	3.304	3.260	3.199	
3.320	3.272	3.418	3.260	3.199	
3.320	3.272	3.719	3.260	3.199	
3.320	3.272	3.381	3.260	3.199	
3.320	3.272	3.456	3.260	3.199	
3.320	3.272	3.494	3.260	3.199	
3.320	3.272	3.513	3.260	3.199	
3.320	3.272	3.277	3.260	3.199	
3.320	3.272	3.649	3.260	3.199	
3.320	3.272	3.590	3.260	3.199	
3.320	3.272	3.316	3.260	3.199	
3.320	3.272	3.424	3.260	3.199	
3.320	3.272	3.723	3.260	3.199	
3.320	3.272	3.627	3.260	3.199	
3.320	3.272	3.579	3.260	3.199	
3.320	3.272	3.555	3.260	3.199	
3.320	3.272	3.299	3.260	3.199	
3.320	3.272	3.660	3.260	3.199	
3.320	3.272	3.351	3.260	3.199	
3.320	3.272	3.196	3.260	3.199	
3.320	3.272	3.609	3.260	3.199	
3.320	3.272	3.570	3.260	3.199	
3.320	3.272	3.796	3.260	3.199	
3.320	3.272	3.664	3.260	3.199	
3.320	3.272	3.353	3.260	3.199	
3.320	3.272	3.442	3.260	3.199	
3.320	3.272	3.487	3.260	3.199	
3.320	3.272	3.264	3.260	3.199	
3.320	3.272	3.398	3.260	3.199	
3.320	3.272	3.710	3.260	3.199	
3.320	3.272	3.621	3.260	3.199	
3.320	3.272	3.331	3.260	3.199	
3.320	3.272	3.676	3.260	3.199	
3.320	3.272	3.604	3.260	3.199	
3.320	3.272	3.323	3.260	3.199	
3.320	3.272	3.427	3.260	3.199	
3.320	3.272	3.479	3.260	3.199	
3.320	3.272	3.261	3.260	3.199	
3.320	3.272	3.396	3.260	3.199	
3.320	3.272	3.464	3.260	3.199	
3.320	3.272	3.743	3.260	3.199	
3.320	3.272	3.637	3.260	3.199	
3.320	3.272	3.584	3.260	3.199	
3.320	3.272	3.558	3.260	3.199	
3.320	3.272	3.545	3.260	3.199	
3.320	3.272	3.538	3.260	3.199	
3.320	3.272	3.290	3.260	3.199	
3.320	3.272	3.411	3.260	3.199	
3.320	3.272	3.471	3.260	3.199	
3.320	3.272	3.501	3.260	3.199	
3.320	3.272	3.516	3.260	3.199	
3.320	3.272	3.279	3.260	3.199	
3.320	3.272	3.405	3.260	3.199	
3.320	3.272	3.468	3.260	3.199	
3.320	3.272	3.255	3.260	3.199	
3.320	3.272	3.393	3.260	3.199	
3.320	3.272	3.462	3.260	3.199	
3.320	3.272	3.252	3.260	3.199	
3.320	3.272	3.392	3.260	3.199	
