Server_0D	Server_0	Server_0E	Server_0B	Server_03	
3.776	4.000	3.460	3.023	3.128	
3.899	4.000	3.460	3.023	3.128	
3.960	4.000	3.460	3.023	3.128	
3.991	4.000	3.460	3.023	3.128	
4.006	4.000	3.460	3.023	3.128	
4.014	4.000	3.460	3.023	3.128	
4.017	4.000	3.460	3.023	3.128	
4.019	4.000	3.460	3.023	3.128	
4.020	4.000	3.460	3.023	3.128	
4.021	4.000	3.460	3.023	3.128	
4.021	4.000	3.460	3.023	3.128	
3.776	4.000	3.460	3.023	3.128	
3.899	4.000	3.460	3.023	3.128	
3.960	4.000	3.460	3.023	3.128	
3.991	4.000	3.460	3.023	3.128	
4.006	4.000	3.460	3.023	3.128	
4.014	4.000	3.460	3.023	3.128	
4.017	4.000	3.460	3.023	3.128	
4.019	4.000	3.460	3.023	3.128	
4.265	4.000	3.460	3.023	3.128	
4.143	4.000	3.460	3.023	3.128	
3.837	4.000	3.460	3.023	3.128	
3.929	4.000	3.460	3.023	3.128	
3.929	3.766	3.460	3.023	3.128	
3.486	3.766	3.460	3.023	3.128	
3.486	3.649	3.460	3.023	3.128	
3.486	3.590	3.460	3.023	3.128	
3.486	3.316	3.460	3.023	3.128	
3.486	3.424	3.460	3.023	3.128	
3.486	3.478	3.460	3.023	3.128	
3.264	3.478	3.460	3.023	3.128	
3.398	3.478	3.460	3.023	3.128	
3.954	3.478	3.460	3.023	3.128	
3.743	3.478	3.460	3.023	3.128	
3.637	3.478	3.460	3.023	3.128	
3.584	3.478	3.460	3.023	3.128	
3.803	3.478	3.460	3.023	3.128	
3.667	3.478	3.460	3.023	3.128	
3.844	3.478	3.460	3.023	3.128	
3.688	3.478	3.460	3.023	3.128	
3.855	3.478	3.460	3.023	3.128	
3.693	3.478	3.460	3.023	3.128	
3.612	3.478	3.460	3.023	3.128	
3.817	3.478	3.460	3.023	3.128	
3.674	3.478	3.460	3.023	3.128	
3.603	3.478	3.460	3.023	3.128	
3.567	3.478	3.460	3.023	3.128	
3.794	3.478	3.460	3.023	3.128	
3.663	3.478	3.460	3.023	3.128	
3.597	3.478	3.460	3.023	3.128	
3.564	3.478	3.460	3.023	3.128	
3.793	3.478	3.460	3.023	3.128	
3.662	3.478	3.460	3.023	3.128	
3.597	3.478	3.460	3.023	3.128	
3.564	3.478	3.460	3.023	3.128	
3.548	3.478	3.460	3.023	3.128	
3.295	3.478	3.460	3.023	3.128	
3.413	3.478	3.460	3.023	3.128	
3.717	3.478	3.460	3.023	3.128	
3.624	3.478	3.460	3.023	3.128	
3.333	3.478	3.460	3.023	3.128	
3.677	3.478	3.460	3.023	3.128	
3.604	3.478	3.460	3.023	3.128	
3.813	3.478	3.460	3.023	3.128	
3.427	3.478	3.460	3.023	3.128	
3.479	3.478	3.460	3.023	3.128	
3.506	3.478	3.460	3.023	3.128	
3.519	3.478	3.460	3.023	3.128	
3.525	3.478	3.460	3.023	3.128	
3.528	3.478	3.460	3.023	3.128	
3.530	3.478	3.460	3.023	3.128	
3.531	3.478	3.460	3.023	3.128	
3.286	3.478	3.460	3.023	3.128	
3.409	3.478	3.460	3.023	3.128	
3.715	3.478	3.460	3.023	3.128	
3.378	3.478	3.460	3.023	3.128	
3.700	3.478	3.460	3.023	3.128	
3.616	3.478	3.460	3.023	3.128	
3.329	3.478	3.460	3.023	3.128	
3.430	3.478	3.460	3.023	3.128	
3.726	3.478	3.460	3.023	3.128	
3.629	3.478	3.460	3.023	3.128	
3.580	3.478	3.460	3.023	3.128	
3.556	3.478	3.460	3.023	3.128	
3.299	3.478	3.460	3.023	3.128	
3.415	3.478	3.460	3.023	3.128	
3.718	3.478	3.460	3.023	3.128	
3.625	3.478	3.460	3.023	3.128	
3.333	3.478	3.460	3.023	3.128	
3.432	3.478	3.460	3.023	3.128	
3.482	3.478	3.460	3.023	3.128	
3.752	3.478	3.460	3.023	3.128	
3.642	3.478	3.460	3.023	3.128	
3.342	3.478	3.460	3.023	3.128	
3.437	3.478	3.460	3.023	3.128	
3.484	3.478	3.460	3.023	3.128	
3.508	3.478	3.460	3.023	3.128	
3.275	3.478	3.460	3.023	3.128	
3.648	3.478	3.460	3.023	3.128	
3.590	3.478	3.460	3.023	3.128	
3.561	3.478	3.460	3.023	3.128	
3.791	3.478	3.460	3.023	3.128	
3.661	3.478	3.460	3.023	3.128	
3.596	3.478	3.460	3.023	3.128	
3.319	3.478	3.460	3.023	3.128	
3.319	3.260	3.460	3.023	3.128	
3.319	3.396	3.460	3.023	3.128	
3.319	3.708	3.460	3.023	3.128	
3.319	3.620	3.460	3.023	3.128	
3.319	3.331	3.460	3.023	3.128	
3.319	3.676	3.460	3.023	3.128	
3.319	3.604	3.460	3.023	3.128	
3.319	3.568	3.460	3.023	3.128	
3.319	3.305	3.460	3.023	3.128	
3.319	3.418	3.460	3.023	3.128	
3.319	3.720	3.460	3.023	3.128	
3.319	3.626	3.460	3.023	3.128	
3.319	3.334	3.460	3.023	3.128	
