Server_0D	Server_0	Server_0F	Server_03	Server_06	
3.776	4.000	3.681	3.827	3.907	
3.776	3.766	3.681	3.827	3.907	
3.776	3.766	3.681	3.827	3.474	
3.776	3.766	3.681	3.679	3.474	
3.409	3.766	3.681	3.679	3.474	
3.409	3.649	3.681	3.679	3.474	
3.409	3.649	3.361	3.679	3.474	
3.409	3.649	3.361	3.361	3.474	
3.409	3.590	3.361	3.361	3.474	
3.409	3.316	3.361	3.361	3.474	
3.409	3.316	3.361	3.361	3.258	
3.225	3.316	3.361	3.361	3.258	
3.225	3.316	3.202	3.361	3.258	
3.225	3.316	3.202	3.201	3.258	
3.225	3.316	3.202	3.366	3.258	
3.225	3.316	3.202	3.449	3.258	
3.225	3.316	3.202	3.490	3.258	
3.225	3.316	3.202	3.266	3.258	
3.225	3.316	3.202	3.399	3.258	
3.225	3.316	3.202	3.465	3.258	
3.225	3.316	3.202	3.498	3.258	
3.225	3.316	3.202	3.515	3.258	
3.225	3.316	3.202	3.278	3.258	
3.225	3.316	3.202	3.405	3.258	
3.225	3.316	3.202	3.713	3.258	
3.225	3.316	3.202	3.622	3.258	
3.225	3.316	3.202	3.577	3.258	
3.225	3.316	3.202	3.554	3.258	
3.225	3.316	3.202	3.543	3.258	
3.225	3.316	3.202	3.537	3.258	
3.225	3.316	3.202	3.290	3.258	
3.225	3.316	3.202	3.655	3.258	
3.225	3.316	3.202	3.593	3.258	
3.225	3.316	3.202	3.563	3.258	
3.225	3.316	3.202	3.547	3.258	
3.225	3.316	3.202	3.539	3.258	
3.225	3.316	3.202	3.535	3.258	
3.225	3.316	3.202	3.534	3.258	
3.225	3.316	3.202	3.533	3.258	
3.225	3.316	3.202	3.532	3.258	
3.225	3.316	3.202	3.532	3.258	
3.225	3.316	3.202	3.532	3.258	
3.225	3.316	3.202	3.532	3.258	
3.225	3.316	3.202	3.532	3.258	
3.225	3.316	3.202	3.532	3.258	
3.225	3.316	3.202	3.532	3.258	
3.225	3.316	3.202	3.532	3.258	
