Server_0D	Server_0	Server_01	Server_07	Server_0A	
3.776	4.000	3.339	3.070	3.227	
3.776	3.766	3.339	3.070	3.227	
3.409	3.766	3.339	3.070	3.227	
3.409	3.649	3.339	3.070	3.227	
3.409	3.590	3.339	3.070	3.227	
3.409	3.561	3.339	3.070	3.227	
3.409	3.301	3.339	3.070	3.227	
3.409	3.416	3.339	3.070	3.227	
3.409	3.474	3.339	3.070	3.227	
3.409	3.258	3.339	3.070	3.227	
3.225	3.258	3.339	3.070	3.227	
3.225	3.258	3.191	3.070	3.227	
3.225	3.150	3.191	3.070	3.227	
3.225	3.341	3.191	3.070	3.227	
3.225	3.191	3.191	3.070	3.227	
3.225	3.191	3.191	3.070	3.134	
3.225	3.191	3.191	3.070	3.333	
3.225	3.191	3.191	3.070	3.187	
3.225	3.191	3.191	3.070	3.359	
3.225	3.191	3.191	3.070	3.690	
3.225	3.191	3.191	3.070	3.611	
3.225	3.191	3.191	3.070	3.571	
3.225	3.191	3.191	3.070	3.551	
3.225	3.191	3.191	3.070	3.297	
3.225	3.191	3.191	3.070	3.169	
3.225	3.191	3.191	3.070	3.595	
3.225	3.191	3.191	3.070	3.563	
3.225	3.191	3.191	3.070	3.303	
3.225	3.191	3.191	3.070	3.662	
3.225	3.191	3.191	3.070	3.597	
3.225	3.191	3.191	3.070	3.564	
3.225	3.191	3.191	3.070	3.303	
3.225	3.191	3.191	3.070	3.417	
3.225	3.191	3.191	3.070	3.719	
3.225	3.191	3.191	3.070	3.625	
3.225	3.191	3.191	3.070	3.334	
3.225	3.191	3.191	3.070	3.188	
3.225	3.191	3.191	3.070	3.604	
3.225	3.191	3.191	3.070	3.568	
3.225	3.191	3.191	3.070	3.550	
3.225	3.191	3.191	3.070	3.296	
3.225	3.191	3.191	3.070	3.658	
3.225	3.191	3.191	3.070	3.595	
3.225	3.191	3.191	3.070	3.563	
3.225	3.191	3.191	3.070	3.303	
3.225	3.191	3.191	3.070	3.662	
3.225	3.191	3.191	3.070	3.597	
3.225	3.191	3.191	3.070	3.564	
3.225	3.191	3.191	3.070	3.303	
3.225	3.191	3.191	3.070	3.417	
3.225	3.191	3.191	3.070	3.474	
3.225	3.191	3.191	3.070	3.258	
3.225	3.191	3.191	3.070	3.395	
3.225	3.191	3.191	3.070	3.708	
3.225	3.191	3.191	3.070	3.620	
3.225	3.191	3.191	3.070	3.820	
3.225	3.191	3.191	3.070	3.676	
3.225	3.191	3.191	3.070	3.604	
3.225	3.191	3.191	3.070	3.323	
3.225	3.191	3.191	3.070	3.182	
3.225	3.191	3.191	3.070	3.602	
3.225	3.191	3.191	3.070	3.567	
3.225	3.191	3.191	3.070	3.549	
3.225	3.191	3.191	3.070	3.540	
3.225	3.191	3.191	3.070	3.291	
3.225	3.191	3.191	3.070	3.656	
3.225	3.191	3.191	3.070	3.594	
3.225	3.191	3.191	3.070	3.563	
3.225	3.191	3.191	3.070	3.302	
3.225	3.191	3.191	3.070	3.417	
3.225	3.191	3.191	3.070	3.719	
3.225	3.191	3.191	3.070	3.380	
3.225	3.191	3.191	3.070	3.211	
3.225	3.191	3.191	3.070	3.616	
3.225	3.191	3.191	3.070	3.574	
3.225	3.191	3.191	3.070	3.553	
3.225	3.191	3.191	3.070	3.542	
3.225	3.191	3.191	3.070	3.292	
3.225	3.191	3.191	3.070	3.657	
3.225	3.191	3.191	3.070	3.349	
3.225	3.191	3.191	3.070	3.195	
3.225	3.191	3.191	3.070	3.364	
