Server_0D	Server_0	Server_02	Server_08	Server_05	
3.776	4.000	3.142	3.750	3.241	
4.388	4.000	3.142	3.750	3.241	
4.694	4.000	3.142	3.750	3.241	
4.602	4.000	3.142	3.750	3.241	
3.333	4.000	3.142	3.750	3.241	
3.677	4.000	3.142	3.750	3.241	
3.849	4.000	3.142	3.750	3.241	
3.849	3.766	3.142	3.750	3.241	
3.849	4.383	3.142	3.750	3.241	
3.849	4.691	3.142	3.750	3.241	
3.849	4.846	3.142	3.750	3.241	
3.849	4.923	3.142	3.750	3.241	
3.849	4.717	3.142	3.750	3.241	
3.849	4.614	3.142	3.750	3.241	
3.849	4.562	3.142	3.750	3.241	
3.849	4.536	3.142	3.750	3.241	
3.849	4.279	3.142	3.750	3.241	
3.849	4.150	3.142	3.750	3.241	
3.849	4.086	3.142	3.750	3.241	
3.849	4.053	3.142	3.750	3.241	
3.849	3.792	3.142	3.750	3.241	
3.690	3.792	3.142	3.750	3.241	
3.856	3.792	3.142	3.750	3.241	
4.183	3.792	3.142	3.750	3.241	
4.347	3.792	3.142	3.750	3.241	
3.939	3.792	3.142	3.750	3.241	
4.225	3.792	3.142	3.750	3.241	
4.123	3.792	3.142	3.750	3.241	
3.827	3.792	3.142	3.750	3.241	
4.169	3.792	3.142	3.750	3.241	
3.850	3.792	3.142	3.750	3.241	
3.691	3.792	3.142	3.750	3.241	
3.856	3.792	3.142	3.750	3.241	
3.939	3.792	3.142	3.750	3.241	
3.980	3.792	3.142	3.750	3.241	
3.756	3.792	3.142	3.750	3.241	
3.888	3.792	3.142	3.750	3.241	
3.710	3.792	3.142	3.750	3.241	
3.866	3.792	3.142	3.750	3.241	
3.699	3.792	3.142	3.750	3.241	
3.860	3.792	3.142	3.750	3.241	
3.696	3.792	3.142	3.750	3.241	
3.696	3.662	3.142	3.750	3.241	
3.696	3.662	3.142	3.641	3.241	
3.696	3.662	3.142	3.831	3.241	
3.696	3.662	3.142	3.681	3.241	
3.614	3.662	3.142	3.681	3.241	
3.817	3.662	3.142	3.681	3.241	
3.675	3.662	3.142	3.681	3.241	
3.675	3.662	3.142	3.606	3.241	
3.675	3.662	3.142	3.814	3.241	
3.675	3.662	3.142	3.673	3.241	
3.603	3.662	3.142	3.673	3.241	
3.603	3.662	3.142	3.602	3.241	
3.603	3.597	3.142	3.602	3.241	
3.603	3.809	3.142	3.602	3.241	
3.603	3.425	3.142	3.602	3.241	
3.322	3.425	3.142	3.602	3.241	
3.322	3.425	3.142	3.567	3.241	
3.322	3.425	3.142	3.549	3.241	
3.322	3.425	3.142	3.785	3.241	
3.322	3.425	3.142	3.658	3.241	
3.322	3.425	3.142	3.350	3.241	
3.322	3.425	3.142	3.441	3.241	
3.322	3.425	3.142	3.731	3.241	
3.322	3.425	3.142	3.386	3.241	
3.322	3.234	3.142	3.386	3.241	
3.322	3.383	3.142	3.386	3.241	
3.322	3.457	3.142	3.386	3.241	
3.322	3.739	3.142	3.386	3.241	
3.322	3.390	3.142	3.386	3.241	
3.322	3.216	3.142	3.386	3.241	
3.322	3.619	3.142	3.386	3.241	
3.322	3.820	3.142	3.386	3.241	
3.322	3.431	3.142	3.386	3.241	
