Server_0D	Server_0	Server_09	Server_0F	Server_02	
3.776	4.000	3.821	3.760	3.386	
3.899	4.000	3.821	3.760	3.386	
3.960	4.000	3.821	3.760	3.386	
3.991	4.000	3.821	3.760	3.386	
3.991	3.766	3.821	3.760	3.386	
3.761	3.766	3.821	3.760	3.386	
3.891	3.766	3.821	3.760	3.386	
3.711	3.766	3.821	3.760	3.386	
3.866	3.766	3.821	3.760	3.386	
3.944	3.766	3.821	3.760	3.386	
3.982	3.766	3.821	3.760	3.386	
4.002	3.766	3.821	3.760	3.386	
3.767	3.766	3.821	3.760	3.386	
3.767	3.766	3.676	3.760	3.386	
3.649	3.766	3.676	3.760	3.386	
3.835	3.766	3.676	3.760	3.386	
3.683	3.766	3.676	3.760	3.386	
3.683	3.649	3.676	3.760	3.386	
3.683	3.649	3.676	3.646	3.386	
3.607	3.649	3.676	3.646	3.386	
3.607	3.649	3.604	3.646	3.386	
3.607	3.590	3.604	3.646	3.386	
3.607	3.590	3.604	3.589	3.386	
3.607	3.590	3.604	3.805	3.386	
3.607	3.590	3.604	3.668	3.386	
3.607	3.590	3.604	3.600	3.386	
3.607	3.590	3.604	3.811	3.386	
3.607	3.590	3.604	3.671	3.386	
3.607	3.590	3.604	3.846	3.386	
3.607	3.590	3.604	3.689	3.386	
3.607	3.590	3.604	3.610	3.386	
3.607	3.590	3.604	3.571	3.386	
3.607	3.590	3.604	3.796	3.386	
3.607	3.590	3.604	3.664	3.386	
3.607	3.590	3.604	3.598	3.386	
3.607	3.590	3.604	3.809	3.386	
3.607	3.590	3.604	3.671	3.386	
3.607	3.590	3.604	3.601	3.386	
3.570	3.590	3.604	3.601	3.386	
3.795	3.590	3.604	3.601	3.386	
3.663	3.590	3.604	3.601	3.386	
3.598	3.590	3.604	3.601	3.386	
3.598	3.590	3.568	3.601	3.386	
3.598	3.590	3.568	3.566	3.386	
3.565	3.590	3.568	3.566	3.386	
3.793	3.590	3.568	3.566	3.386	
3.662	3.590	3.568	3.566	3.386	
3.352	3.590	3.568	3.566	3.386	
3.687	3.590	3.568	3.566	3.386	
3.609	3.590	3.568	3.566	3.386	
3.570	3.590	3.568	3.566	3.386	
3.570	3.316	3.568	3.566	3.386	
3.306	3.316	3.568	3.566	3.386	
3.664	3.316	3.568	3.566	3.386	
3.598	3.316	3.568	3.566	3.386	
3.565	3.316	3.568	3.566	3.386	
3.565	3.316	3.550	3.566	3.386	
3.565	3.316	3.550	3.304	3.386	
3.565	3.316	3.550	3.663	3.386	
3.565	3.316	3.550	3.352	3.386	
3.565	3.316	3.550	3.687	3.386	
3.565	3.316	3.550	3.609	3.386	
3.565	3.316	3.550	3.570	3.386	
3.565	3.316	3.550	3.306	3.386	
3.548	3.316	3.550	3.306	3.386	
3.548	3.316	3.541	3.306	3.386	
3.540	3.316	3.541	3.306	3.386	
3.781	3.316	3.541	3.306	3.386	
3.656	3.316	3.541	3.306	3.386	
3.594	3.316	3.541	3.306	3.386	
3.563	3.316	3.541	3.306	3.386	
3.302	3.316	3.541	3.306	3.386	
3.302	3.316	3.536	3.306	3.386	
3.302	3.316	3.779	3.306	3.386	
3.302	3.316	3.410	3.306	3.386	
3.302	3.316	3.226	3.306	3.386	
3.302	3.316	3.624	3.306	3.386	
3.302	3.316	3.578	3.306	3.386	
3.302	3.316	3.310	3.306	3.386	
3.302	3.316	3.310	3.306	3.214	
3.302	3.316	3.310	3.306	3.618	
3.302	3.316	3.310	3.306	3.330	
3.302	3.316	3.310	3.306	3.431	
