Server_0D	Server_0	Server_0E	Server_0B	Server_02	
3.776	4.000	3.297	3.368	3.006	
3.776	3.766	3.297	3.368	3.006	
3.776	4.383	3.297	3.368	3.006	
3.776	4.691	3.297	3.368	3.006	
3.776	4.846	3.297	3.368	3.006	
3.776	4.923	3.297	3.368	3.006	
3.776	4.717	3.297	3.368	3.006	
3.776	4.614	3.297	3.368	3.006	
3.776	4.562	3.297	3.368	3.006	
3.776	4.292	3.297	3.368	3.006	
3.776	4.156	3.297	3.368	3.006	
3.776	4.089	3.297	3.368	3.006	
3.776	4.055	3.297	3.368	3.006	
3.776	4.038	3.297	3.368	3.006	
3.776	3.785	3.297	3.368	3.006	
3.776	3.658	3.297	3.368	3.006	
3.776	3.840	3.297	3.368	3.006	
3.776	3.686	3.297	3.368	3.006	
3.776	4.098	3.297	3.368	3.006	
3.776	3.815	3.297	3.368	3.006	
3.776	3.673	3.297	3.368	3.006	
3.409	3.673	3.297	3.368	3.006	
3.409	3.602	3.297	3.368	3.006	
3.409	3.567	3.297	3.368	3.006	
3.409	3.304	3.297	3.368	3.006	
3.409	3.663	3.297	3.368	3.006	
3.409	3.597	3.297	3.368	3.006	
3.409	3.564	3.297	3.368	3.006	
3.409	3.793	3.297	3.368	3.006	
3.409	3.662	3.297	3.368	3.006	
3.409	3.597	3.297	3.368	3.006	
3.409	3.564	3.297	3.368	3.006	
3.409	3.548	3.297	3.368	3.006	
3.409	3.540	3.297	3.368	3.006	
3.409	3.780	3.297	3.368	3.006	
3.409	3.656	3.297	3.368	3.006	
3.409	3.594	3.297	3.368	3.006	
3.409	3.563	3.297	3.368	3.006	
3.409	3.547	3.297	3.368	3.006	
3.409	3.784	3.297	3.368	3.006	
3.409	3.658	3.297	3.368	3.006	
3.409	3.595	3.297	3.368	3.006	
3.409	3.563	3.297	3.368	3.006	
3.409	3.302	3.297	3.368	3.006	
3.225	3.302	3.297	3.368	3.006	
3.623	3.302	3.297	3.368	3.006	
3.577	3.302	3.297	3.368	3.006	
3.555	3.302	3.297	3.368	3.006	
3.543	3.302	3.297	3.368	3.006	
3.782	3.302	3.297	3.368	3.006	
3.657	3.302	3.297	3.368	3.006	
