Server_0D	Server_0	Server_0A	Server_04	Server_07	
3.776	4.000	3.817	3.614	3.586	
4.388	4.000	3.817	3.614	3.586	
4.694	4.000	3.817	3.614	3.586	
4.602	4.000	3.817	3.614	3.586	
3.333	4.000	3.817	3.614	3.586	
3.677	4.000	3.817	3.614	3.586	
3.849	4.000	3.817	3.614	3.586	
3.849	3.766	3.817	3.614	3.586	
3.849	4.383	3.817	3.614	3.586	
3.849	4.691	3.817	3.614	3.586	
3.849	4.846	3.817	3.614	3.586	
3.849	4.923	3.817	3.614	3.586	
3.849	4.717	3.817	3.614	3.586	
3.849	4.614	3.817	3.614	3.586	
3.849	4.562	3.817	3.614	3.586	
3.849	4.292	3.817	3.614	3.586	
3.849	4.156	3.817	3.614	3.586	
3.849	4.089	3.817	3.614	3.586	
3.849	4.055	3.817	3.614	3.586	
3.849	4.038	3.817	3.614	3.586	
3.849	3.785	3.817	3.614	3.586	
3.690	3.785	3.817	3.614	3.586	
3.856	3.785	3.817	3.614	3.586	
4.183	3.785	3.817	3.614	3.586	
4.347	3.785	3.817	3.614	3.586	
3.939	3.785	3.817	3.614	3.586	
4.225	3.785	3.817	3.614	3.586	
4.123	3.785	3.817	3.614	3.586	
3.827	3.785	3.817	3.614	3.586	
4.169	3.785	3.817	3.614	3.586	
3.850	3.785	3.817	3.614	3.586	
3.691	3.785	3.817	3.614	3.586	
3.856	3.785	3.817	3.614	3.586	
3.939	3.785	3.817	3.614	3.586	
3.980	3.785	3.817	3.614	3.586	
3.756	3.785	3.817	3.614	3.586	
3.888	3.785	3.817	3.614	3.586	
3.710	3.785	3.817	3.614	3.586	
3.866	3.785	3.817	3.614	3.586	
3.699	3.785	3.817	3.614	3.586	
3.860	3.785	3.817	3.614	3.586	
3.696	3.785	3.817	3.614	3.586	
3.696	3.785	3.674	3.614	3.586	
3.696	3.785	3.848	3.614	3.586	
3.696	3.785	3.690	3.614	3.586	
3.696	3.658	3.690	3.614	3.586	
3.696	3.840	3.690	3.614	3.586	
3.696	3.686	3.690	3.614	3.586	
3.614	3.686	3.690	3.614	3.586	
3.614	3.686	3.611	3.614	3.586	
3.614	3.609	3.611	3.614	3.586	
3.614	3.815	3.611	3.614	3.586	
3.614	3.428	3.611	3.614	3.586	
3.328	3.428	3.611	3.614	3.586	
3.674	3.428	3.611	3.614	3.586	
3.603	3.428	3.611	3.614	3.586	
3.603	3.428	3.611	3.573	3.586	
3.603	3.428	3.571	3.573	3.586	
3.322	3.428	3.571	3.573	3.586	
3.672	3.428	3.571	3.573	3.586	
3.602	3.428	3.571	3.573	3.586	
3.322	3.428	3.571	3.573	3.586	
3.322	3.428	3.571	3.573	3.559	
3.322	3.428	3.571	3.573	3.790	
3.322	3.428	3.571	3.573	3.416	
3.322	3.428	3.571	3.552	3.416	
3.322	3.428	3.306	3.552	3.416	
3.322	3.428	3.664	3.552	3.416	
3.322	3.428	3.598	3.552	3.416	
3.322	3.428	3.320	3.552	3.416	
3.322	3.428	3.320	3.542	3.416	
3.322	3.428	3.320	3.782	3.416	
3.322	3.428	3.320	3.412	3.416	
3.322	3.428	3.320	3.472	3.416	
3.322	3.428	3.320	3.746	3.416	
3.322	3.428	3.320	3.639	3.416	
3.322	3.428	3.320	3.340	3.416	
3.322	3.235	3.320	3.340	3.416	
3.322	3.383	3.320	3.340	3.416	
3.322	3.457	3.320	3.340	3.416	
3.322	3.739	3.320	3.340	3.416	
3.322	3.635	3.320	3.340	3.416	
3.322	3.584	3.320	3.340	3.416	
3.322	3.313	3.320	3.340	3.416	
3.322	3.667	3.320	3.340	3.416	
3.322	3.599	3.320	3.340	3.416	
3.322	3.321	3.320	3.340	3.416	
3.322	3.426	3.320	3.340	3.416	
3.322	3.724	3.320	3.340	3.416	
3.322	3.628	3.320	3.340	3.416	
3.322	3.580	3.320	3.340	3.416	
3.322	3.311	3.320	3.340	3.416	
3.322	3.666	3.320	3.340	3.416	
3.322	3.599	3.320	3.340	3.416	
3.322	3.320	3.320	3.340	3.416	
3.322	3.426	3.320	3.340	3.416	
3.322	3.479	3.320	3.340	3.416	
3.322	3.750	3.320	3.340	3.416	
3.322	3.396	3.320	3.340	3.416	
3.322	3.396	3.320	3.340	3.229	
3.322	3.396	3.320	3.340	3.625	
3.322	3.396	3.320	3.340	3.578	
3.322	3.396	3.320	3.340	3.555	
3.322	3.396	3.320	3.340	3.543	
3.322	3.396	3.320	3.340	3.537	
3.322	3.396	3.320	3.340	3.290	
3.322	3.396	3.320	3.340	3.655	
3.322	3.396	3.320	3.340	3.593	
3.322	3.396	3.320	3.340	3.563	
3.322	3.396	3.320	3.340	3.302	
3.322	3.396	3.320	3.340	3.662	
3.322	3.396	3.320	3.340	3.597	
3.322	3.396	3.320	3.340	3.564	
3.322	3.396	3.320	3.340	3.303	
3.322	3.219	3.320	3.340	3.303	
3.322	3.375	3.320	3.340	3.303	
3.322	3.453	3.320	3.340	3.303	
3.322	3.737	3.320	3.340	3.303	
3.322	3.634	3.320	3.340	3.303	
3.322	3.338	3.320	3.340	3.303	
3.322	3.680	3.320	3.340	3.303	
3.322	3.606	3.320	3.340	3.303	
3.322	3.324	3.320	3.340	3.303	
3.322	3.428	3.320	3.340	3.303	
3.322	3.724	3.320	3.340	3.303	
3.322	3.628	3.320	3.340	3.303	
3.322	3.335	3.320	3.340	3.303	
3.322	3.335	3.320	3.191	3.303	
3.322	3.335	3.320	3.606	3.303	
3.322	3.335	3.320	3.324	3.303	
3.322	3.335	3.320	3.428	3.303	
3.322	3.335	3.320	3.724	3.303	
3.322	3.335	3.320	3.628	3.303	
3.322	3.335	3.320	3.580	3.303	
3.322	3.335	3.320	3.556	3.303	
3.322	3.335	3.320	3.544	3.303	
3.322	3.335	3.320	3.538	3.303	
3.322	3.335	3.320	3.535	3.303	
3.322	3.335	3.320	3.533	3.303	
3.322	3.335	3.320	3.287	3.303	
3.322	3.335	3.320	3.410	3.303	
3.322	3.335	3.320	3.715	3.303	
3.322	3.335	3.320	3.623	3.303	
3.322	3.335	3.320	3.578	3.303	
3.322	3.335	3.320	3.555	3.303	
3.322	3.335	3.320	3.543	3.303	
3.322	3.335	3.320	3.292	3.303	
3.322	3.335	3.320	3.412	3.303	
3.322	3.335	3.320	3.717	3.303	
3.322	3.335	3.320	3.624	3.303	
3.322	3.335	3.320	3.578	3.303	
3.322	3.335	3.320	3.555	3.303	
3.322	3.335	3.320	3.298	3.303	
3.322	3.335	3.320	3.415	3.303	
3.322	3.335	3.320	3.473	3.303	
3.322	3.335	3.320	3.502	3.303	
3.322	3.335	3.320	3.272	3.303	
3.322	3.335	3.320	3.402	3.303	
3.322	3.335	3.320	3.467	3.303	
3.322	3.335	3.320	3.499	3.303	
3.322	3.335	3.320	3.270	3.303	
3.322	3.335	3.320	3.401	3.303	
3.322	3.335	3.320	3.466	3.303	
3.322	3.335	3.320	3.254	3.303	
3.322	3.335	3.320	3.393	3.303	
3.322	3.335	3.320	3.462	3.303	
3.322	3.335	3.320	3.497	3.303	
3.322	3.335	3.320	3.269	3.303	
3.322	3.335	3.320	3.400	3.303	
3.322	3.335	3.320	3.466	3.303	
3.322	3.335	3.320	3.254	3.303	
3.322	3.335	3.320	3.393	3.303	
3.322	3.335	3.320	3.462	3.303	
3.322	3.335	3.320	3.497	3.303	
3.322	3.335	3.320	3.269	3.303	
3.322	3.335	3.320	3.400	3.303	
3.322	3.335	3.320	3.466	3.303	
3.322	3.335	3.320	3.254	3.303	
3.322	3.335	3.320	3.393	3.303	
3.322	3.335	3.320	3.462	3.303	
3.322	3.335	3.320	3.497	3.303	
3.322	3.335	3.320	3.269	3.303	
3.322	3.335	3.320	3.400	3.303	
3.322	3.335	3.320	3.466	3.303	
3.322	3.335	3.320	3.254	3.303	
3.322	3.335	3.320	3.393	3.303	
3.322	3.335	3.320	3.462	3.303	
3.322	3.335	3.320	3.252	3.303	
3.322	3.335	3.320	3.392	3.303	
3.322	3.335	3.320	3.462	3.303	
3.322	3.335	3.320	3.252	3.303	
3.322	3.335	3.320	3.392	3.303	
3.322	3.335	3.320	3.462	3.303	
3.322	3.335	3.320	3.252	3.303	
3.322	3.335	3.320	3.392	3.303	
3.322	3.335	3.320	3.462	3.303	
3.322	3.335	3.320	3.252	3.303	
3.322	3.335	3.320	3.392	3.303	
3.322	3.335	3.320	3.462	3.303	
3.322	3.335	3.320	3.252	3.303	
3.322	3.335	3.320	3.392	3.303	
3.322	3.335	3.320	3.462	3.303	
3.322	3.335	3.320	3.252	3.303	
3.322	3.335	3.320	3.392	3.303	
3.322	3.335	3.320	3.462	3.303	
3.322	3.335	3.320	3.252	3.303	
3.322	3.335	3.320	3.392	3.303	
3.322	3.335	3.320	3.462	3.303	
3.322	3.335	3.320	3.252	3.303	
3.322	3.335	3.320	3.392	3.303	
3.322	3.335	3.320	3.217	3.303	
3.322	3.335	3.320	3.374	3.303	
3.322	3.335	3.320	3.453	3.303	
3.322	3.335	3.320	3.247	3.303	
3.322	3.335	3.320	3.389	3.303	
3.322	3.335	3.320	3.216	3.303	
3.322	3.335	3.320	3.374	3.303	
3.322	3.335	3.320	3.453	3.303	
3.322	3.335	3.320	3.247	3.303	
3.322	3.335	3.320	3.389	3.303	
3.322	3.335	3.320	3.216	3.303	
3.322	3.335	3.320	3.374	3.303	
3.322	3.335	3.320	3.208	3.303	
3.322	3.335	3.320	3.370	3.303	
3.322	3.335	3.320	3.206	3.303	
3.322	3.335	3.320	3.369	3.303	
3.322	3.335	3.320	3.205	3.303	
3.322	3.335	3.320	3.368	3.303	
3.322	3.335	3.320	3.205	3.303	
3.322	3.335	3.320	3.368	3.303	
3.322	3.335	3.320	3.205	3.303	
3.322	3.335	3.320	3.368	3.303	
3.322	3.335	3.320	3.205	3.303	
3.322	3.335	3.320	3.368	3.303	
3.322	3.335	3.320	3.205	3.303	
3.322	3.335	3.320	3.368	3.303	
3.322	3.335	3.320	3.205	3.303	
3.322	3.335	3.320	3.368	3.303	
3.322	3.335	3.320	3.205	3.303	
3.322	3.335	3.320	3.368	3.303	
3.322	3.335	3.320	3.450	3.303	
3.322	3.335	3.320	3.246	3.303	
3.322	3.335	3.320	3.389	3.303	
3.322	3.335	3.320	3.215	3.303	
3.322	3.335	3.320	3.373	3.303	
3.322	3.335	3.320	3.208	3.303	
3.322	3.335	3.320	3.370	3.303	
3.322	3.335	3.320	3.451	3.303	
3.322	3.335	3.320	3.246	3.303	
3.322	3.335	3.320	3.389	3.303	
3.322	3.335	3.320	3.215	3.303	
