Server_0D	Server_0	Server_07	Server_0A	Server_01	
3.776	4.000	3.616	3.159	3.517	
4.143	4.000	3.616	3.159	3.517	
4.327	4.000	3.616	3.159	3.517	
4.174	4.000	3.616	3.159	3.517	
4.098	4.000	3.616	3.159	3.517	
4.059	4.000	3.616	3.159	3.517	
4.040	4.000	3.616	3.159	3.517	
4.031	4.000	3.616	3.159	3.517	
4.026	4.000	3.616	3.159	3.517	
4.024	4.000	3.616	3.159	3.517	
4.022	4.000	3.616	3.159	3.517	
4.022	4.000	3.616	3.159	3.517	
3.777	4.000	3.616	3.159	3.517	
3.899	4.000	3.616	3.159	3.517	
3.960	4.000	3.616	3.159	3.517	
3.991	4.000	3.616	3.159	3.517	
4.006	4.000	3.616	3.159	3.517	
4.014	4.000	3.616	3.159	3.517	
3.773	4.000	3.616	3.159	3.517	
3.897	4.000	3.616	3.159	3.517	
4.204	4.000	3.616	3.159	3.517	
4.112	4.000	3.616	3.159	3.517	
3.822	4.000	3.616	3.159	3.517	
3.922	4.000	3.616	3.159	3.517	
3.922	3.766	3.616	3.159	3.517	
3.482	3.766	3.616	3.159	3.517	
3.482	3.649	3.616	3.159	3.517	
3.482	3.590	3.616	3.159	3.517	
3.482	3.590	3.329	3.159	3.517	
3.482	3.561	3.329	3.159	3.517	
3.482	3.546	3.329	3.159	3.517	
3.482	3.294	3.329	3.159	3.517	
3.482	3.294	3.329	3.159	3.279	
3.482	3.294	3.329	3.159	3.650	
3.482	3.294	3.329	3.159	3.836	
3.482	3.294	3.329	3.159	3.928	
3.482	3.294	3.329	3.159	3.730	
3.482	3.294	3.329	3.159	3.876	
3.482	3.294	3.329	3.159	3.704	
3.482	3.294	3.329	3.159	3.618	
3.482	3.294	3.329	3.159	3.575	
3.482	3.294	3.329	3.159	3.798	
3.482	3.294	3.329	3.159	3.910	
3.482	3.294	3.329	3.159	3.721	
3.482	3.294	3.329	3.159	3.871	
3.482	3.294	3.329	3.159	3.701	
3.482	3.294	3.329	3.159	3.616	
3.482	3.294	3.329	3.159	3.574	
3.482	3.294	3.329	3.159	3.798	
3.482	3.294	3.329	3.159	3.665	
3.482	3.294	3.329	3.159	3.353	
3.482	3.294	3.329	3.159	3.687	
3.482	3.294	3.329	3.159	3.609	
3.482	3.294	3.329	3.159	3.570	
3.482	3.294	3.329	3.159	3.551	
3.482	3.294	3.329	3.159	3.541	
3.482	3.294	3.329	3.159	3.536	
3.482	3.294	3.329	3.159	3.534	
3.482	3.294	3.329	3.159	3.288	
3.482	3.294	3.329	3.159	3.655	
3.482	3.294	3.329	3.159	3.593	
3.482	3.294	3.329	3.159	3.317	
3.482	3.294	3.329	3.159	3.669	
3.482	3.294	3.329	3.159	3.600	
3.482	3.294	3.329	3.159	3.321	
3.482	3.294	3.329	3.159	3.671	
3.482	3.294	3.329	3.159	3.601	
3.482	3.294	3.329	3.159	3.566	
3.482	3.294	3.329	3.159	3.304	
3.482	3.294	3.329	3.159	3.663	
3.482	3.294	3.329	3.159	3.597	
3.482	3.294	3.329	3.159	3.319	
3.482	3.294	3.329	3.159	3.426	
3.482	3.294	3.329	3.159	3.723	
3.482	3.294	3.329	3.159	3.627	
3.482	3.294	3.329	3.159	3.580	
3.482	3.294	3.329	3.159	3.311	
3.482	3.294	3.329	3.159	3.421	
3.482	3.294	3.329	3.159	3.721	
3.482	3.294	3.329	3.159	3.626	
3.482	3.294	3.329	3.159	3.334	
3.482	3.294	3.329	3.159	3.433	
3.482	3.294	3.329	3.159	3.727	
3.482	3.294	3.329	3.159	3.629	
3.482	3.294	3.329	3.159	3.336	
3.262	3.294	3.329	3.159	3.336	
3.397	3.294	3.329	3.159	3.336	
3.709	3.294	3.329	3.159	3.336	
3.620	3.294	3.329	3.159	3.336	
3.331	3.294	3.329	3.159	3.336	
3.676	3.294	3.329	3.159	3.336	
3.604	3.294	3.329	3.159	3.336	
3.568	3.294	3.329	3.159	3.336	
3.305	3.294	3.329	3.159	3.336	
3.305	3.294	3.329	3.159	3.189	
3.305	3.294	3.329	3.159	3.360	
3.305	3.294	3.329	3.159	3.446	
3.305	3.294	3.329	3.159	3.489	
3.305	3.294	3.329	3.159	3.510	
3.305	3.294	3.329	3.159	3.521	
3.305	3.294	3.329	3.159	3.281	
3.305	3.294	3.329	3.159	3.406	
3.305	3.294	3.329	3.159	3.224	
3.305	3.294	3.329	3.159	3.378	
3.305	3.294	3.329	3.159	3.455	
3.305	3.294	3.329	3.159	3.248	
3.305	3.294	3.329	3.159	3.390	
3.305	3.294	3.329	3.159	3.461	
3.305	3.294	3.329	3.159	3.251	
3.305	3.294	3.329	3.159	3.391	
3.305	3.294	3.329	3.159	3.462	
3.305	3.294	3.329	3.159	3.252	
3.305	3.294	3.329	3.159	3.392	
3.305	3.294	3.329	3.159	3.217	
3.305	3.294	3.329	3.159	3.374	
3.305	3.294	3.329	3.159	3.208	
3.305	3.294	3.329	3.159	3.370	
3.305	3.294	3.329	3.159	3.206	
3.305	3.294	3.329	3.159	3.369	
3.305	3.294	3.329	3.159	3.450	
3.305	3.294	3.329	3.159	3.246	
3.305	3.294	3.329	3.159	3.389	
3.305	3.294	3.329	3.159	3.215	
3.305	3.294	3.329	3.159	3.373	
3.305	3.294	3.329	3.159	3.208	
3.305	3.294	3.329	3.159	3.370	
3.305	3.294	3.329	3.159	3.206	
3.305	3.294	3.329	3.159	3.369	
3.305	3.294	3.329	3.159	3.450	
3.305	3.294	3.329	3.159	3.246	
3.305	3.294	3.329	3.159	3.389	
3.305	3.294	3.329	3.159	3.215	
3.305	3.294	3.329	3.159	3.373	
3.305	3.294	3.329	3.159	3.208	
3.305	3.294	3.329	3.159	3.370	
3.305	3.294	3.329	3.159	3.206	
3.305	3.294	3.329	3.159	3.369	
3.305	3.294	3.329	3.159	3.205	
