Server_0E	Server_0	Server_07	Server_01	Server_04	
3.776	4.000	3.970	3.032	3.008	
3.899	4.000	3.970	3.032	3.008	
3.899	3.766	3.970	3.032	3.008	
3.899	3.766	3.751	3.032	3.008	
3.899	3.766	3.886	3.032	3.008	
3.715	3.766	3.886	3.032	3.008	
3.715	3.766	3.709	3.032	3.008	
3.715	3.649	3.709	3.032	3.008	
3.378	3.649	3.709	3.032	3.008	
3.378	3.649	3.620	3.032	3.008	
3.378	3.590	3.620	3.032	3.008	
3.378	3.590	3.576	3.032	3.008	
3.378	3.561	3.576	3.032	3.008	
3.378	3.561	3.554	3.032	3.008	
3.378	3.546	3.554	3.032	3.008	
3.378	3.546	3.543	3.032	3.008	
3.378	3.539	3.543	3.032	3.008	
3.378	3.539	3.537	3.032	3.008	
3.378	3.535	3.537	3.032	3.008	
3.378	3.778	3.537	3.032	3.008	
3.378	3.655	3.537	3.032	3.008	
3.378	3.593	3.537	3.032	3.008	
3.378	3.562	3.537	3.032	3.008	
3.378	3.302	3.537	3.032	3.008	
3.378	3.302	3.289	3.032	3.008	
3.378	3.302	3.655	3.032	3.008	
3.378	3.302	3.349	3.032	3.008	
3.378	3.302	3.685	3.032	3.008	
3.378	3.302	3.608	3.032	3.008	
3.378	3.302	3.815	3.032	3.008	
3.378	3.302	3.673	3.032	3.008	
3.378	3.302	3.602	3.032	3.008	
3.378	3.302	3.567	3.032	3.008	
3.378	3.302	3.549	3.032	3.008	
3.378	3.302	3.540	3.032	3.008	
3.378	3.302	3.536	3.032	3.008	
3.378	3.302	3.534	3.032	3.008	
3.378	3.302	3.533	3.032	3.008	
3.378	3.302	3.532	3.032	3.008	
3.378	3.302	3.287	3.032	3.008	
3.378	3.302	3.654	3.032	3.008	
3.378	3.302	3.593	3.032	3.008	
3.378	3.302	3.562	3.032	3.008	
3.378	3.302	3.302	3.032	3.008	
3.378	3.302	3.662	3.032	3.008	
3.378	3.302	3.597	3.032	3.008	
3.378	3.302	3.319	3.032	3.008	
