Server_0E	Server_0	Server_0B	Server_0F	Server_06	
3.776	4.000	3.187	3.374	3.247	
4.143	4.000	3.187	3.374	3.247	
4.082	4.000	3.187	3.374	3.247	
4.052	4.000	3.187	3.374	3.247	
4.036	4.000	3.187	3.374	3.247	
4.029	4.000	3.187	3.374	3.247	
3.780	4.000	3.187	3.374	3.247	
3.901	4.000	3.187	3.374	3.247	
3.961	4.000	3.187	3.374	3.247	
3.991	4.000	3.187	3.374	3.247	
4.006	4.000	3.187	3.374	3.247	
4.014	4.000	3.187	3.374	3.247	
4.017	4.000	3.187	3.374	3.247	
3.775	4.000	3.187	3.374	3.247	
3.898	4.000	3.187	3.374	3.247	
3.960	4.000	3.187	3.374	3.247	
3.990	4.000	3.187	3.374	3.247	
3.990	3.766	3.187	3.374	3.247	
3.761	3.766	3.187	3.374	3.247	
3.761	3.649	3.187	3.374	3.247	
3.646	3.649	3.187	3.374	3.247	
3.834	3.649	3.187	3.374	3.247	
3.683	3.649	3.187	3.374	3.247	
3.852	3.649	3.187	3.374	3.247	
3.692	3.649	3.187	3.374	3.247	
3.856	3.649	3.187	3.374	3.247	
3.694	3.649	3.187	3.374	3.247	
3.858	3.649	3.187	3.374	3.247	
3.695	3.649	3.187	3.374	3.247	
3.858	3.649	3.187	3.374	3.247	
3.940	3.649	3.187	3.374	3.247	
3.736	3.649	3.187	3.374	3.247	
3.878	3.649	3.187	3.374	3.247	
3.950	3.649	3.187	3.374	3.247	
3.741	3.649	3.187	3.374	3.247	
3.636	3.649	3.187	3.374	3.247	
3.829	3.649	3.187	3.374	3.247	
3.680	3.649	3.187	3.374	3.247	
3.851	3.649	3.187	3.374	3.247	
3.691	3.649	3.187	3.374	3.247	
3.856	3.649	3.187	3.374	3.247	
3.694	3.649	3.187	3.374	3.247	
3.613	3.649	3.187	3.374	3.247	
3.817	3.649	3.187	3.374	3.247	
3.674	3.649	3.187	3.374	3.247	
3.603	3.649	3.187	3.374	3.247	
3.812	3.649	3.187	3.374	3.247	
3.672	3.649	3.187	3.374	3.247	
3.602	3.649	3.187	3.374	3.247	
3.602	3.590	3.187	3.374	3.247	
3.322	3.590	3.187	3.374	3.247	
3.671	3.590	3.187	3.374	3.247	
3.602	3.590	3.187	3.374	3.247	
3.567	3.590	3.187	3.374	3.247	
3.567	3.561	3.187	3.374	3.247	
3.304	3.561	3.187	3.374	3.247	
3.304	3.546	3.187	3.374	3.247	
3.304	3.784	3.187	3.374	3.247	
3.304	3.413	3.187	3.374	3.247	
3.304	3.472	3.187	3.374	3.247	
3.304	3.502	3.187	3.374	3.247	
3.304	3.272	3.187	3.374	3.247	
3.304	3.402	3.187	3.374	3.247	
3.304	3.711	3.187	3.374	3.247	
3.304	3.622	3.187	3.374	3.247	
3.304	3.332	3.187	3.374	3.247	
3.304	3.432	3.187	3.374	3.247	
3.304	3.726	3.187	3.374	3.247	
3.304	3.384	3.187	3.374	3.247	
3.304	3.213	3.187	3.374	3.247	
