Server_0E	Server_0	Server_01	Server_02	Server_0F	
3.776	4.000	3.932	3.850	3.618	
3.899	4.000	3.932	3.850	3.618	
3.960	4.000	3.932	3.850	3.618	
3.991	4.000	3.932	3.850	3.618	
4.006	4.000	3.932	3.850	3.618	
4.014	4.000	3.932	3.850	3.618	
4.017	4.000	3.932	3.850	3.618	
3.774	4.000	3.932	3.850	3.618	
3.898	4.000	3.932	3.850	3.618	
3.960	4.000	3.932	3.850	3.618	
3.990	4.000	3.932	3.850	3.618	
4.006	4.000	3.932	3.850	3.618	
4.013	4.000	3.932	3.850	3.618	
3.773	4.000	3.932	3.850	3.618	
3.897	4.000	3.932	3.850	3.618	
3.959	4.000	3.932	3.850	3.618	
3.990	4.000	3.932	3.850	3.618	
4.006	4.000	3.932	3.850	3.618	
4.013	4.000	3.932	3.850	3.618	
3.773	4.000	3.932	3.850	3.618	
3.897	4.000	3.932	3.850	3.618	
3.897	3.766	3.932	3.850	3.618	
3.897	3.766	3.732	3.850	3.618	
3.714	3.766	3.732	3.850	3.618	
3.868	3.766	3.732	3.850	3.618	
3.700	3.766	3.732	3.850	3.618	
3.700	3.766	3.732	3.691	3.618	
3.700	3.766	3.732	3.856	3.618	
3.700	3.766	3.732	4.183	3.618	
3.700	3.766	3.732	3.857	3.618	
3.700	3.766	3.732	3.939	3.618	
3.700	3.766	3.732	3.735	3.618	
3.700	3.766	3.732	3.878	3.618	
3.700	3.766	3.732	3.705	3.618	
3.700	3.766	3.732	3.863	3.618	
3.700	3.766	3.732	3.697	3.618	
3.700	3.766	3.732	3.859	3.618	
3.700	3.766	3.732	3.940	3.618	
3.700	3.766	3.732	3.736	3.618	
3.700	3.649	3.732	3.736	3.618	
3.700	3.835	3.732	3.736	3.618	
3.700	3.683	3.732	3.736	3.618	
3.700	3.683	3.732	3.634	3.618	
3.700	3.683	3.632	3.634	3.618	
3.700	3.683	3.826	3.634	3.618	
3.700	3.683	3.679	3.634	3.618	
3.616	3.683	3.679	3.634	3.618	
3.616	3.607	3.679	3.634	3.618	
3.616	3.814	3.679	3.634	3.618	
3.616	3.673	3.679	3.634	3.618	
