Server_0E	Server_0	Server_0C	Server_0B	Server_0F	
3.776	4.000	3.746	3.246	3.997	
3.776	3.766	3.746	3.246	3.997	
3.776	3.766	3.746	3.246	3.764	
3.654	3.766	3.746	3.246	3.764	
3.654	3.649	3.746	3.246	3.764	
3.654	3.649	3.746	3.246	3.648	
3.654	3.649	3.639	3.246	3.648	
3.593	3.649	3.639	3.246	3.648	
3.593	3.590	3.639	3.246	3.648	
3.593	3.590	3.639	3.246	3.345	
3.593	3.590	3.585	3.246	3.345	
3.562	3.590	3.585	3.246	3.345	
3.562	3.561	3.585	3.246	3.345	
3.562	3.561	3.313	3.246	3.345	
3.547	3.561	3.313	3.246	3.345	
3.547	3.301	3.313	3.246	3.345	
3.539	3.301	3.313	3.246	3.345	
3.535	3.301	3.313	3.246	3.345	
3.534	3.301	3.313	3.246	3.345	
3.533	3.301	3.313	3.246	3.345	
3.532	3.301	3.313	3.246	3.345	
3.532	3.301	3.313	3.246	3.345	
3.287	3.301	3.313	3.246	3.345	
3.287	3.301	3.313	3.246	3.193	
3.287	3.301	3.313	3.246	3.607	
3.287	3.301	3.313	3.246	3.569	
3.287	3.301	3.313	3.246	3.551	
3.287	3.301	3.313	3.246	3.296	
3.287	3.301	3.313	3.246	3.414	
3.287	3.301	3.313	3.246	3.718	
3.287	3.301	3.313	3.246	3.625	
3.287	3.301	3.313	3.246	3.333	
3.287	3.301	3.313	3.246	3.432	
3.287	3.301	3.313	3.246	3.482	
3.287	3.301	3.313	3.246	3.752	
3.287	3.301	3.313	3.246	3.397	
3.287	3.301	3.313	3.246	3.464	
3.287	3.301	3.313	3.246	3.498	
3.287	3.301	3.313	3.246	3.515	
3.287	3.301	3.313	3.246	3.768	
3.287	3.301	3.313	3.246	3.405	
3.287	3.301	3.313	3.246	3.468	
3.287	3.301	3.313	3.246	3.255	
3.287	3.301	3.313	3.246	3.393	
3.287	3.301	3.313	3.246	3.707	
3.287	3.301	3.313	3.246	3.619	
3.287	3.301	3.313	3.246	3.331	
3.287	3.301	3.313	3.246	3.186	
3.287	3.301	3.313	3.246	3.604	
3.287	3.301	3.313	3.246	3.568	
3.287	3.301	3.313	3.246	3.305	
3.287	3.301	3.313	3.246	3.663	
3.287	3.301	3.313	3.246	3.597	
3.287	3.301	3.313	3.246	3.564	
3.287	3.301	3.313	3.246	3.548	
3.287	3.301	3.313	3.246	3.295	
3.287	3.301	3.313	3.246	3.413	
3.287	3.301	3.313	3.246	3.717	
3.287	3.301	3.313	3.246	3.380	
3.287	3.301	3.313	3.246	3.456	
3.287	3.301	3.313	3.246	3.738	
3.287	3.301	3.313	3.246	3.635	
3.287	3.301	3.313	3.246	3.583	
3.287	3.301	3.313	3.246	3.313	
3.287	3.301	3.313	3.246	3.422	
3.287	3.301	3.313	3.246	3.722	
3.287	3.301	3.313	3.246	3.627	
3.287	3.301	3.313	3.246	3.334	
3.287	3.301	3.313	3.246	3.433	
3.287	3.301	3.313	3.246	3.482	
3.287	3.301	3.313	3.246	3.507	
3.287	3.301	3.313	3.246	3.274	
3.287	3.301	3.313	3.246	3.648	
