Server_0E	Server_0	Server_06	Server_0B	Server_0C	
3.776	4.000	3.884	3.840	3.926	
3.899	4.000	3.884	3.840	3.926	
3.960	4.000	3.884	3.840	3.926	
3.991	4.000	3.884	3.840	3.926	
4.006	4.000	3.884	3.840	3.926	
4.014	4.000	3.884	3.840	3.926	
4.017	4.000	3.884	3.840	3.926	
4.019	4.000	3.884	3.840	3.926	
4.020	4.000	3.884	3.840	3.926	
3.776	4.000	3.884	3.840	3.926	
3.899	4.000	3.884	3.840	3.926	
3.960	4.000	3.884	3.840	3.926	
3.991	4.000	3.884	3.840	3.926	
4.006	4.000	3.884	3.840	3.926	
4.014	4.000	3.884	3.840	3.926	
4.017	4.000	3.884	3.840	3.926	
3.774	4.000	3.884	3.840	3.926	
3.898	4.000	3.884	3.840	3.926	
3.960	4.000	3.884	3.840	3.926	
3.960	3.766	3.884	3.840	3.926	
3.746	3.766	3.884	3.840	3.926	
3.746	3.766	3.884	3.840	3.729	
3.746	3.766	3.708	3.840	3.729	
3.746	3.766	4.109	3.840	3.729	
3.746	3.766	4.065	3.840	3.729	
3.746	3.766	3.798	3.840	3.729	
3.746	3.766	3.910	3.840	3.729	
3.746	3.766	3.721	3.840	3.729	
3.746	3.766	3.721	3.686	3.729	
3.746	3.649	3.721	3.686	3.729	
3.394	3.649	3.721	3.686	3.729	
3.707	3.649	3.721	3.686	3.729	
3.864	3.649	3.721	3.686	3.729	
3.943	3.649	3.721	3.686	3.729	
3.737	3.649	3.721	3.686	3.729	
3.634	3.649	3.721	3.686	3.729	
3.828	3.649	3.721	3.686	3.729	
3.924	3.649	3.721	3.686	3.729	
3.728	3.649	3.721	3.686	3.729	
3.728	3.649	3.721	3.686	3.630	
3.728	3.649	3.721	3.686	3.826	
3.728	3.649	3.721	3.686	3.679	
3.630	3.649	3.721	3.686	3.679	
3.630	3.649	3.626	3.686	3.679	
3.630	3.649	3.824	3.686	3.679	
3.630	3.649	3.678	3.686	3.679	
3.630	3.649	3.849	3.686	3.679	
3.630	3.649	3.690	3.686	3.679	
3.630	3.649	3.611	3.686	3.679	
3.630	3.649	3.611	3.609	3.679	
3.630	3.649	3.611	3.609	3.605	
3.630	3.345	3.611	3.609	3.605	
3.630	3.683	3.611	3.609	3.605	
3.630	3.607	3.611	3.609	3.605	
3.336	3.607	3.611	3.609	3.605	
3.336	3.607	3.326	3.609	3.605	
3.336	3.607	3.326	3.570	3.605	
3.336	3.607	3.326	3.796	3.605	
3.336	3.607	3.326	3.908	3.605	
3.336	3.607	3.326	3.475	3.605	
3.336	3.569	3.326	3.475	3.605	
3.336	3.569	3.326	3.475	3.323	
3.336	3.569	3.326	3.475	3.672	
3.336	3.569	3.326	3.475	3.357	
3.336	3.551	3.326	3.475	3.357	
3.336	3.296	3.326	3.475	3.357	
3.336	3.659	3.326	3.475	3.357	
3.336	3.595	3.326	3.475	3.357	
3.336	3.318	3.326	3.475	3.357	
3.336	3.670	3.326	3.475	3.357	
3.336	3.601	3.326	3.475	3.357	
3.336	3.321	3.326	3.475	3.357	
3.336	3.426	3.326	3.475	3.357	
3.336	3.479	3.326	3.475	3.357	
3.336	3.750	3.326	3.475	3.357	
