Server_0E	Server_0	Server_08	Server_0F	Server_0A	
3.776	4.000	3.533	3.031	3.438	
3.776	3.766	3.533	3.031	3.438	
3.409	3.766	3.533	3.031	3.438	
3.409	3.649	3.533	3.031	3.438	
3.409	3.590	3.533	3.031	3.438	
3.409	3.561	3.533	3.031	3.438	
3.409	3.546	3.533	3.031	3.438	
3.409	3.539	3.533	3.031	3.438	
3.409	3.535	3.533	3.031	3.438	
3.409	3.533	3.533	3.031	3.438	
3.409	3.533	3.533	3.031	3.438	
3.409	3.533	3.532	3.031	3.438	
3.409	3.532	3.532	3.031	3.438	
3.409	3.532	3.532	3.031	3.438	
3.409	3.532	3.532	3.031	3.438	
3.409	3.532	3.532	3.031	3.438	
3.409	3.532	3.532	3.031	3.438	
3.409	3.532	3.532	3.031	3.438	
3.409	3.532	3.532	3.031	3.438	
3.409	3.532	3.532	3.031	3.438	
3.409	3.532	3.532	3.031	3.438	
3.409	3.532	3.287	3.031	3.438	
3.409	3.532	3.287	3.031	3.438	
3.409	3.287	3.287	3.031	3.438	
3.409	3.409	3.287	3.031	3.438	
3.409	3.715	3.287	3.031	3.438	
3.409	3.378	3.287	3.031	3.438	
3.409	3.455	3.287	3.031	3.438	
3.409	3.493	3.287	3.031	3.438	
3.409	3.268	3.287	3.031	3.438	
3.409	3.268	3.287	3.031	3.240	
3.409	3.268	3.287	3.031	3.386	
3.409	3.268	3.287	3.031	3.459	
3.409	3.268	3.287	3.031	3.740	
3.409	3.268	3.287	3.031	3.636	
3.409	3.268	3.287	3.031	3.339	
3.409	3.268	3.287	3.031	3.435	
3.409	3.268	3.287	3.031	3.728	
3.409	3.268	3.287	3.031	3.630	
3.409	3.268	3.287	3.031	3.581	
3.409	3.268	3.287	3.031	3.556	
3.409	3.268	3.287	3.031	3.299	
3.409	3.268	3.287	3.031	3.415	
3.409	3.268	3.287	3.031	3.718	
3.409	3.268	3.287	3.031	3.625	
3.409	3.268	3.287	3.031	3.333	
3.409	3.268	3.287	3.031	3.677	
3.409	3.268	3.287	3.031	3.604	
3.409	3.268	3.287	3.031	3.568	
3.409	3.268	3.287	3.031	3.305	
3.225	3.268	3.287	3.031	3.305	
3.379	3.268	3.287	3.031	3.305	
3.700	3.268	3.287	3.031	3.305	
3.371	3.268	3.287	3.031	3.305	
3.451	3.268	3.287	3.031	3.305	
3.736	3.268	3.287	3.031	3.305	
3.634	3.268	3.287	3.031	3.305	
3.583	3.268	3.287	3.031	3.305	
3.312	3.268	3.287	3.031	3.305	
3.177	3.268	3.287	3.031	3.305	
3.599	3.268	3.287	3.031	3.305	
3.565	3.268	3.287	3.031	3.305	
3.304	3.268	3.287	3.031	3.305	
3.662	3.268	3.287	3.031	3.305	
3.597	3.268	3.287	3.031	3.305	
3.319	3.268	3.287	3.031	3.305	
3.181	3.268	3.287	3.031	3.305	
3.601	3.268	3.287	3.031	3.305	
3.566	3.268	3.287	3.031	3.305	
3.304	3.268	3.287	3.031	3.305	
3.418	3.268	3.287	3.031	3.305	
3.719	3.268	3.287	3.031	3.305	
3.626	3.268	3.287	3.031	3.305	
3.334	3.268	3.287	3.031	3.305	
3.433	3.268	3.287	3.031	3.305	
3.727	3.268	3.287	3.031	3.305	
3.629	3.268	3.287	3.031	3.305	
3.580	3.268	3.287	3.031	3.305	
3.556	3.268	3.287	3.031	3.305	
3.544	3.268	3.287	3.031	3.305	
3.538	3.268	3.287	3.031	3.305	
3.290	3.268	3.287	3.031	3.305	
3.655	3.268	3.287	3.031	3.305	
3.594	3.268	3.287	3.031	3.305	
3.563	3.268	3.287	3.031	3.305	
3.547	3.268	3.287	3.031	3.305	
3.294	3.268	3.287	3.031	3.305	
3.413	3.268	3.287	3.031	3.305	
3.472	3.268	3.287	3.031	3.305	
3.747	3.268	3.287	3.031	3.305	
3.639	3.268	3.287	3.031	3.305	
3.585	3.268	3.287	3.031	3.305	
3.314	3.268	3.287	3.031	3.305	
3.423	3.268	3.287	3.031	3.305	
3.722	3.268	3.287	3.031	3.305	
3.627	3.268	3.287	3.031	3.305	
3.579	3.268	3.287	3.031	3.305	
3.555	3.268	3.287	3.031	3.305	
3.543	3.268	3.287	3.031	3.305	
3.293	3.268	3.287	3.031	3.305	
3.412	3.268	3.287	3.031	3.305	
3.717	3.268	3.287	3.031	3.305	
3.624	3.268	3.287	3.031	3.305	
3.333	3.268	3.287	3.031	3.305	
3.677	3.268	3.287	3.031	3.305	
3.604	3.268	3.287	3.031	3.305	
3.323	3.268	3.287	3.031	3.305	
3.427	3.268	3.287	3.031	3.305	
3.479	3.268	3.287	3.031	3.305	
3.261	3.268	3.287	3.031	3.305	
3.641	3.268	3.287	3.031	3.305	
3.586	3.268	3.287	3.031	3.305	
3.314	3.268	3.287	3.031	3.305	
3.668	3.268	3.287	3.031	3.305	
3.600	3.268	3.287	3.031	3.305	
3.566	3.268	3.287	3.031	3.305	
3.549	3.268	3.287	3.031	3.305	
3.295	3.268	3.287	3.031	3.305	
3.413	3.268	3.287	3.031	3.305	
3.472	3.268	3.287	3.031	3.305	
3.502	3.268	3.287	3.031	3.305	
3.517	3.268	3.287	3.031	3.305	
3.279	3.268	3.287	3.031	3.305	
3.650	3.268	3.287	3.031	3.305	
3.836	3.268	3.287	3.031	3.305	
3.684	3.268	3.287	3.031	3.305	
3.608	3.268	3.287	3.031	3.305	
3.570	3.268	3.287	3.031	3.305	
3.795	3.268	3.287	3.031	3.305	
3.663	3.268	3.287	3.031	3.305	
3.598	3.268	3.287	3.031	3.305	
3.565	3.268	3.287	3.031	3.305	
3.548	3.268	3.287	3.031	3.305	
3.785	3.268	3.287	3.031	3.305	
3.658	3.268	3.287	3.031	3.305	
3.595	3.268	3.287	3.031	3.305	
3.563	3.268	3.287	3.031	3.305	
3.547	3.268	3.287	3.031	3.305	
3.784	3.268	3.287	3.031	3.305	
3.658	3.268	3.287	3.031	3.305	
3.595	3.268	3.287	3.031	3.305	
3.563	3.268	3.287	3.031	3.305	
3.547	3.268	3.287	3.031	3.305	
3.539	3.268	3.287	3.031	3.305	
3.780	3.268	3.287	3.031	3.305	
3.656	3.268	3.287	3.031	3.305	
3.594	3.268	3.287	3.031	3.305	
3.563	3.268	3.287	3.031	3.305	
3.547	3.268	3.287	3.031	3.305	
3.539	3.268	3.287	3.031	3.305	
3.535	3.268	3.287	3.031	3.305	
3.778	3.268	3.287	3.031	3.305	
3.655	3.268	3.287	3.031	3.305	
3.593	3.268	3.287	3.031	3.305	
3.562	3.268	3.287	3.031	3.305	
3.547	3.268	3.287	3.031	3.305	
3.539	3.268	3.287	3.031	3.305	
3.535	3.268	3.287	3.031	3.305	
3.534	3.268	3.287	3.031	3.305	
3.777	3.268	3.287	3.031	3.305	
3.654	3.268	3.287	3.031	3.305	
3.593	3.268	3.287	3.031	3.305	
3.562	3.268	3.287	3.031	3.305	
3.547	3.268	3.287	3.031	3.305	
3.539	3.268	3.287	3.031	3.305	
3.535	3.268	3.287	3.031	3.305	
3.778	3.268	3.287	3.031	3.305	
3.655	3.268	3.287	3.031	3.305	
3.593	3.268	3.287	3.031	3.305	
3.562	3.268	3.287	3.031	3.305	
3.547	3.268	3.287	3.031	3.305	
3.539	3.268	3.287	3.031	3.305	
3.535	3.268	3.287	3.031	3.305	
3.534	3.268	3.287	3.031	3.305	
3.533	3.268	3.287	3.031	3.305	
3.532	3.268	3.287	3.031	3.305	
3.532	3.268	3.287	3.031	3.305	
3.777	3.268	3.287	3.031	3.305	
3.654	3.268	3.287	3.031	3.305	
3.593	3.268	3.287	3.031	3.305	
3.562	3.268	3.287	3.031	3.305	
3.547	3.268	3.287	3.031	3.305	
3.539	3.268	3.287	3.031	3.305	
3.291	3.268	3.287	3.031	3.305	
3.411	3.268	3.287	3.031	3.305	
3.471	3.268	3.287	3.031	3.305	
3.501	3.268	3.287	3.031	3.305	
3.272	3.268	3.287	3.031	3.305	
3.646	3.268	3.287	3.031	3.305	
3.589	3.268	3.287	3.031	3.305	
3.560	3.268	3.287	3.031	3.305	
3.546	3.268	3.287	3.031	3.305	
3.539	3.268	3.287	3.031	3.305	
3.535	3.268	3.287	3.031	3.305	
3.533	3.268	3.287	3.031	3.305	
3.288	3.268	3.287	3.031	3.305	
3.654	3.268	3.287	3.031	3.305	
3.348	3.268	3.287	3.031	3.305	
3.195	3.268	3.287	3.031	3.305	
3.608	3.268	3.287	3.031	3.305	
3.570	3.268	3.287	3.031	3.305	
3.551	3.268	3.287	3.031	3.305	
3.541	3.268	3.287	3.031	3.305	
3.536	3.268	3.287	3.031	3.305	
3.289	3.268	3.287	3.031	3.305	
3.410	3.268	3.287	3.031	3.305	
3.471	3.268	3.287	3.031	3.305	
3.501	3.268	3.287	3.031	3.305	
3.516	3.268	3.287	3.031	3.305	
3.769	3.268	3.287	3.031	3.305	
3.405	3.268	3.287	3.031	3.305	
3.468	3.268	3.287	3.031	3.305	
3.500	3.268	3.287	3.031	3.305	
3.271	3.268	3.287	3.031	3.305	
3.401	3.268	3.287	3.031	3.305	
3.466	3.268	3.287	3.031	3.305	
3.499	3.268	3.287	3.031	3.305	
3.270	3.268	3.287	3.031	3.305	
3.401	3.268	3.287	3.031	3.305	
3.466	3.268	3.287	3.031	3.305	
3.254	3.268	3.287	3.031	3.305	
3.393	3.268	3.287	3.031	3.305	
3.462	3.268	3.287	3.031	3.305	
3.252	3.268	3.287	3.031	3.305	
3.392	3.268	3.287	3.031	3.305	
3.462	3.268	3.287	3.031	3.305	
3.252	3.268	3.287	3.031	3.305	
3.392	3.268	3.287	3.031	3.305	
3.217	3.268	3.287	3.031	3.305	
3.374	3.268	3.287	3.031	3.305	
3.453	3.268	3.287	3.031	3.305	
3.247	3.268	3.287	3.031	3.305	
3.389	3.268	3.287	3.031	3.305	
3.461	3.268	3.287	3.031	3.305	
3.251	3.268	3.287	3.031	3.305	
3.391	3.268	3.287	3.031	3.305	
