Server_0E	Server_0	Server_0F	Server_0C	Server_02	
3.776	4.000	3.302	3.508	3.408	
3.776	3.521	3.302	3.508	3.408	
3.409	3.521	3.302	3.508	3.408	
3.470	3.521	3.302	3.508	3.408	
3.501	3.521	3.302	3.508	3.408	
3.501	3.281	3.302	3.508	3.408	
3.501	3.406	3.302	3.508	3.408	
3.501	3.406	3.302	3.275	3.408	
3.501	3.406	3.302	3.403	3.408	
3.501	3.406	3.302	3.467	3.408	
3.501	3.406	3.302	3.500	3.408	
3.271	3.406	3.302	3.500	3.408	
3.401	3.406	3.302	3.500	3.408	
3.467	3.406	3.302	3.500	3.408	
3.467	3.406	3.302	3.271	3.408	
3.467	3.406	3.302	3.401	3.408	
3.467	3.406	3.302	3.466	3.408	
3.254	3.406	3.302	3.466	3.408	
3.638	3.406	3.302	3.466	3.408	
3.585	3.406	3.302	3.466	3.408	
3.558	3.406	3.302	3.466	3.408	
3.300	3.406	3.302	3.466	3.408	
3.300	3.406	3.302	3.254	3.408	
3.300	3.406	3.302	3.393	3.408	
3.300	3.406	3.302	3.707	3.408	
3.300	3.406	3.302	3.374	3.408	
3.300	3.406	3.302	3.453	3.408	
3.300	3.406	3.302	3.737	3.408	
3.300	3.406	3.302	3.389	3.408	
3.300	3.406	3.302	3.389	3.225	
3.300	3.406	3.302	3.389	3.378	
3.300	3.406	3.302	3.389	3.455	
3.300	3.406	3.302	3.389	3.738	
3.300	3.406	3.302	3.389	3.635	
3.300	3.406	3.302	3.389	3.583	
3.300	3.406	3.302	3.389	3.557	
3.300	3.406	3.302	3.389	3.544	
3.300	3.406	3.302	3.389	3.293	
3.300	3.406	3.302	3.389	3.412	
3.300	3.406	3.302	3.389	3.717	
3.300	3.406	3.302	3.389	3.379	
3.300	3.406	3.302	3.389	3.455	
3.300	3.406	3.302	3.389	3.738	
3.300	3.406	3.302	3.389	3.635	
3.300	3.406	3.302	3.389	3.583	
3.300	3.406	3.302	3.389	3.313	
3.300	3.406	3.302	3.389	3.667	
3.300	3.406	3.302	3.389	3.599	
3.300	3.406	3.302	3.389	3.565	
3.300	3.406	3.302	3.389	3.549	
3.300	3.406	3.302	3.389	3.295	
3.300	3.406	3.302	3.389	3.413	
3.300	3.406	3.302	3.389	3.717	
3.300	3.406	3.302	3.389	3.380	
3.300	3.406	3.302	3.389	3.456	
3.300	3.406	3.302	3.389	3.494	
3.300	3.406	3.302	3.389	3.513	
3.300	3.406	3.302	3.389	3.767	
3.300	3.406	3.302	3.389	3.404	
3.300	3.406	3.302	3.389	3.468	
3.300	3.406	3.302	3.389	3.500	
3.300	3.406	3.302	3.389	3.271	
3.300	3.406	3.302	3.389	3.646	
3.300	3.406	3.302	3.389	3.589	
3.300	3.406	3.302	3.389	3.315	
3.300	3.406	3.302	3.389	3.423	
3.300	3.406	3.302	3.389	3.722	
3.300	3.406	3.302	3.389	3.382	
3.300	3.406	3.302	3.389	3.457	
3.300	3.406	3.302	3.389	3.494	
3.300	3.406	3.302	3.389	3.758	
3.300	3.406	3.302	3.389	3.645	
3.300	3.406	3.302	3.389	3.588	
3.300	3.406	3.302	3.389	3.560	
3.300	3.406	3.302	3.389	3.546	
3.300	3.406	3.302	3.389	3.539	
3.300	3.406	3.302	3.389	3.535	
3.300	3.406	3.302	3.389	3.288	
3.300	3.406	3.302	3.389	3.655	
3.300	3.406	3.302	3.389	3.593	
3.300	3.406	3.302	3.389	3.562	
3.300	3.406	3.302	3.389	3.547	
3.300	3.406	3.302	3.389	3.539	
3.300	3.406	3.302	3.389	3.291	
3.300	3.406	3.302	3.389	3.656	
3.300	3.406	3.302	3.389	3.594	
3.300	3.406	3.302	3.389	3.563	
3.300	3.406	3.302	3.389	3.547	
3.300	3.406	3.302	3.389	3.539	
3.300	3.406	3.302	3.389	3.291	
3.300	3.406	3.302	3.389	3.656	
3.300	3.406	3.302	3.389	3.594	
3.300	3.406	3.302	3.389	3.563	
3.300	3.406	3.302	3.389	3.547	
3.300	3.406	3.302	3.389	3.539	
3.300	3.406	3.302	3.389	3.535	
3.300	3.406	3.302	3.389	3.534	
3.300	3.406	3.302	3.389	3.288	
3.300	3.406	3.302	3.389	3.654	
3.300	3.406	3.302	3.389	3.593	
3.300	3.406	3.302	3.389	3.562	
3.300	3.406	3.302	3.389	3.302	
3.300	3.224	3.302	3.389	3.302	
3.300	3.378	3.302	3.389	3.302	
3.300	3.455	3.302	3.389	3.302	
3.300	3.493	3.302	3.389	3.302	
3.300	3.512	3.302	3.389	3.302	
3.300	3.522	3.302	3.389	3.302	
3.300	3.527	3.302	3.389	3.302	
